case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NN,ETTh1,96,96,M,False,False,7,8449,2785,0.6143787676569107,0.5270452575690983,0.375,0.399,1.6383433804184284,1.3209154325040056,0.4504684160929173,<project-root>/checkpoints/extra_models/knn_NN_ETTh1_s96_p96_M.npz
NN,ETTh1,96,192,M,False,False,7,8353,2689,0.6493583331369435,0.5479525690499332,0.405,0.416,1.6033539089801072,1.317193675600801,0.5344791249372065,<project-root>/checkpoints/extra_models/knn_NN_ETTh1_s96_p192_M.npz
NN,ETTh1,96,336,M,False,False,7,8209,2545,0.6727174800070258,0.5679809470907664,0.439,0.443,1.5323860592415166,1.2821240340649354,0.7322692081797868,<project-root>/checkpoints/extra_models/knn_NN_ETTh1_s96_p336_M.npz
NN,ETTh1,96,720,M,False,False,7,7825,2161,0.7011943054888266,0.6041924752176286,0.472,0.49,1.4855811556966665,1.233045867791079,1.1608668328262866,<project-root>/checkpoints/extra_models/knn_NN_ETTh1_s96_p720_M.npz
NR,ETTh1,96,96,M,False,True,7,8449,2785,0.6268867457891113,0.5345999677190553,0.375,0.399,1.6716979887709635,1.3398495431555268,0.4333102088421583,<project-root>/checkpoints/extra_models/knn_NR_ETTh1_s96_p96_M.npz
NR,ETTh1,96,192,M,False,True,7,8353,2689,0.6647687347497142,0.5549202230370943,0.405,0.416,1.6414042833326277,1.3339428438391692,0.6066066671628505,<project-root>/checkpoints/extra_models/knn_NR_ETTh1_s96_p192_M.npz
NR,ETTh1,96,336,M,False,True,7,8209,2545,0.6932665567568188,0.5720389507225496,0.439,0.443,1.5791948901066488,1.2912843131434528,0.7065665409900248,<project-root>/checkpoints/extra_models/knn_NR_ETTh1_s96_p336_M.npz
NR,ETTh1,96,720,M,False,True,7,7825,2161,0.7329265194144443,0.603849088767546,0.472,0.49,1.5528104224882295,1.2323450791174408,1.0927606248296797,<project-root>/checkpoints/extra_models/knn_NR_ETTh1_s96_p720_M.npz
RN,ETTh1,96,96,M,True,False,7,8449,2785,0.6308764585366989,0.5343178991663687,0.375,0.399,1.6823372227645306,1.3391426044269892,0.44358666706830263,<project-root>/checkpoints/extra_models/knn_RN_ETTh1_s96_p96_M.npz
RN,ETTh1,96,192,M,True,False,7,8353,2689,0.6661157110206792,0.5540209903505513,0.405,0.416,1.6447301506683436,1.33178122680421,0.6103309581521899,<project-root>/checkpoints/extra_models/knn_RN_ETTh1_s96_p192_M.npz
RN,ETTh1,96,336,M,True,False,7,8209,2545,0.695508338804843,0.5746732383299832,0.439,0.443,1.5843014551363166,1.2972307862979304,0.6678210829850286,<project-root>/checkpoints/extra_models/knn_RN_ETTh1_s96_p336_M.npz
RN,ETTh1,96,720,M,True,False,7,7825,2161,0.6993563731546888,0.5971235905121461,0.472,0.49,1.481687231259934,1.2186195724737676,1.0655245420057327,<project-root>/checkpoints/extra_models/knn_RN_ETTh1_s96_p720_M.npz
RR,ETTh1,96,96,M,True,True,7,8449,2785,0.6138286111805716,0.5252885586372879,0.375,0.399,1.6368762964815244,1.3165126782889418,0.3838217919692397,<project-root>/checkpoints/extra_models/knn_RR_ETTh1_s96_p96_M.npz
RR,ETTh1,96,192,M,True,True,7,8353,2689,0.6466603698970272,0.5435288992532528,0.405,0.416,1.5966922713506844,1.3065598539741654,0.5449653749819845,<project-root>/checkpoints/extra_models/knn_RR_ETTh1_s96_p192_M.npz
RR,ETTh1,96,336,M,True,True,7,8209,2545,0.6801174337932785,0.5595201725546066,0.439,0.443,1.5492424459983565,1.263025220213559,0.7081511248834431,<project-root>/checkpoints/extra_models/knn_RR_ETTh1_s96_p336_M.npz
RR,ETTh1,96,720,M,True,True,7,7825,2161,0.727863564676457,0.5888031942093727,0.472,0.49,1.54208382346707,1.2016391718558626,1.096644917037338,<project-root>/checkpoints/extra_models/knn_RR_ETTh1_s96_p720_M.npz
