case,model_name,seasonal_pattern,seq_len,pred_len,train_reversed,test_reversed,series_count,train_windows,mse,mae,smape,mase,owa,naive_smape,naive_mase,seconds,checkpoint
NN,ridge,Yearly,9,6,False,False,23000,398693,3423864.6995458803,900.5231934428974,15.89820310690301,4.129618950697916,1.0059489598201825,16.34217348809131,3.9743602651835848,3.921799333067611,<project-root>/checkpoints/extra_models/ridge_m4_NN_Yearly_s9.npz
NN,ridge,Quarterly,12,8,False,False,24000,1758113,1967074.600188404,635.4441987696689,12.229772412286232,1.6991164598292339,1.018585321241291,12.521366833774172,1.6022471761870838,6.274000791832805,<project-root>/checkpoints/extra_models/ridge_m4_NN_Quarterly_s12.npz
NN,ridge,Monthly,27,18,False,False,48000,8270418,1943915.607654885,606.1665881092938,14.812579618215475,1.2795607771788544,0.9711086539038202,15.988281562780067,1.2597170382819993,21.462520957924426,<project-root>/checkpoints/extra_models/ridge_m4_NN_Monthly_s27.npz
NN,ridge,Weekly,130,13,False,False,359,319964,335372.33023247204,317.45051460903267,7.968532822167555,2.725992893402042,0.9256664981333862,9.161286913956424,2.777294993197484,2.9575459160842,<project-root>/checkpoints/extra_models/ridge_m4_NN_Weekly_s130.npz
NN,ridge,Daily,140,14,False,False,4227,9322276,498153.6640459499,182.67315255479176,3.085098406303864,3.3234757301788402,1.0134133164463002,3.0452517800571,3.2784242959709133,37.871172750135884,<project-root>/checkpoints/extra_models/ridge_m4_NN_Daily_s140.npz
NN,ridge,Hourly,480,48,False,False,414,135322,1751767.4040237383,266.7962494035162,19.56991460209418,2.6228950685772263,1.8024245434942245,13.912272895203037,1.193210207420035,6.091741957934573,<project-root>/checkpoints/extra_models/ridge_m4_NN_Hourly_s480.npz
NR,ridge,Yearly,9,6,False,True,23000,398693,3017134.250587664,1071.0270966835155,24.299279847895527,5.592015255476572,1.392065200708565,19.42854926827774,3.6467347905728182,3.989497208967805,<project-root>/checkpoints/extra_models/ridge_m4_NR_Yearly_s9.npz
NR,ridge,Quarterly,12,8,False,True,24000,1758113,1954942.7994957215,730.2809596823881,15.093429775772943,2.3081674594040056,1.3826322593055105,12.682663669074588,1.4653348081890543,6.581099250121042,<project-root>/checkpoints/extra_models/ridge_m4_NR_Quarterly_s12.npz
NR,ridge,Monthly,27,18,False,True,48000,8270418,1559149.1865107645,570.1442645740323,13.564969650549756,1.3540497466844463,1.0157742878304188,15.345046368483752,1.1799463898199907,23.01426616613753,<project-root>/checkpoints/extra_models/ridge_m4_NR_Monthly_s27.npz
NR,ridge,Weekly,130,13,False,True,359,319964,227527.4061974161,277.13549950017267,40.82916918753615,2.8185641940611075,4.63897402051609,5.156093172616785,2.0735060513928527,2.9341428328771144,<project-root>/checkpoints/extra_models/ridge_m4_NR_Weekly_s130.npz
NR,ridge,Daily,140,14,False,True,4227,9322276,156522.82831655757,157.1779914992659,7.38650199441571,2.9592778336249217,1.833991049726672,2.792181240025279,2.8939935232929406,38.46714812493883,<project-root>/checkpoints/extra_models/ridge_m4_NR_Daily_s140.npz
NR,ridge,Hourly,480,48,False,True,414,135322,2645628.0853525386,354.91856847447633,21.108597125892455,3.380901082846936,1.967875462625667,14.83219803183893,1.345583799200641,6.242347209015861,<project-root>/checkpoints/extra_models/ridge_m4_NR_Hourly_s480.npz
RN,ridge,Yearly,9,6,True,False,23000,398693,4967797.870751009,1222.6271756956735,20.04693545849676,5.2631536333432765,1.2754881998516034,16.34217348809131,3.9743602651835848,4.23981533292681,<project-root>/checkpoints/extra_models/ridge_m4_RN_Yearly_s9.npz
RN,ridge,Quarterly,12,8,True,False,24000,1758113,2460067.9745819285,813.117279303275,13.566090935569402,2.0546382638911496,1.1828915923497005,12.521366833774172,1.6022471761870838,6.8606578330509365,<project-root>/checkpoints/extra_models/ridge_m4_RN_Quarterly_s12.npz
