case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NN,ETTh1,96,96,M,False,False,7,8449,2785,0.38147959086488936,0.39296687104207106,0.375,0.399,1.0172789089730383,0.9848793760452909,0.05157133308239281,<project-root>/checkpoints/extra_models/ridge_NN_ETTh1_s96_p96_M.npz
NN,ETTh1,96,192,M,False,False,7,8353,2689,0.43182666980073525,0.42433930314091095,0.405,0.416,1.0662386908660129,1.020046401781036,0.0527130828704685,<project-root>/checkpoints/extra_models/ridge_NN_ETTh1_s96_p192_M.npz
NN,ETTh1,96,336,M,False,False,7,8209,2545,0.47538851405491045,0.45062652305429024,0.439,0.443,1.0828895536558325,1.0172156276620548,0.06341025000438094,<project-root>/checkpoints/extra_models/ridge_NN_ETTh1_s96_p336_M.npz
NN,ETTh1,96,720,M,False,False,7,7825,2161,0.500000671490576,0.4969454655265487,0.472,0.49,1.0593234565478307,1.0141744194419362,0.09263404086232185,<project-root>/checkpoints/extra_models/ridge_NN_ETTh1_s96_p720_M.npz
NR,ETTh1,96,96,M,False,True,7,8449,2785,0.38004288500621786,0.3919174312865301,0.375,0.399,1.0134476933499144,0.9822492012193736,0.04571291711181402,<project-root>/checkpoints/extra_models/ridge_NR_ETTh1_s96_p96_M.npz
NR,ETTh1,96,192,M,False,True,7,8353,2689,0.43268740771560404,0.4214215910804293,0.405,0.416,1.0683639696681582,1.0130326708664166,0.05342804198153317,<project-root>/checkpoints/extra_models/ridge_NR_ETTh1_s96_p192_M.npz
NR,ETTh1,96,336,M,False,True,7,8209,2545,0.48035484421546715,0.44493179601651817,0.439,0.443,1.094202378622932,1.0043607133555714,0.06480400008149445,<project-root>/checkpoints/extra_models/ridge_NR_ETTh1_s96_p336_M.npz
NR,ETTh1,96,720,M,False,True,7,7825,2161,0.5035053399863049,0.47272322113261345,0.472,0.49,1.0667486016659002,0.9647412676175785,0.09445358393713832,<project-root>/checkpoints/extra_models/ridge_NR_ETTh1_s96_p720_M.npz
RN,ETTh1,96,96,M,True,False,7,8449,2785,0.38075518183742635,0.3932841021758434,0.375,0.399,1.0153471515664703,0.9856744415434672,0.04602220794185996,<project-root>/checkpoints/extra_models/ridge_RN_ETTh1_s96_p96_M.npz
RN,ETTh1,96,192,M,True,False,7,8353,2689,0.4302207730588471,0.42389663139226913,0.405,0.416,1.0622735137255483,1.018982287000647,0.05570287490263581,<project-root>/checkpoints/extra_models/ridge_RN_ETTh1_s96_p192_M.npz
RN,ETTh1,96,336,M,True,False,7,8209,2545,0.47144190066776653,0.44794095726491234,0.439,0.443,1.0738995459402427,1.0111534024038653,0.06778183300048113,<project-root>/checkpoints/extra_models/ridge_RN_ETTh1_s96_p336_M.npz
