case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NN,ETTh1,96,96,M,False,False,7,8449,2785,0.6923220093332867,0.5665372566313229,0.375,0.399,1.8461920248887644,1.4198928737627141,0.3087882502004504,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh1_s96_p96_M.npz
NN,ETTh1,96,192,M,False,False,7,8353,2689,0.7592222180609871,0.6003456987561443,0.405,0.416,1.8746227606444126,1.4431386989330393,0.403395582921803,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh1_s96_p192_M.npz
NN,ETTh1,96,336,M,False,False,7,8209,2545,0.851141982673751,0.6478112464660968,0.439,0.443,1.938820006090549,1.4623278701266293,0.4773832089267671,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh1_s96_p336_M.npz
NN,ETTh1,96,720,M,False,False,7,7825,2161,0.9386576796637455,0.701317431876567,0.472,0.49,1.9886815247113252,1.4312600650542184,0.7702473748940974,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh1_s96_p720_M.npz
NR,ETTh1,96,96,M,False,True,7,8449,2785,0.7046812578167766,0.5733013945473914,0.375,0.399,1.8791500208447376,1.436845600369402,0.3427320830523968,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh1_s96_p96_M.npz
NR,ETTh1,96,192,M,False,True,7,8353,2689,0.7656203881688421,0.6032873633908531,0.405,0.416,1.8904207115280052,1.4502100081510891,0.41830579098314047,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh1_s96_p192_M.npz
NR,ETTh1,96,336,M,False,True,7,8209,2545,0.8579443463813913,0.6444254893932053,0.439,0.443,1.9543151398209369,1.4546850776370324,0.48923166701570153,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh1_s96_p336_M.npz
NR,ETTh1,96,720,M,False,True,7,7825,2161,0.9213644133651897,0.6809503988418188,0.472,0.49,1.952043248655063,1.3896946915139161,0.7668624590151012,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh1_s96_p720_M.npz
RN,ETTh1,96,96,M,True,False,7,8449,2785,0.7058104660924285,0.5712092029166131,0.375,0.399,1.8821612429131427,1.4316020123223385,0.3165137080941349,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh1_s96_p96_M.npz
RN,ETTh1,96,192,M,True,False,7,8353,2689,0.766548884964692,0.6006204325944844,0.405,0.416,1.8927132962091158,1.4437991168136644,0.5065314171370119,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh1_s96_p192_M.npz
RN,ETTh1,96,336,M,True,False,7,8209,2545,0.8593109691169026,0.6441029393791933,0.439,0.443,1.9574281756649263,1.4539569737679305,0.6453702079597861,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh1_s96_p336_M.npz
RN,ETTh1,96,720,M,True,False,7,7825,2161,0.9048862176042245,0.6822995493695396,0.472,0.49,1.9171318169581029,1.392448059937836,0.8734817910008132,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh1_s96_p720_M.npz
RR,ETTh1,96,96,M,True,True,7,8449,2785,0.6882069081441582,0.5634119847269309,0.375,0.399,1.8352184217177552,1.412060112097571,0.38287437497638166,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh1_s96_p96_M.npz
RR,ETTh1,96,192,M,True,True,7,8353,2689,0.7527935963864556,0.5938656755948762,0.405,0.416,1.8587496207072975,1.427561720179991,0.48392649996094406,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh1_s96_p192_M.npz
RR,ETTh1,96,336,M,True,True,7,8209,2545,0.8469853481659838,0.6300696186890798,0.439,0.443,1.9293515903553162,1.4222790489595483,0.516204500105232,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh1_s96_p336_M.npz
RR,ETTh1,96,720,M,True,True,7,7825,2161,0.9047147131797795,0.6647665671730757,0.472,0.49,1.9167684601266515,1.356666463618522,0.7400012919679284,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh1_s96_p720_M.npz
NN,ETTh2,96,96,M,False,False,7,8449,2785,1.4620696785089669,0.623141382530102,0.289,0.353,5.0590646315189165,1.7652730383289008,0.29450583294965327,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh2_s96_p96_M.npz
NN,ETTh2,96,192,M,False,False,7,8353,2689,1.272806990739093,0.6459274018201623,0.383,0.418,3.3232558504937155,1.5452808655984744,0.35603995784185827,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh2_s96_p192_M.npz
NN,ETTh2,96,336,M,False,False,7,8209,2545,1.1259980772063627,0.6640373745063161,0.448,0.465,2.513388565192774,1.428037364529712,0.46026845811866224,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh2_s96_p336_M.npz
NN,ETTh2,96,720,M,False,False,7,7825,2161,1.0969547663662333,0.7282996043252746,0.605,0.551,1.8131483741590635,1.3217778662890645,0.6184962498955429,<project-root>/checkpoints/extra_models_fast/knn_NN_ETTh2_s96_p720_M.npz
NR,ETTh2,96,96,M,False,True,7,8449,2785,1.4334888786812687,0.6204733117736785,0.289,0.353,4.9601691303850135,1.757714764231384,0.2647232080344111,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh2_s96_p96_M.npz
NR,ETTh2,96,192,M,False,True,7,8353,2689,1.262402767268514,0.6456375206849062,0.383,0.418,3.296090776158,1.5445873700595842,0.3545387501362711,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh2_s96_p192_M.npz
NR,ETTh2,96,336,M,False,True,7,8209,2545,1.137383321563652,0.673736852011889,0.448,0.465,2.538802057061723,1.4488964559395463,0.40342587511986494,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh2_s96_p336_M.npz
NR,ETTh2,96,720,M,False,True,7,7825,2161,1.1648377075717526,0.7574487282693224,0.605,0.551,1.9253515827632275,1.3746800876031258,0.561485500074923,<project-root>/checkpoints/extra_models_fast/knn_NR_ETTh2_s96_p720_M.npz
RN,ETTh2,96,96,M,True,False,7,8449,2785,0.7363718337943803,0.5646271251562534,0.289,0.353,2.5479994248940496,1.5995102695644572,0.27736454200930893,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh2_s96_p96_M.npz
RN,ETTh2,96,192,M,True,False,7,8353,2689,0.9163839565684354,0.6445000679768209,0.383,0.418,2.3926474061839045,1.5418661913321074,0.3291855410207063,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh2_s96_p192_M.npz
RN,ETTh2,96,336,M,True,False,7,8209,2545,1.1953003751724753,0.7676520070395002,0.448,0.465,2.668081194581418,1.6508645312677424,0.42464679200202227,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh2_s96_p336_M.npz
RN,ETTh2,96,720,M,True,False,7,7825,2161,1.3922869222430523,0.8706103246062253,0.605,0.551,2.3013006979224007,1.5800550355829859,0.6179992079269141,<project-root>/checkpoints/extra_models_fast/knn_RN_ETTh2_s96_p720_M.npz
RR,ETTh2,96,96,M,True,True,7,8449,2785,0.7498073435682229,0.5704410324389954,0.289,0.353,2.594489078090737,1.6159802618668424,0.27486670785583556,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh2_s96_p96_M.npz
RR,ETTh2,96,192,M,True,True,7,8353,2689,0.942843170360002,0.6566803035644057,0.383,0.418,2.4617315153002663,1.5710055109196308,0.3330324999988079,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh2_s96_p192_M.npz
RR,ETTh2,96,336,M,True,True,7,8209,2545,1.243519047599202,0.7910415033257224,0.448,0.465,2.7757121598196473,1.7011645232811234,0.4038258749060333,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh2_s96_p336_M.npz
RR,ETTh2,96,720,M,True,True,7,7825,2161,1.5121968306855194,0.9175940492681646,0.605,0.551,2.4994988936950735,1.665324953299754,0.5827857500407845,<project-root>/checkpoints/extra_models_fast/knn_RR_ETTh2_s96_p720_M.npz
