case,model_name,seasonal_pattern,seq_len,pred_len,train_reversed,test_reversed,series_count,train_windows,mse,mae,smape,mase,owa,naive_smape,naive_mase,seconds,checkpoint
NN,knn,Yearly,9,6,False,False,23000,398693,8446925.667219367,1279.8351109886403,18.2333766042479,4.588444126890785,1.1351183422514093,16.34217348809131,3.9743602651835848,5.149505625013262,<project-root>/checkpoints/extra_models_fast/knn_m4_NN_Yearly_s9.npz
NN,knn,Quarterly,12,8,False,False,24000,1758113,3467112.8526867675,822.672016271227,13.373379692503995,1.8151403242869821,1.100458159031088,12.521366833774172,1.6022471761870838,5.126288833096623,<project-root>/checkpoints/extra_models_fast/knn_m4_NN_Quarterly_s12.npz
NN,knn,Monthly,27,18,False,False,48000,8270418,3378230.395696351,781.2555197694782,17.073242459478386,1.4723267241802418,1.1183177525396681,15.988281562780067,1.2597170382819993,8.458042457932606,<project-root>/checkpoints/extra_models_fast/knn_m4_NN_Monthly_s27.npz
NN,knn,Weekly,130,13,False,False,359,319964,988882.0433905435,434.5626108435635,10.278830920381855,3.7607844710175886,1.2380516206284358,9.161286913956424,2.777294993197484,1.7995114580262452,<project-root>/checkpoints/extra_models_fast/knn_m4_NN_Weekly_s130.npz
NN,knn,Daily,140,14,False,False,4227,9322276,554874.1257566815,219.92541050851997,3.549222812461326,4.314583784752296,1.2407740794501305,3.0452517800571,3.2784242959709133,2.3834030420985073,<project-root>/checkpoints/extra_models_fast/knn_m4_NN_Daily_s140.npz
NN,knn,Hourly,480,48,False,False,414,135322,19333817.29410428,904.9462213244532,26.518050996938587,5.511851166913085,3.2627183969908535,13.912272895203037,1.193210207420035,1.8290140409953892,<project-root>/checkpoints/extra_models_fast/knn_m4_NN_Hourly_s480.npz
NR,knn,Yearly,9,6,False,True,23000,398693,3012989.448603407,1022.6555876163411,22.192316759705562,4.656827232903934,1.209619170638687,19.42854926827774,3.6467347905728182,4.9408171670511365,<project-root>/checkpoints/extra_models_fast/knn_m4_NR_Yearly_s9.npz
NR,knn,Quarterly,12,8,False,True,24000,1758113,2370003.363414884,724.8577962773207,13.659155154568369,1.762899102905587,1.1400316729867965,12.682663669074588,1.4653348081890543,5.142671500099823,<project-root>/checkpoints/extra_models_fast/knn_m4_NR_Quarterly_s12.npz
NR,knn,Monthly,27,18,False,True,48000,8270418,2224458.6704943026,683.1083603372687,15.38085310810516,1.366871314166745,1.0803757948978165,15.345046368483752,1.1799463898199907,8.509462791029364,<project-root>/checkpoints/extra_models_fast/knn_m4_NR_Monthly_s27.npz
NR,knn,Weekly,130,13,False,True,359,319964,997719.7674284766,323.7903512661285,42.39386480805479,3.8492809735313633,5.039251130504291,5.156093172616785,2.0735060513928527,1.7506492920219898,<project-root>/checkpoints/extra_models_fast/knn_m4_NR_Weekly_s130.npz
NR,knn,Daily,140,14,False,True,4227,9322276,252821.29677763482,191.53272032619813,7.7865485928959774,4.369694706853106,2.1493080150832733,2.792181240025279,2.8939935232929406,2.436070583993569,<project-root>/checkpoints/extra_models_fast/knn_m4_NR_Daily_s140.npz
NR,knn,Hourly,480,48,False,True,414,135322,30951004.996663608,1082.503174034242,31.114896924480686,7.819099130305312,3.9543642088694693,14.83219803183893,1.345583799200641,1.850228999974206,<project-root>/checkpoints/extra_models_fast/knn_m4_NR_Hourly_s480.npz
RN,knn,Yearly,9,6,True,False,23000,398693,7592584.868277076,1304.5716732080145,20.310224846305612,5.039126747216983,1.2553597006939916,16.34217348809131,3.9743602651835848,4.9377558750566095,<project-root>/checkpoints/extra_models_fast/knn_m4_RN_Yearly_s9.npz
RN,knn,Quarterly,12,8,True,False,24000,1758113,2778856.842988039,801.7509615998799,13.869792701514532,1.9430618627064808,1.1602002101655162,12.521366833774172,1.6022471761870838,5.197597957914695,<project-root>/checkpoints/extra_models_fast/knn_m4_RN_Quarterly_s12.npz
RN,knn,Monthly,27,18,True,False,48000,8270418,2873024.424558098,769.0557002696659,17.613895697952554,1.5051615836167955,1.1482581824522242,15.988281562780067,1.2597170382819993,8.499040666036308,<project-root>/checkpoints/extra_models_fast/knn_m4_RN_Monthly_s27.npz
RN,knn,Weekly,130,13,True,False,359,319964,2094383.2573368591,579.3731486460022,11.228112339827593,5.856546716013793,1.66716379339596,9.161286913956424,2.777294993197484,2.254321665968746,<project-root>/checkpoints/extra_models_fast/knn_m4_RN_Weekly_s130.npz
RN,knn,Daily,140,14,True,False,4227,9322276,667946.7657879587,248.6494771234638,3.9012496299700707,5.0183501348364805,1.4059063936862883,3.0452517800571,3.2784242959709133,2.528620749944821,<project-root>/checkpoints/extra_models_fast/knn_m4_RN_Daily_s140.npz
RN,knn,Hourly,480,48,True,False,414,135322,88133358.09373172,1299.3472661798605,34.41028767483583,11.069511585914846,5.875230317900653,13.912272895203037,1.193210207420035,1.8328780001029372,<project-root>/checkpoints/extra_models_fast/knn_m4_RN_Hourly_s480.npz
RR,knn,Yearly,9,6,True,True,23000,398693,1904932.8739264791,687.989276420465,15.606915081641628,2.6268180025384322,0.7618092819875525,19.42854926827774,3.6467347905728182,5.042866582982242,<project-root>/checkpoints/extra_models_fast/knn_m4_RR_Yearly_s9.npz
