dataset,seq_len,pred_len,features,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
ETTh1,96,96,M,7,8449,2785,0.38148012405429643,0.3929667859875138,0.375,0.399,1.017280330811457,0.9848791628759743,0.052143124979920685,checkpoints/full/ols_ETTh1_s96_p96_M.npz
ETTh1,96,192,M,7,8353,2689,0.43182719261817526,0.424339147092337,0.405,0.416,1.0662399817732722,1.0200460266642717,0.048014999949373305,checkpoints/full/ols_ETTh1_s96_p192_M.npz
ETTh1,96,336,M,7,8209,2545,0.47538896373100903,0.45062626920434373,0.439,0.443,1.0828905779749636,1.0172150546373449,0.05791404203046113,checkpoints/full/ols_ETTh1_s96_p336_M.npz
ETTh1,96,720,M,7,7825,2161,0.5000009760985757,0.49694516224747626,0.472,0.49,1.0593241019037622,1.0141738005050536,0.08218512497842312,checkpoints/full/ols_ETTh1_s96_p720_M.npz
ETTh2,96,96,M,7,8449,2785,0.3405435676928283,0.3933642669185136,0.289,0.353,1.1783514453039041,1.114346365208254,0.04097137495409697,checkpoints/full/ols_ETTh2_s96_p96_M.npz
ETTh2,96,192,M,7,8353,2689,0.4689830430004011,0.4697772665540426,0.383,0.418,1.224498806789559,1.1238690587417288,0.046833790955133736,checkpoints/full/ols_ETTh2_s96_p192_M.npz
ETTh2,96,336,M,7,8209,2545,0.5845319827634773,0.5348068150059789,0.448,0.465,1.3047588900970475,1.1501221828085568,0.05611437500920147,checkpoints/full/ols_ETTh2_s96_p336_M.npz
ETTh2,96,720,M,7,7825,2161,0.8104608639473379,0.6480298931526445,0.605,0.551,1.3396047337972528,1.1760978097144181,0.08378812507726252,checkpoints/full/ols_ETTh2_s96_p720_M.npz
ETTm1,96,96,M,7,34369,11425,0.34451137496119116,0.37139991128091465,0.299,0.343,1.1522119563919437,1.0827985751630165,0.15705358295235783,checkpoints/full/ols_ETTm1_s96_p96_M.npz
ETTm1,96,192,M,7,34273,11329,0.38086127153255,0.3897867997632719,0.335,0.365,1.136899318007612,1.0679090404473204,0.18751275003887713,checkpoints/full/ols_ETTm1_s96_p192_M.npz
ETTm1,96,336,M,7,34129,11185,0.41241512150661025,0.41196884381547144,0.369,0.386,1.1176561558444722,1.067276797449408,0.22879270801786333,checkpoints/full/ols_ETTm1_s96_p336_M.npz
ETTm1,96,720,M,7,33745,10801,0.4710537215784853,0.4483448827202737,0.425,0.421,1.10836169783173,1.064952215487586,0.33218033297453076,checkpoints/full/ols_ETTm1_s96_p720_M.npz
ETTm2,96,96,M,7,34369,11425,0.1979340029975327,0.2972914725463918,0.167,0.26,1.1852335508834293,1.1434287405630454,0.1575205420376733,checkpoints/full/ols_ETTm2_s96_p96_M.npz
ETTm2,96,192,M,7,34273,11329,0.2882235720064894,0.3640000220046231,0.224,0.303,1.2867123750289706,1.2013202046357199,0.18350249994546175,checkpoints/full/ols_ETTm2_s96_p192_M.npz
ETTm2,96,336,M,7,34129,11185,0.3892003210510681,0.43101350277431916,0.281,0.342,1.3850545233134095,1.2602733999249096,0.22673804208170623,checkpoints/full/ols_ETTm2_s96_p336_M.npz
ETTm2,96,720,M,7,33745,10801,0.5567356044643684,0.5237269916239066,0.397,0.421,1.4023566863082328,1.2440071059950275,0.3334649580065161,checkpoints/full/ols_ETTm2_s96_p720_M.npz
electricity,96,96,M,321,18221,5165,0.1945653911502309,0.2774011741833414,0.141,0.237,1.3798963911363895,1.1704690893811875,1.9157447079196572,checkpoints/full/ols_electricity_s96_p96_M.npz
electricity,96,192,M,321,18125,5069,0.19384022935697737,0.2802755338096012,0.154,0.248,1.2587027880323205,1.1301432814903274,2.67745445901528,checkpoints/full/ols_electricity_s96_p192_M.npz
electricity,96,336,M,321,17981,4925,0.20677834325836122,0.29605305791050496,0.171,0.265,1.2092300775342761,1.1171813506056791,4.146668207948096,checkpoints/full/ols_electricity_s96_p336_M.npz
electricity,96,720,M,321,17597,4541,0.24231588131668894,0.32921840112148437,0.21,0.297,1.1538851491270903,1.108479465055503,7.291214500088245,checkpoints/full/ols_electricity_s96_p720_M.npz
exchange_rate,96,96,M,8,5120,1422,0.08024649991703225,0.202160142603275,0.089,0.208,0.9016460664835085,0.9719237625157452,0.02326791698578745,checkpoints/full/ols_exchange_rate_s96_p96_M.npz
exchange_rate,96,192,M,8,5024,1326,0.16595778516684837,0.30029528277330897,0.18,0.3,0.9219876953713798,1.00098427591103,0.02762466704007238,checkpoints/full/ols_exchange_rate_s96_p192_M.npz
exchange_rate,96,336,M,8,4880,1182,0.30245183826142247,0.41208475699287783,0.331,0.415,0.9137517772248412,0.9929753180551274,0.03490562504157424,checkpoints/full/ols_exchange_rate_s96_p336_M.npz
exchange_rate,96,720,M,8,4496,798,0.8297614958058462,0.6821429652234731,1.033,0.78,0.8032541101702287,0.8745422631070168,0.05136716703418642,checkpoints/full/ols_exchange_rate_s96_p720_M.npz
traffic,96,96,M,862,12089,3413,0.648631942461111,0.3960947061173274,0.41,0.279,1.5820291279539294,1.4196942871588794,3.283989666029811,checkpoints/full/ols_traffic_s96_p96_M.npz
traffic,96,192,M,862,11993,3317,0.598342341433408,0.37043244179519985,0.423,0.284,1.4145209017338252,1.304339583785915,4.722659999970347,checkpoints/full/ols_traffic_s96_p192_M.npz
traffic,96,336,M,862,11849,3173,0.6051667731221522,0.3732005572455075,0.435,0.29,1.3911879841888555,1.2868984732603708,6.382640875061043,checkpoints/full/ols_traffic_s96_p336_M.npz
traffic,96,720,M,862,11465,2789,0.6456079473866364,0.39496435134221586,0.464,0.307,1.391396438333268,1.286528831733602,12.7134328330867,checkpoints/full/ols_traffic_s96_p720_M.npz
weather,96,96,M,21,36696,10444,0.19503764536460802,0.2533440101144976,0.182,0.232,1.071635414091253,1.0920000435969723,0.28247416706290096,checkpoints/full/ols_weather_s96_p96_M.npz
weather,96,192,M,21,36600,10348,0.2354719921656459,0.2923500575944353,0.225,0.269,1.0465421874028706,1.0868031880834024,0.3415364590473473,checkpoints/full/ols_weather_s96_p192_M.npz
weather,96,336,M,21,36456,10204,0.2812729100756499,0.33032649397389435,0.271,0.301,1.0379074172533207,1.097430212537855,0.46205108310095966,checkpoints/full/ols_weather_s96_p336_M.npz
weather,96,720,M,21,36072,9820,0.3450693811500002,0.3806315498267627,0.338,0.348,1.0209153288461543,1.0937688213412722,0.9226147499866784,checkpoints/full/ols_weather_s96_p720_M.npz
illness,104,24,M,7,549,170,2.1952276006802394,1.0237821211113034,1.683,0.858,1.3043538922639568,1.1932192553744796,0.0057023330591619015,checkpoints/full/ols_illness_s104_p24_M.npz
illness,104,36,M,7,537,158,2.221240641577469,1.0468768526077767,1.703,0.859,1.304310417837621,1.218715777191824,0.004486124962568283,checkpoints/full/ols_illness_s104_p36_M.npz
illness,104,48,M,7,525,146,2.2623476904067825,1.0686957001628437,1.719,0.884,1.3160835895327414,1.208931787514529,0.004435374983586371,checkpoints/full/ols_illness_s104_p48_M.npz
illness,104,60,M,7,513,134,2.385154406727298,1.1037811236802175,1.819,0.917,1.3112448635114338,1.2036871577755917,0.004666290944442153,checkpoints/full/ols_illness_s104_p60_M.npz
