case,model_name,seasonal_pattern,seq_len,pred_len,train_reversed,test_reversed,series_count,train_windows,mse,mae,smape,mase,owa,naive_smape,naive_mase,seconds,checkpoint
NN,ols,Yearly,27,6,False,False,23000,129134,3374552.657736757,907.8562041354035,16.08457533916943,4.217577602868857,1.0227169083439085,16.34217348809131,3.9743602651835848,1.1947879171930254,checkpoints/long_input/ols_m4_NN_Yearly_s27.npz
NN,ols,Quarterly,36,8,False,False,24000,1208270,1946889.4519902535,632.3979906344783,12.32398305449701,1.71626238724417,1.0276979038724081,12.521366833774172,1.6022471761870838,2.114259958965704,checkpoints/long_input/ols_m4_NN_Quarterly_s36.npz
NN,ols,Monthly,81,18,False,False,48000,6030691,1991756.5838395087,622.7251434412957,15.284199021458983,1.23477323512489,0.9680807360501409,15.988281562780067,1.2597170382819993,13.410348374862224,checkpoints/long_input/ols_m4_NN_Monthly_s81.npz
NN,ols,Weekly,390,13,False,False,359,245170,389876.8317226151,320.283075270848,7.885004534473711,2.659396444685376,0.9091182896929155,9.161286913956424,2.777294993197484,2.846109541133046,checkpoints/long_input/ols_m4_NN_Weekly_s390.npz
NN,ols,Daily,420,14,False,False,4227,8355241,501621.2833399511,185.73616819862656,3.264162955698664,3.4276980210581485,1.0587091116406038,3.0452517800571,3.2784242959709133,62.47448037494905,checkpoints/long_input/ols_m4_NN_Daily_s420.npz
NN,ols,Hourly,480,48,False,False,414,135322,1751767.4054454598,266.7962496289264,19.569914647993514,2.6228950848760277,1.8024245519736346,13.912272895203037,1.193210207420035,2.0265843751840293,checkpoints/long_input/ols_m4_NN_Hourly_s480.npz
NR,ols,Yearly,27,6,False,True,23000,129134,1724262.685519596,666.941508596718,96.563891949568,3.8667478886783373,2.3907935260422275,29.93671643602316,2.4850781984566717,1.8941186668816954,checkpoints/long_input/ols_m4_NR_Yearly_s27.npz
NR,ols,Quarterly,36,8,False,True,24000,1208270,2240738.728450469,803.097396552159,24.4482620034974,2.645338408345904,1.34648911578523,19.117859843495566,1.87060717977738,2.5881696669384837,checkpoints/long_input/ols_m4_NR_Quarterly_s36.npz
NR,ols,Monthly,81,18,False,True,48000,6030691,7858186.814799272,1271.1147013495954,41.919684129533564,2.122549708801518,1.0163283714512992,42.877812696809976,2.011891074447854,11.32278662500903,checkpoints/long_input/ols_m4_NR_Monthly_s81.npz
NR,ols,Weekly,390,13,False,True,359,245170,1117444.7861167402,524.2745074150916,58.63149749481572,10.316263882239875,2.269100073841207,16.822595181825758,9.797788488851985,2.6314039998687804,checkpoints/long_input/ols_m4_NR_Weekly_s390.npz
NR,ols,Daily,420,14,False,True,4227,8355241,134874.33742168613,159.29609661749686,58.927475702635306,2.8854734034874405,12.73070355957082,2.4308050764559326,2.366211481144108,60.608783959178254,checkpoints/long_input/ols_m4_NR_Daily_s420.npz
NR,ols,Hourly,480,48,False,True,414,135322,2645627.959688578,354.91856296977454,21.10859712804418,3.3809010180460795,1.9678754386191164,14.83219803183893,1.345583799200641,3.0504427501000464,checkpoints/long_input/ols_m4_NR_Hourly_s480.npz
RN,ols,Yearly,27,6,True,False,23000,129134,4338283.244104659,1067.677053469732,17.332554268413258,4.338072260252602,1.076058679501287,16.34217348809131,3.9743602651835848,1.8527909591794014,checkpoints/long_input/ols_m4_RN_Yearly_s27.npz
RN,ols,Quarterly,36,8,True,False,24000,1208270,2263147.3291119435,757.4667295174393,13.015002115914518,1.919933021401415,1.1188493064876468,12.521366833774172,1.6022471761870838,3.3691100829746574,checkpoints/long_input/ols_m4_RN_Quarterly_s36.npz
RN,ols,Monthly,81,18,True,False,48000,6030691,2020814.2571860168,636.0937752685289,14.541183092605332,1.2696102712172035,0.9586717958908798,15.988281562780067,1.2597170382819993,9.494859708007425,checkpoints/long_input/ols_m4_RN_Monthly_s81.npz
RN,ols,Weekly,390,13,True,False,359,245170,453081.69276898814,380.7425068925964,8.724392365922272,4.0737979485362485,1.2095664936981108,9.161286913956424,2.777294993197484,2.3765300000086427,checkpoints/long_input/ols_m4_RN_Weekly_s390.npz
RN,ols,Daily,420,14,True,False,4227,8355241,507922.83163313527,193.7127586408776,3.3564380741021296,3.5769774419057203,1.0966267131327527,3.0452517800571,3.2784242959709133,53.285832500085235,checkpoints/long_input/ols_m4_RN_Daily_s420.npz
RN,ols,Hourly,480,48,True,False,414,135322,4292670.372026676,400.63775888120506,24.76496895314673,3.981211052251241,2.5583176864653954,13.912272895203037,1.193210207420035,1.8743821661919355,checkpoints/long_input/ols_m4_RN_Hourly_s480.npz
RR,ols,Yearly,27,6,True,True,23000,129134,1378416.5927738585,514.6769746934526,90.51692615196889,2.559188307174757,2.0267155365894536,29.93671643602316,2.4850781984566717,1.701599083840847,checkpoints/long_input/ols_m4_RR_Yearly_s27.npz
RR,ols,Quarterly,36,8,True,True,24000,1208270,1728232.5414026107,590.7268564955878,18.922537507765565,1.4108222882044328,0.8719943938796291,19.117859843495566,1.87060717977738,4.5492981660645455,checkpoints/long_input/ols_m4_RR_Quarterly_s36.npz
RR,ols,Monthly,81,18,True,True,48000,6030691,7288486.079859512,1201.160337299708,40.948098903871255,1.8338559546787452,0.9332518098806901,42.877812696809976,2.011891074447854,11.172965249978006,checkpoints/long_input/ols_m4_RR_Monthly_s81.npz
RR,ols,Weekly,390,13,True,True,359,245170,1250249.516657458,568.1789592481271,59.61807630026875,10.693091014044185,2.3176533138930826,16.822595181825758,9.797788488851985,2.327573708957061,checkpoints/long_input/ols_m4_RR_Weekly_s390.npz
RR,ols,Daily,420,14,True,True,4227,8355241,130164.58518106824,153.62669292469093,58.83534537880491,2.790635236714137,12.691712894513238,2.4308050764559326,2.366211481144108,60.807084457948804,checkpoints/long_input/ols_m4_RR_Daily_s420.npz
RR,ols,Hourly,480,48,True,True,414,135322,1612791.9924225009,337.05235504609743,22.804156880931785,2.337673254185366,1.6373847597882905,14.83219803183893,1.345583799200641,1.8824395001865923,checkpoints/long_input/ols_m4_RR_Hourly_s480.npz
