case,model_name,seasonal_pattern,seq_len,pred_len,train_reversed,test_reversed,series_count,train_windows,mse,mae,smape,mase,owa,naive_smape,naive_mase,seconds,checkpoint
NN,revin_ols,Yearly,27,6,False,False,23000,129134,207728246725.7062,258170.88996410387,199.13593619891722,1201.3522111975988,157.23051021079254,16.34217348809131,3.9743602651835848,2.852393375011161,checkpoints/long_input/revin_ols_m4_NN_Yearly_s27.npz
NN,revin_ols,Quarterly,36,8,False,False,24000,1208270,2301371.7751388703,632.0798417389203,11.372746987224415,1.3106000788426102,0.8631217146335433,12.521366833774172,1.6022471761870838,15.634836750105023,checkpoints/long_input/revin_ols_m4_NN_Quarterly_s36.npz
NN,revin_ols,Monthly,81,18,False,False,48000,6030691,8016383179.087962,46068.94027927185,184.33961704772273,79.62763405304047,37.37020039793003,15.988281562780067,1.2597170382819993,68.38689825008623,checkpoints/long_input/revin_ols_m4_NN_Monthly_s81.npz
NN,revin_ols,Weekly,390,13,False,False,359,245170,371340.7214865905,297.59412762214,7.4523221315813775,2.2526783522027003,0.8122815894912641,9.161286913956424,2.777294993197484,5.751358958892524,checkpoints/long_input/revin_ols_m4_NN_Weekly_s390.npz
NN,revin_ols,Daily,420,14,False,False,4227,8355241,23005029.966266852,2059.0691676485776,34.833739919941536,47.78194274462285,13.006686571161703,3.0452517800571,3.2784242959709133,144.56354054203257,checkpoints/long_input/revin_ols_m4_NN_Daily_s420.npz
NN,revin_ols,Hourly,480,48,False,False,414,135322,847441.3606744079,239.0093364670315,13.392201196869452,1.1048093603402147,0.9442656049976175,13.912272895203037,1.193210207420035,5.0448948331177235,checkpoints/long_input/revin_ols_m4_NN_Hourly_s480.npz
NR,revin_ols,Yearly,27,6,False,True,23000,129134,4389470556416.489,1375111.6990893392,199.9671782476399,6274.417204824953,1265.7582955980872,29.93671643602316,2.4850781984566717,3.476880749920383,checkpoints/long_input/revin_ols_m4_NR_Yearly_s27.npz
NR,revin_ols,Quarterly,36,8,False,True,24000,1208270,2939571.7253703303,786.0797214546641,22.053921510379457,1.8350052498469198,1.0672723077001975,19.117859843495566,1.87060717977738,12.7565428330563,checkpoints/long_input/revin_ols_m4_NR_Quarterly_s36.npz
NR,revin_ols,Monthly,81,18,False,True,48000,6030691,13103405770.724333,57181.374892106745,190.87111541665294,120.3774714918744,32.14225442516641,42.877812696809976,2.011891074447854,69.88113687490113,checkpoints/long_input/revin_ols_m4_NR_Monthly_s81.npz
NR,revin_ols,Weekly,390,13,False,True,359,245170,1042215.8146020137,495.8021939683452,58.37015154867791,10.019060082351015,2.2461654860652547,16.822595181825758,9.797788488851985,5.419642957858741,checkpoints/long_input/revin_ols_m4_NR_Weekly_s390.npz
