case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NN,ETTh1,336,96,M,False,False,7,8209,2785,0.3702352706781428,0.3915381623525798,0.375,0.399,0.9872940551417142,0.9812986525127313,0.09806174994446337,checkpoints/long_input/ols_NN_ETTh1_s336_p96_M.npz
NN,ETTh1,336,192,M,False,False,7,8113,2689,0.4041513939541894,0.4126811481704286,0.405,0.416,0.9979046764300973,0.9920219907942996,0.10913204192183912,checkpoints/long_input/ols_NN_ETTh1_s336_p192_M.npz
NN,ETTh1,336,336,M,False,False,7,7969,2545,0.4334472972109285,0.434189617256726,0.439,0.443,0.9873514742845751,0.9801120028368533,0.13428908307105303,checkpoints/long_input/ols_NN_ETTh1_s336_p336_M.npz
NN,ETTh1,336,720,M,False,False,7,7585,2161,0.4714460876293218,0.4877612750956127,0.472,0.49,0.9988264568417835,0.9954311736645157,0.2024099170230329,checkpoints/long_input/ols_NN_ETTh1_s336_p720_M.npz
NR,ETTh1,336,96,M,False,True,7,8209,2785,0.35191754420308485,0.3843189365224125,0.375,0.399,0.9384467845415596,0.9632053546927631,0.09223162499256432,checkpoints/long_input/ols_NR_ETTh1_s336_p96_M.npz
NR,ETTh1,336,192,M,False,True,7,8113,2689,0.389443799632489,0.40320483833843185,0.405,0.416,0.961589628722195,0.9692423998519997,0.11100520798936486,checkpoints/long_input/ols_NR_ETTh1_s336_p192_M.npz
NR,ETTh1,336,336,M,False,True,7,7969,2545,0.40777565546991396,0.41260448639076963,0.439,0.443,0.9288739304553849,0.9313871024622339,0.1359956250526011,checkpoints/long_input/ols_NR_ETTh1_s336_p336_M.npz
NR,ETTh1,336,720,M,False,True,7,7585,2161,0.4321839181741292,0.43554933630590376,0.472,0.49,0.9156438944367145,0.8888761965426607,0.20897566713392735,checkpoints/long_input/ols_NR_ETTh1_s336_p720_M.npz
RN,ETTh1,336,96,M,True,False,7,8209,2785,0.37025005217113766,0.39286764802297186,0.375,0.399,0.987333472456367,0.9846306967994282,0.09998287493363023,checkpoints/long_input/ols_RN_ETTh1_s336_p96_M.npz
RN,ETTh1,336,192,M,True,False,7,8113,2689,0.4038372277430495,0.4138107645609652,0.405,0.416,0.9971289573902455,0.9947374148100125,0.11620974983088672,checkpoints/long_input/ols_RN_ETTh1_s336_p192_M.npz
