case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NN,ETTh1,336,96,M,False,False,7,8209,2785,0.37131054028877924,0.3929001535451106,0.375,0.399,0.990161440770078,0.9847121642734601,0.4994040420278907,checkpoints/long_input/revin_ols_NN_ETTh1_s336_p96_M.npz
NN,ETTh1,336,192,M,False,False,7,8113,2689,0.4077820563253582,0.41494086224593785,0.405,0.416,1.0068692748774275,0.9974539957835045,0.58149024983868,checkpoints/long_input/revin_ols_NN_ETTh1_s336_p192_M.npz
NN,ETTh1,336,336,M,False,False,7,7969,2545,0.4374602488995869,0.4342796764697145,0.439,0.443,0.9964925943042982,0.9803152967713645,0.6208625421859324,checkpoints/long_input/revin_ols_NN_ETTh1_s336_p336_M.npz
NN,ETTh1,336,720,M,False,False,7,7585,2161,0.4577394940131719,0.46781655761192714,0.472,0.49,0.9697870635872287,0.9547276685957697,0.9783852079417557,checkpoints/long_input/revin_ols_NN_ETTh1_s336_p720_M.npz
NR,ETTh1,336,96,M,False,True,7,8209,2785,0.3526338539886132,0.3844986414078262,0.375,0.399,0.9403569439696352,0.9636557428767574,0.5452627087943256,checkpoints/long_input/revin_ols_NR_ETTh1_s336_p96_M.npz
NR,ETTh1,336,192,M,False,True,7,8113,2689,0.3940351368820796,0.4058759522850965,0.405,0.416,0.9729262639063693,0.9756633468391743,0.543725207913667,checkpoints/long_input/revin_ols_NR_ETTh1_s336_p192_M.npz
NR,ETTh1,336,336,M,False,True,7,7969,2545,0.41058827105095813,0.4157986696530007,0.439,0.443,0.9352807996604969,0.9385974484266382,0.6165021671913564,checkpoints/long_input/revin_ols_NR_ETTh1_s336_p336_M.npz
NR,ETTh1,336,720,M,False,True,7,7585,2161,0.4237639186194205,0.43188152547537745,0.472,0.49,0.8978049123292807,0.8813908683170969,0.8431943750474602,checkpoints/long_input/revin_ols_NR_ETTh1_s336_p720_M.npz
RN,ETTh1,336,96,M,True,False,7,8209,2785,0.37140713639912815,0.393897471538586,0.375,0.399,0.9904190303976751,0.9872117081167568,0.6750040000770241,checkpoints/long_input/revin_ols_RN_ETTh1_s336_p96_M.npz
RN,ETTh1,336,192,M,True,False,7,8113,2689,0.4050153362579005,0.4129202468624984,0.405,0.416,1.000037867303458,0.9925967472656212,0.6272957089822739,checkpoints/long_input/revin_ols_RN_ETTh1_s336_p192_M.npz
RN,ETTh1,336,336,M,True,False,7,7969,2545,0.42732716008469585,0.42579557067890667,0.439,0.443,0.9734103874366647,0.9611638164309405,0.6828755829483271,checkpoints/long_input/revin_ols_RN_ETTh1_s336_p336_M.npz
RN,ETTh1,336,720,M,True,False,7,7585,2161,0.41493619873528004,0.439192012474983,0.472,0.49,0.8791021159645764,0.8963102295407817,0.9549227089155465,checkpoints/long_input/revin_ols_RN_ETTh1_s336_p720_M.npz
RR,ETTh1,336,96,M,True,True,7,8209,2785,0.3529612909367123,0.3887947022936094,0.375,0.399,0.9412301091645662,0.9744228127659383,0.7776665829587728,checkpoints/long_input/revin_ols_RR_ETTh1_s336_p96_M.npz
RR,ETTh1,336,192,M,True,True,7,8113,2689,0.39313386693945346,0.4113816578066234,0.405,0.416,0.9707009060233418,0.9888982158813062,0.733988500200212,checkpoints/long_input/revin_ols_RR_ETTh1_s336_p192_M.npz
RR,ETTh1,336,336,M,True,True,7,7969,2545,0.41735478925769803,0.42453385102941765,0.439,0.443,0.9506942807692438,0.9583156908113265,0.7871276668738574,checkpoints/long_input/revin_ols_RR_ETTh1_s336_p336_M.npz
RR,ETTh1,336,720,M,True,True,7,7585,2161,0.4726189266039828,0.462194182375775,0.472,0.49,1.0013112851779298,0.9432534334199489,0.9770612909924239,checkpoints/long_input/revin_ols_RR_ETTh1_s336_p720_M.npz
NN,ETTh2,336,96,M,False,False,7,8209,2785,0.4897857205453565,0.4858282152770059,0.289,0.353,1.694760278703656,1.3762838959688555,0.5599782499484718,checkpoints/long_input/revin_ols_NN_ETTh2_s336_p96_M.npz
NN,ETTh2,336,192,M,False,False,7,8113,2689,0.8106261273273218,0.6505230468547459,0.383,0.418,2.1165173037266887,1.5562752317099187,0.5535206669010222,checkpoints/long_input/revin_ols_NN_ETTh2_s336_p192_M.npz
NN,ETTh2,336,336,M,False,False,7,7969,2545,2.1525821413213855,1.0619932191348773,0.448,0.465,4.804870851163807,2.283856385236295,0.5801676250994205,checkpoints/long_input/revin_ols_NN_ETTh2_s336_p336_M.npz
NN,ETTh2,336,720,M,False,False,7,7585,2161,7.018521961261518,1.792817530429446,0.605,0.551,11.600862745886808,3.2537523238283956,0.8560661249794066,checkpoints/long_input/revin_ols_NN_ETTh2_s336_p720_M.npz
NR,ETTh2,336,96,M,False,True,7,8209,2785,0.4805755720918658,0.4845266851260421,0.289,0.353,1.6628912529130306,1.372596841716833,0.5572012080810964,checkpoints/long_input/revin_ols_NR_ETTh2_s336_p96_M.npz
NR,ETTh2,336,192,M,False,True,7,8113,2689,0.8205043745572568,0.6581460168730863,0.383,0.418,2.142309071951062,1.574512002088723,0.6070756250992417,checkpoints/long_input/revin_ols_NR_ETTh2_s336_p192_M.npz
NR,ETTh2,336,336,M,False,True,7,7969,2545,2.4349567590726493,1.1328078231934755,0.448,0.465,5.435171337215735,2.4361458563300546,0.7397997500374913,checkpoints/long_input/revin_ols_NR_ETTh2_s336_p336_M.npz
NR,ETTh2,336,720,M,False,True,7,7585,2161,10.194698536023784,2.176332907632138,0.605,0.551,16.850741381857496,3.949787491165404,0.8472878749016672,checkpoints/long_input/revin_ols_NR_ETTh2_s336_p720_M.npz
RN,ETTh2,336,96,M,True,False,7,8209,2785,0.38097952376171346,0.4092502055147672,0.289,0.353,1.3182682483104273,1.1593490241211537,0.5871304580941796,checkpoints/long_input/revin_ols_RN_ETTh2_s336_p96_M.npz
RN,ETTh2,336,192,M,True,False,7,8113,2689,0.8568526647128923,0.6497810799815769,0.383,0.418,2.2372132237934523,1.5545001913434853,0.6370255830697715,checkpoints/long_input/revin_ols_RN_ETTh2_s336_p192_M.npz
RN,ETTh2,336,336,M,True,False,7,7969,2545,1.676466605809107,0.9505547844553305,0.448,0.465,3.7421129593953277,2.044203837538345,0.7732864159625024,checkpoints/long_input/revin_ols_RN_ETTh2_s336_p336_M.npz
RN,ETTh2,336,720,M,True,False,7,7585,2161,3.8566350785468457,1.4678065800629592,0.605,0.551,6.374603435614621,2.6638957895879476,0.9731904589571059,checkpoints/long_input/revin_ols_RN_ETTh2_s336_p720_M.npz
RR,ETTh2,336,96,M,True,True,7,8209,2785,0.36116989842778313,0.4020828956109509,0.289,0.353,1.2497228319300455,1.139045030059351,0.6766909169964492,checkpoints/long_input/revin_ols_RR_ETTh2_s336_p96_M.npz
RR,ETTh2,336,192,M,True,True,7,8113,2689,0.8679508809792127,0.6559773512909124,0.383,0.418,2.2661902897629576,1.5693238069160584,0.7929827091284096,checkpoints/long_input/revin_ols_RR_ETTh2_s336_p192_M.npz
RR,ETTh2,336,336,M,True,True,7,7969,2545,1.8668317431362036,1.008975613772865,0.448,0.465,4.167035140929026,2.1698400296190643,0.9796161658596247,checkpoints/long_input/revin_ols_RR_ETTh2_s336_p336_M.npz
RR,ETTh2,336,720,M,True,True,7,7585,2161,5.396303303342424,1.7735300527277813,0.605,0.551,8.919509592301527,3.218747827092162,1.2161722499877214,checkpoints/long_input/revin_ols_RR_ETTh2_s336_p720_M.npz
NN,ETTm1,336,96,M,False,False,7,34129,11425,0.30789719661609016,0.3485664945194731,0.299,0.343,1.0297565104217064,1.0162288469955483,2.045459625078365,checkpoints/long_input/revin_ols_NN_ETTm1_s336_p96_M.npz
NN,ETTm1,336,192,M,False,False,7,34033,11329,0.34206923025672475,0.36862080545315645,0.335,0.365,1.0211021798708202,1.0099200149401546,2.358772583073005,checkpoints/long_input/revin_ols_NN_ETTm1_s336_p192_M.npz
NN,ETTm1,336,336,M,False,False,7,33889,11185,0.3762307654699949,0.3879110128936555,0.369,0.386,1.01959557037939,1.004950810605325,2.607492292067036,checkpoints/long_input/revin_ols_NN_ETTm1_s336_p336_M.npz
NN,ETTm1,336,720,M,False,False,7,33505,10801,0.43409797727099864,0.4208951509669569,0.425,0.421,1.0214070053435262,0.9997509524155747,2.598280416801572,checkpoints/long_input/revin_ols_NN_ETTm1_s336_p720_M.npz
NR,ETTm1,336,96,M,False,True,7,34129,11425,0.3034963238073767,0.3470235986254055,0.299,0.343,1.0150378722654738,1.0117306082373336,1.3698477919679135,checkpoints/long_input/revin_ols_NR_ETTm1_s336_p96_M.npz
NR,ETTm1,336,192,M,False,True,7,34033,11329,0.3373686006265573,0.36639593268799636,0.335,0.365,1.0070704496315144,1.0038244731177983,1.700577416922897,checkpoints/long_input/revin_ols_NR_ETTm1_s336_p192_M.npz
NR,ETTm1,336,336,M,False,True,7,33889,11185,0.37456881554338467,0.38631128640866824,0.369,0.386,1.0150916410389828,1.0008064414732338,2.5794065000955015,checkpoints/long_input/revin_ols_NR_ETTm1_s336_p336_M.npz
