case,model_name,seasonal_pattern,seq_len,pred_len,train_reversed,test_reversed,series_count,train_windows,mse,mae,smape,seconds,checkpoint
NN,ols,Yearly,9,6,False,False,23000,398693,3423864.6995448866,900.523193442335,15.898203106889541,1.5167577911633998,checkpoints/m4_reversal/ols_m4_NN_Yearly_s9.npz
NN,ols,Quarterly,12,8,False,False,24000,1758113,1967074.6001883484,635.4441987696125,12.229772412285602,2.2966438331641257,checkpoints/m4_reversal/ols_m4_NN_Quarterly_s12.npz
NN,ols,Monthly,27,18,False,False,48000,8270418,1943915.6076548973,606.166588109299,14.812579618216745,8.09126004180871,checkpoints/m4_reversal/ols_m4_NN_Monthly_s27.npz
NN,ols,Weekly,130,13,False,False,359,319964,335372.33023297077,317.45051460961184,7.968532822158944,1.0330974999815226,checkpoints/m4_reversal/ols_m4_NN_Weekly_s130.npz
NN,ols,Daily,140,14,False,False,4227,9322276,498153.6640181416,182.6731524748448,3.0850984053459922,14.313212249893695,checkpoints/m4_reversal/ols_m4_NN_Daily_s140.npz
NN,ols,Hourly,480,48,False,False,414,135322,1751767.4054454598,266.7962496289264,19.569914647993514,2.1256315000355244,checkpoints/m4_reversal/ols_m4_NN_Hourly_s480.npz
NR,ols,Yearly,9,6,False,True,23000,398693,3017134.2505853144,1071.0270966819176,24.299279847861044,1.4403360420837998,checkpoints/m4_reversal/ols_m4_NR_Yearly_s9.npz
NR,ols,Quarterly,12,8,False,True,24000,1758113,1954942.7994959657,730.280959682436,15.093429775773341,2.4000032090116292,checkpoints/m4_reversal/ols_m4_NR_Quarterly_s12.npz
NR,ols,Monthly,27,18,False,True,48000,8270418,1559149.186510917,570.144264574125,13.564969650551632,8.81957745901309,checkpoints/m4_reversal/ols_m4_NR_Monthly_s27.npz
NR,ols,Weekly,130,13,False,True,359,319964,227527.40619500724,277.13549949759766,40.82916918751311,1.1441314171534032,checkpoints/m4_reversal/ols_m4_NR_Weekly_s130.npz
NR,ols,Daily,140,14,False,True,4227,9322276,156522.8283222383,157.177991520893,7.386501994578555,14.229721958050504,checkpoints/m4_reversal/ols_m4_NR_Daily_s140.npz
NR,ols,Hourly,480,48,False,True,414,135322,2645627.959688578,354.91856296977454,21.10859712804418,1.809860333101824,checkpoints/m4_reversal/ols_m4_NR_Hourly_s480.npz
RN,ols,Yearly,9,6,True,False,23000,398693,4967797.870744001,1222.6271756941137,20.046935458472138,1.621507957810536,checkpoints/m4_reversal/ols_m4_RN_Yearly_s9.npz
RN,ols,Quarterly,12,8,True,False,24000,1758113,2460067.97458143,813.117279303086,13.566090935566827,2.266435957979411,checkpoints/m4_reversal/ols_m4_RN_Quarterly_s12.npz
RN,ols,Monthly,27,18,True,False,48000,8270418,2000178.4196984603,626.3058420627391,14.480696788358964,8.368486042134464,checkpoints/m4_reversal/ols_m4_RN_Monthly_s27.npz
RN,ols,Weekly,130,13,True,False,359,319964,392103.36897533096,356.35690640564894,8.490407882097633,1.0425544169265777,checkpoints/m4_reversal/ols_m4_RN_Weekly_s130.npz
RN,ols,Daily,140,14,True,False,4227,9322276,499734.4079676718,190.1532329044888,3.1819041568269966,14.164263250073418,checkpoints/m4_reversal/ols_m4_RN_Daily_s140.npz
RN,ols,Hourly,480,48,True,False,414,135322,4292670.372026676,400.63775888120506,24.76496895314673,2.2683773750904948,checkpoints/m4_reversal/ols_m4_RN_Hourly_s480.npz
RR,ols,Yearly,9,6,True,True,23000,398693,1864809.4537520376,695.4950440560884,15.530075306606273,1.2975826668553054,checkpoints/m4_reversal/ols_m4_RR_Yearly_s9.npz
RR,ols,Quarterly,12,8,True,True,24000,1758113,1653079.6840978311,590.1740646513837,11.380973380644223,2.3008008329197764,checkpoints/m4_reversal/ols_m4_RR_Quarterly_s12.npz
RR,ols,Monthly,27,18,True,True,48000,8270418,1501391.110838665,544.4599171084928,12.7199506133978,7.819370167097077,checkpoints/m4_reversal/ols_m4_RR_Monthly_s27.npz
RR,ols,Weekly,130,13,True,True,359,319964,223011.01748817804,265.6525108481721,40.668134755242896,1.042435749899596,checkpoints/m4_reversal/ols_m4_RR_Weekly_s130.npz
RR,ols,Daily,140,14,True,True,4227,9322276,156406.8497247866,154.97771120405156,7.374961061507453,13.632440707879141,checkpoints/m4_reversal/ols_m4_RR_Daily_s140.npz
RR,ols,Hourly,480,48,True,True,414,135322,1612791.9924225009,337.05235504609743,22.804156880931785,1.629226417047903,checkpoints/m4_reversal/ols_m4_RR_Hourly_s480.npz
