case,model_name,seasonal_pattern,seq_len,pred_len,train_reversed,test_reversed,series_count,train_windows,mse,mae,smape,seconds,checkpoint
NN,revin_ols,Yearly,9,6,False,False,23000,398693,21545239340.570545,61005.01021967831,193.42265353213824,4.511371791828424,checkpoints/m4_reversal/revin_ols_m4_NN_Yearly_s9.npz
NN,revin_ols,Quarterly,12,8,False,False,24000,1758113,1646229474.320998,15610.852340320405,76.2220426479232,17.802528500091285,checkpoints/m4_reversal/revin_ols_m4_NN_Quarterly_s12.npz
NN,revin_ols,Monthly,27,18,False,False,48000,8270418,1603079012.1351988,18019.299891769508,151.13455835551972,82.12739504198544,checkpoints/m4_reversal/revin_ols_m4_NN_Monthly_s27.npz
NN,revin_ols,Weekly,130,13,False,False,359,319964,275579.2463485548,278.48167576520973,6.905383649000189,4.010530167026445,checkpoints/m4_reversal/revin_ols_m4_NN_Weekly_s130.npz
NN,revin_ols,Daily,140,14,False,False,4227,9322276,25637177.809375368,2173.147923628002,47.08550761604126,106.89578145812266,checkpoints/m4_reversal/revin_ols_m4_NN_Daily_s140.npz
NN,revin_ols,Hourly,480,48,False,False,414,135322,847441.3606744079,239.0093364670315,13.392201196869452,3.485084417043254,checkpoints/m4_reversal/revin_ols_m4_NN_Hourly_s480.npz
NR,revin_ols,Yearly,9,6,False,True,23000,398693,170469208666.0349,212236.14769404818,197.89167269779966,5.831597791984677,checkpoints/m4_reversal/revin_ols_m4_NR_Yearly_s9.npz
NR,revin_ols,Quarterly,12,8,False,True,24000,1758113,2743634501.2885265,23604.444122320507,103.20162743583677,19.176582207903266,checkpoints/m4_reversal/revin_ols_m4_NR_Quarterly_s12.npz
NR,revin_ols,Monthly,27,18,False,True,48000,8270418,2281590328.850313,20573.523443992133,162.18625456677,93.6829258329235,checkpoints/m4_reversal/revin_ols_m4_NR_Monthly_s27.npz
NR,revin_ols,Weekly,130,13,False,True,359,319964,217680.52681573867,252.26531828508058,40.83947608277189,4.753899457864463,checkpoints/m4_reversal/revin_ols_m4_NR_Weekly_s130.npz
NR,revin_ols,Daily,140,14,False,True,4227,9322276,44449318.773380905,2969.649329389734,64.81723329054728,101.11271658400074,checkpoints/m4_reversal/revin_ols_m4_NR_Daily_s140.npz
NR,revin_ols,Hourly,480,48,False,True,414,135322,1651090.5368892374,296.5040191680526,12.505092207094451,4.030156166059896,checkpoints/m4_reversal/revin_ols_m4_NR_Hourly_s480.npz
RN,revin_ols,Yearly,9,6,True,False,23000,398693,1822180737.0806067,23642.295270114144,156.32608134076645,5.439353541005403,checkpoints/m4_reversal/revin_ols_m4_RN_Yearly_s9.npz
RN,revin_ols,Quarterly,12,8,True,False,24000,1758113,28993301.529460367,2337.1313601940437,27.851990271316758,18.478974250145257,checkpoints/m4_reversal/revin_ols_m4_RN_Quarterly_s12.npz
RN,revin_ols,Monthly,27,18,True,False,48000,8270418,728301056.4532623,12365.079369867726,144.6223359264019,76.93088775011711,checkpoints/m4_reversal/revin_ols_m4_RN_Monthly_s27.npz
RN,revin_ols,Weekly,130,13,True,False,359,319964,307075.9853738133,295.56865830360675,7.4533090652088285,4.209838999900967,checkpoints/m4_reversal/revin_ols_m4_RN_Weekly_s130.npz
RN,revin_ols,Daily,140,14,True,False,4227,9322276,20776541.547685742,2057.2777885741684,41.94535348358594,102.92657241597772,checkpoints/m4_reversal/revin_ols_m4_RN_Daily_s140.npz
RN,revin_ols,Hourly,480,48,True,False,414,135322,1488417.9361290536,287.439620416014,14.489212189098447,3.4128585001453757,checkpoints/m4_reversal/revin_ols_m4_RN_Hourly_s480.npz
RR,revin_ols,Yearly,9,6,True,True,23000,398693,449699578.7310862,8496.515000577643,117.27084322542908,6.884927666978911,checkpoints/m4_reversal/revin_ols_m4_RR_Yearly_s9.npz
RR,revin_ols,Quarterly,12,8,True,True,24000,1758113,24382043.60151713,1848.4024298214165,23.71887428525561,22.97477775020525,checkpoints/m4_reversal/revin_ols_m4_RR_Quarterly_s12.npz
RR,revin_ols,Monthly,27,18,True,True,48000,8270418,689974799.3548836,12034.108180515435,135.82857059040356,92.57589983381331,checkpoints/m4_reversal/revin_ols_m4_RR_Monthly_s27.npz
RR,revin_ols,Weekly,130,13,True,True,359,319964,200494.4433068415,234.26752688437966,40.89726247380124,4.145746417110786,checkpoints/m4_reversal/revin_ols_m4_RR_Weekly_s130.npz
RR,revin_ols,Daily,140,14,True,True,4227,9322276,15222531.262379859,1609.7771112808118,36.77443589404324,120.18912379117683,checkpoints/m4_reversal/revin_ols_m4_RR_Daily_s140.npz
RR,revin_ols,Hourly,480,48,True,True,414,135322,1592589.6332740528,290.8852550152741,12.920827031691697,3.406670916825533,checkpoints/m4_reversal/revin_ols_m4_RR_Hourly_s480.npz
