case,model_name,seasonal_pattern,seq_len,pred_len,frequency,series_count,mse,mae,smape,mase,owa,naive_smape,naive_mase,checkpoint
NN,ols,Yearly,9,6,1,23000,3423864.6995448866,900.523193442335,15.898203106889541,4.12961895069265,1.005948959819108,16.34217348809131,3.9743602651835848,checkpoints/m4_reversal/ols_m4_NN_Yearly_s9.npz
NN,ols,Quarterly,12,8,4,24000,1967074.6001883484,635.4441987696125,12.229772412285602,1.6991164598291095,1.018585321241227,12.521366833774172,1.6022471761870838,checkpoints/m4_reversal/ols_m4_NN_Quarterly_s12.npz
NN,ols,Monthly,27,18,12,48000,1943915.6076548973,606.166588109299,14.812579618216745,1.279560777179062,0.9711086539039423,15.988281562780067,1.2597170382819993,checkpoints/m4_reversal/ols_m4_NN_Monthly_s27.npz
NN,ols,Weekly,130,13,1,359,335372.33023297077,317.45051460961184,7.968532822158944,2.7259928934138142,0.9256664981350358,9.161286913956424,2.777294993197484,checkpoints/m4_reversal/ols_m4_NN_Weekly_s130.npz
NN,ols,Daily,140,14,1,4227,498153.6640181416,182.6731524748448,3.0850984053459922,3.323475728806885,1.0134133160797871,3.0452517800571,3.2784242959709133,checkpoints/m4_reversal/ols_m4_NN_Daily_s140.npz
NN,ols,Hourly,480,48,24,414,1751767.4054454598,266.7962496289264,19.569914647993514,2.6228950848760277,1.8024245519736346,13.912272895203037,1.193210207420035,checkpoints/m4_reversal/ols_m4_NN_Hourly_s480.npz
NR,ols,Yearly,9,6,1,23000,3017134.2505853144,1071.0270966819176,24.299279847861044,5.5920152554648865,1.3920652007060754,19.42854926827774,3.6467347905728182,checkpoints/m4_reversal/ols_m4_NR_Yearly_s9.npz
NR,ols,Quarterly,12,8,4,24000,1954942.7994959657,730.280959682436,15.093429775773341,2.308167459404149,1.382632259305575,12.682663669074588,1.4653348081890543,checkpoints/m4_reversal/ols_m4_NR_Quarterly_s12.npz
NR,ols,Monthly,27,18,12,48000,1559149.186510917,570.144264574125,13.564969650551632,1.3540497466851105,1.0157742878307614,15.345046368483752,1.1799463898199907,checkpoints/m4_reversal/ols_m4_NR_Monthly_s27.npz
NR,ols,Weekly,130,13,1,359,227527.40619500724,277.13549949759766,40.82916918751311,2.81856419399275,4.638974020497372,5.156093172616785,2.0735060513928527,checkpoints/m4_reversal/ols_m4_NR_Weekly_s130.npz
NR,ols,Daily,140,14,1,4227,156522.8283222383,157.177991520893,7.386501994578555,2.9592778340846415,1.8339910498352592,2.792181240025279,2.8939935232929406,checkpoints/m4_reversal/ols_m4_NR_Daily_s140.npz
NR,ols,Hourly,480,48,24,414,2645627.959688578,354.91856296977454,21.10859712804418,3.3809010180460795,1.9678754386191164,14.83219803183893,1.345583799200641,checkpoints/m4_reversal/ols_m4_NR_Hourly_s480.npz
RN,ols,Yearly,9,6,1,23000,4967797.870744001,1222.6271756941137,20.046935458472138,5.2631536333345,1.2754881998497463,16.34217348809131,3.9743602651835848,checkpoints/m4_reversal/ols_m4_RN_Yearly_s9.npz
RN,ols,Quarterly,12,8,4,24000,2460067.97458143,813.117279303086,13.566090935566827,2.054638263890463,1.1828915923493835,12.521366833774172,1.6022471761870838,checkpoints/m4_reversal/ols_m4_RN_Quarterly_s12.npz
RN,ols,Monthly,27,18,12,48000,2000178.4196984603,626.3058420627391,14.480696788358964,1.286496258798949,0.9634825073595894,15.988281562780067,1.2597170382819993,checkpoints/m4_reversal/ols_m4_RN_Monthly_s27.npz
RN,ols,Weekly,130,13,1,359,392103.36897533096,356.35690640564894,8.490407882097633,3.5772876661671944,1.1074088224465284,9.161286913956424,2.777294993197484,checkpoints/m4_reversal/ols_m4_RN_Weekly_s130.npz
