case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint,model,base_model,family,output_transformation,last_value_mse,last_value_mae,log_mse_relative_to_last_value,skill_vs_last_value,log_mae_relative_to_last_value
NN,ETTh1,96,96,M,False,False,7,8449,2785,0.3814801240542964,0.3929667859875138,0.375,0.399,1.017280330811457,0.9848791628759744,0.0521431249799206,checkpoints/full/ols_ETTh1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.29437059478451,0.7131813544413377,-1.2217210788879136,0.7052775104816051,-0.5960106478558923
NN,ETTh1,96,192,M,False,False,7,8353,2689,0.4318271926181752,0.424339147092337,0.405,0.416,1.0662399817732722,1.0200460266642717,0.0480149999493733,checkpoints/full/ols_ETTh1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.3248802896757077,0.7331008428313128,-1.1210518957958135,0.6740632372726489,-0.546750257190078
NN,ETTh1,96,336,M,False,False,7,8209,2545,0.475388963731009,0.4506262692043437,0.439,0.443,1.0828905779749636,1.0172150546373449,0.0579140420304611,checkpoints/full/ols_ETTh1_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.3299273453322635,0.7459721343475545,-1.0287462521985897,0.6425451620349683,-0.5040499215071157
NN,ETTh1,96,720,M,False,False,7,7825,2161,0.5000009760985757,0.4969451622474762,0.472,0.49,1.0593241019037622,1.0141738005050536,0.0821851249784231,checkpoints/full/ols_ETTh1_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.3351206768325183,0.7550452793740796,-0.9821669107626635,0.6255012863070972,-0.41829803765286894
NN,ETTh2,96,96,M,False,False,7,8449,2785,0.3405435676928283,0.3933642669185136,0.289,0.353,1.178351445303904,1.114346365208254,0.0409713749540969,checkpoints/full/ols_ETTh2_s96_p96_M.npz,ols,dlinear_ols,linear,raw,0.4316573908288565,0.4216213778056135,-0.23708912729473577,0.21107902950780943,-0.06937163190432574
NN,ETTh2,96,192,M,False,False,7,8353,2689,0.4689830430004011,0.4697772665540426,0.383,0.418,1.224498806789559,1.1238690587417288,0.0468337909551337,checkpoints/full/ols_ETTh2_s96_p192_M.npz,ols,dlinear_ols,linear,raw,0.5337222253820949,0.4725376925324175,-0.12930891429083458,0.12129752013858264,-0.005858834878802401
NN,ETTh2,96,336,M,False,False,7,8209,2545,0.5845319827634773,0.5348068150059789,0.448,0.465,1.3047588900970477,1.1501221828085568,0.0561143750092014,checkpoints/full/ols_ETTh2_s96_p336_M.npz,ols,dlinear_ols,linear,raw,0.5972773239778436,0.5108653124194764,-0.02157003723504407,0.02133906763692761,0.045799609256501346
NN,ETTh2,96,720,M,False,False,7,7825,2161,0.8104608639473379,0.6480298931526445,0.605,0.551,1.3396047337972528,1.176097809714418,0.0837881250772625,checkpoints/full/ols_ETTh2_s96_p720_M.npz,ols,dlinear_ols,linear,raw,0.5944721534188736,0.5189911461013851,0.30992917900639294,-0.3633285584300119,0.22205000321118637
NN,ETTm1,96,96,M,False,False,7,34369,11425,0.3445113749611911,0.3713999112809146,0.299,0.343,1.1522119563919435,1.0827985751630165,0.1570535829523578,checkpoints/full/ols_ETTm1_s96_p96_M.npz,ols,dlinear_ols,linear,raw,1.2138966104780098,0.6647846126513508,-1.2594636949779783,0.7161938076212858,-0.5821836874009425
NN,ETTm1,96,192,M,False,False,7,34273,11329,0.38086127153255,0.3897867997632719,0.335,0.365,1.136899318007612,1.0679090404473204,0.1875127500388771,checkpoints/full/ols_ETTm1_s96_p192_M.npz,ols,dlinear_ols,linear,raw,1.261194998634244,0.6903626795111496,-1.1973797699942186,0.698015555132246,-0.5716171596071258
NN,ETTm1,96,336,M,False,False,7,34129,11185,0.4124151215066102,0.4119688438154714,0.369,0.386,1.1176561558444722,1.067276797449408,0.2287927080178633,checkpoints/full/ols_ETTm1_s96_p336_M.npz,ols,dlinear_ols,linear,raw,1.286579133188017,0.7072381965501472,-1.1377117217180994,0.6794483053019165,-0.5404197961408679
NN,ETTm1,96,720,M,False,False,7,33745,10801,0.4710537215784853,0.4483448827202737,0.425,0.421,1.10836169783173,1.064952215487586,0.3321803329745307,checkpoints/full/ols_ETTm1_s96_p720_M.npz,ols,dlinear_ols,linear,raw,1.3223119269664718,0.7294675571790642,-1.032164797321046,0.6437650512166717,-0.4867521305423074
NN,ETTm2,96,96,M,False,False,7,34369,11425,0.1979340029975327,0.2972914725463918,0.167,0.26,1.1852335508834293,1.1434287405630454,0.1575205420376733,checkpoints/full/ols_ETTm2_s96_p96_M.npz,ols,dlinear_ols,linear,raw,0.2664621778687468,0.3277646631499463,-0.29729865490340546,0.25717786824128386,-0.0975828138678222
NN,ETTm2,96,192,M,False,False,7,34273,11329,0.2882235720064894,0.3640000220046231,0.224,0.303,1.2867123750289706,1.20132020463572,0.1835024999454617,checkpoints/full/ols_ETTm2_s96_p192_M.npz,ols,dlinear_ols,linear,raw,0.3400000484773683,0.3706733118925936,-0.1652092895240922,0.15228373261342443,-0.018167185660505864
