dataset,model,base_model,family,output_transformation,seq_len,pred_len,features,mse_NN,mse_RR,mse_NR,mse_RN,mae_NN,mae_RR,mae_NR,mae_RN,RR_over_NN,NR_over_NN,RN_over_NN,RR_over_RN,RR_over_NR,NR_over_RR,NR_over_RN,mismatch_over_matched,interaction,log_RR_over_NN,log_NR_over_NN,log_RN_over_NN,log_mismatch_over_matched,log_interaction,abs_log_interaction,direction_asymmetry_NR_over_RN,abs_log_direction_asymmetry
ETTh1,ols,dlinear_ols,linear,raw,96,96,M,0.3814801240542964,0.3793783089051643,0.3800433139060087,0.3807556644828804,0.3929667859875138,0.3920820966340917,0.3919174718322504,0.3932840289915889,0.9944903678682013,0.9962335910636246,0.9981009244630714,0.9963825736392214,0.9982501862905845,1.0017528809244882,0.9981291136460461,0.999921858563964,1.0001495458263334,-0.005524866136520925,-0.003773519714861763,-0.0019008810671303472,-7.81444892370849e-05,0.0001495346454710194,0.0001495346454710194,0.9981291136460461,0.001872638647731406
ETTh1,ols,dlinear_ols,linear,raw,96,192,M,0.4318271926181752,0.4303737570398181,0.4326878007009845,0.4302212216532098,0.424339147092337,0.4208314512417548,0.42142150500108,0.4238965023147442,0.9966342194210955,1.0019929455521117,0.9962809869493665,1.0003545510517176,0.9946519322767652,1.0053768233385854,1.0057332807486725,1.0008212385946476,0.9983648642361533,-0.0033714575602521333,0.001990962270735576,-0.003725945773597977,0.0008209015627426687,-0.0016364740573898175,0.0016364740573898175,1.0057332807486725,0.00571690804433361
ETTh1,ols,dlinear_ols,linear,raw,96,336,M,0.475388963731009,0.4755604386416044,0.4803552513727301,0.4714422614365709,0.4506262692043437,0.4429130796159751,0.4449316903970243,0.4479407427927041,1.0003607044413687,1.0104467878318926,0.9916979513713086,1.0087352737374131,0.9900181944146059,1.0100824466072529,1.018905793275723,1.0008918565326101,0.9983061808745496,0.00036063940316094083,0.010392597228967697,-0.00833670256681216,0.0008914590648780073,-0.0016952552589947058,0.0016952552589947058,1.018905793275723,0.01872929979577987
ETTh1,ols,dlinear_ols,linear,raw,96,720,M,0.5000009760985757,0.4946958765769658,0.503505632036233,0.4802374207357408,0.4969451622474762,0.4666486882998535,0.4727230721230731,0.480889107996215,0.98938982166994,1.0070092981917826,0.9604729664388925,1.0301068913352776,0.9825031640189613,1.0178084271092496,1.0484514748243576,0.9889878007816109,1.0229368221177002,-0.01066686761769243,0.0069848472506806696,-0.04032944247008847,-0.011073282337815071,0.022677727601715325,0.022677727601715325,1.0484514748243576,0.04731428972076905
ETTh2,ols,dlinear_ols,linear,raw,96,96,M,0.3405435676928283,0.345909164925231,0.3436265067262419,0.3428101083265554,0.3933642669185136,0.3989568915617149,0.3974299004068499,0.3949276776631331,1.0157559787981152,1.0090529944649973,1.006655655395528,1.0090401552445574,1.006642846678902,0.9934009895358439,1.002381488701345,0.9999765205024379,0.9999872759701319,0.015633141960539717,0.009012261761327703,0.006633604310031087,-2.347977320981316e-05,-1.2724110819226698e-05,1.2724110819226698e-05,1.002381488701345,0.002378657451296651
ETTh2,ols,dlinear_ols,linear,raw,96,192,M,0.4689830430004011,0.4804778281215179,0.4681574688375992,0.481550343348584,0.4697772665540426,0.4832010528768941,0.4765496493300096,0.4767321928688138,1.0245100228945954,0.9982396502920017,1.0267969184296757,0.9977727869123546,1.0263166991963393,0.9743581106914203,0.972188007555235,1.0002600855620014,0.9995323133282571,0.02421447185500935,-0.0017619009442917577,0.026444168870566605,0.0002600517456149389,-0.000467796071265498,0.000467796071265498,0.972188007555235,0.028206069814858434
ETTh2,ols,dlinear_ols,linear,raw,96,336,M,0.5845319827634773,0.6200279227829898,0.578093636259079,0.6289175046434637,0.5348068150059789,0.5633532706136664,0.5437078322447643,0.5558555769817503,1.060725402657523,0.9889854675291505,1.0759334359604176,0.9858652656432046,1.0725389173893578,0.9323670999594837,0.9191883386785409,1.0020349634292065,0.9968450477904985,0.05895301619841572,-0.011075641573400035,0.07318859733571166,0.0020328956958267533,-0.003159939563896004,0.003159939563896004,0.9191883386785409,0.08426423890911172
ETTh2,ols,dlinear_ols,linear,raw,96,720,M,0.8104608639473379,0.9640571992090924,0.8369902848937434,0.9396686507423396,0.6480298931526445,0.7124231493448465,0.6631119235646167,0.6972136261366219,1.1895172760269581,1.0327337470895195,1.1594250784247584,1.0259544132365017,1.151814085072063,0.8681956688673721,0.890729178027297,1.0012064529091604,0.9934355453454259,0.17354757442754432,0.03220940966377874,0.14792426020944732,0.0012057257296625439,-0.0065860954456816575,0.0065860954456816575,0.890729178027297,0.11571485054566866
ETTm1,ols,dlinear_ols,linear,raw,96,96,M,0.3445113749611911,0.3470090945339764,0.3467075546825424,0.3448019857916967,0.3713999112809146,0.3724262759688146,0.3720516828205151,0.3717919332787814,1.0072500351347373,1.006374766933599,1.0008435449498243,1.0064010905772829,1.0008697239138908,0.9991310318484911,1.0055265600819274,0.9999841956653337,1.0000261568995459,0.007223879971162938,0.006354534047966244,0.0008431893657365076,-1.5804459556115814e-05,2.6156557460149956e-05,2.6156557460149956e-05,1.0055265600819274,0.005511344682229523
ETTm1,ols,dlinear_ols,linear,raw,96,192,M,0.38086127153255,0.3843457080948239,0.3841789914454893,0.3809772292417238,0.3897867997632719,0.3919946573641324,0.3917482160242351,0.3900958520154347,1.009148834031491,1.0087110981370961,1.0003044618023438,1.0088416802752347,1.0004339556640183,0.9995662325718141,1.008404077614135,0.9999336663915618,1.00012945444774,0.009107236966693615,0.008673375434202798,0.00030441546325465387,-6.633580860931984e-05,0.00012944606923599164,0.00012944606923599164,1.008404077614135,0.008368959970948196
