model,output_transformation,feature,target,pearson,spearman
revin_ols,revin_current_no_floor,trend_r2,abs_log_interaction_median,0.5576558230417483,0.8666666666666667
revin_ols,revin_current_no_floor,trend_slope_abs,abs_log_interaction_median,0.6148363449283977,0.8666666666666667
revin_ols,revin_current_no_floor,trend_r2,asymmetry_abs_log_median,0.6591063686431131,0.8499999999999999
revin_ols,revin_current_no_floor,trend_slope_abs,asymmetry_abs_log_median,0.6278127869036279,0.8499999999999999
revin_ols,revin_current_no_floor,train_test_mean_shift,abs_log_interaction_median,0.45483099611404637,0.8166666666666667
revin_ols,revin_current_no_floor,reverse_similarity,abs_log_interaction_median,0.3795318189339402,0.7166666666666667
revin_ols,revin_current_no_floor,reverse_similarity,interaction_median,-0.4092456406743247,-0.7166666666666667
revin_ols,revin_current_no_floor,train_test_mean_shift,asymmetry_abs_log_median,0.6052280618342668,0.7
revin_ols,revin_current_no_floor,lag1_autocorr,abs_log_interaction_median,0.3370915962731549,0.7
revin_ols,revin_current_no_floor,forward_similarity,interaction_median,0.6718269824081209,0.7
revin_ols,revin_current_no_floor,reverse_similarity_gain,abs_log_interaction_median,0.6198428259439903,0.6833333333333333
revin_ols,revin_current_no_floor,reverse_similarity_gain,interaction_median,-0.6518272858039051,-0.6666666666666667
revin_ols,revin_current_no_floor,train_test_scale_shift,asymmetry_abs_log_median,0.45272009260266244,0.65
ols,raw,trend_r2,interaction_median,-0.2585416232142324,-0.6333333333333333
ols,raw,trend_r2,mismatch_over_matched_median,0.16155034975405727,0.6333333333333333
ols,raw,trend_slope_abs,interaction_median,-0.3029479738375241,-0.6333333333333333
ols,raw,trend_slope_abs,mismatch_over_matched_median,0.1979612785098505,0.6333333333333333
ols,raw,forward_similarity,abs_log_interaction_median,-0.7187770138120079,-0.6333333333333333
revin_ols,revin_current_no_floor,roughness_std_diff,asymmetry_abs_log_median,-0.3252304144686531,-0.6166666666666666
revin_ols,revin_current_no_floor,reverse_similarity,mismatch_over_matched_median,0.3982775345852057,0.6166666666666666
ols,raw,train_test_scale_shift,asymmetry_abs_log_median,-0.09572581851345693,-0.6
ols,raw,reverse_similarity_gain,abs_log_interaction_median,0.7573179677091328,0.6
revin_ols,revin_current_no_floor,reverse_similarity_gain,asymmetry_abs_log_median,0.2353170069338431,0.6
ols,raw,reverse_similarity,abs_log_interaction_median,0.5344465220259615,0.5833333333333334
revin_ols,revin_current_no_floor,forward_similarity,mismatch_over_matched_median,-0.6480663926713462,-0.5833333333333334
revin_ols,revin_current_no_floor,reverse_similarity_gain,mismatch_over_matched_median,0.6309492399173664,0.5499999999999999
revin_ols,revin_current_no_floor,lag1_autocorr,asymmetry_abs_log_median,0.46638981196368473,0.5166666666666667
revin_ols,revin_current_no_floor,reverse_similarity,asymmetry_abs_log_median,0.28402397682783515,0.5
revin_ols,revin_current_no_floor,trend_slope_abs,interaction_median,-0.6273690612928235,-0.5
revin_ols,revin_current_no_floor,trend_r2,interaction_median,-0.5702094918714811,-0.5
revin_ols,revin_current_no_floor,trend_slope_abs,mismatch_over_matched_median,0.658669620415797,0.48333333333333334
revin_ols,revin_current_no_floor,trend_r2,mismatch_over_matched_median,0.606731253677614,0.48333333333333334
ols,raw,forward_similarity,asymmetry_abs_log_median,-0.6881099915423887,-0.48333333333333334
ols,raw,reverse_similarity,asymmetry_abs_log_median,0.4419914373621555,0.4666666666666666
revin_ols,revin_current_no_floor,period_autocorr,abs_log_interaction_median,-0.3586989547745938,0.4666666666666666
revin_ols,revin_current_no_floor,roughness_std_diff,abs_log_interaction_median,-0.0813326518465994,-0.4666666666666666
ols,raw,reverse_similarity_gain,asymmetry_abs_log_median,0.6817890518984712,0.45
revin_ols,revin_current_no_floor,train_test_mean_shift,interaction_median,-0.4830119772439325,-0.45
ols,raw,trend_r2,abs_log_interaction_median,0.5379952810577046,0.43333333333333335
ols,raw,trend_slope_abs,abs_log_interaction_median,0.5989638657529761,0.43333333333333335
ols,raw,train_test_mean_shift,abs_log_interaction_median,0.5164703730079684,0.38333333333333336
revin_ols,revin_current_no_floor,train_test_mean_shift,mismatch_over_matched_median,0.5075654462827908,0.38333333333333336
ols,raw,trend_r2,asymmetry_abs_log_median,0.5253763647624436,0.35
ols,raw,trend_slope_abs,asymmetry_abs_log_median,0.5870580518665096,0.35
revin_ols,revin_current_no_floor,forward_similarity,abs_log_interaction_median,-0.6489524484914219,-0.35
revin_ols,revin_current_no_floor,train_test_scale_shift,mismatch_over_matched_median,-0.0270044524401075,-0.33333333333333337
ols,raw,train_test_mean_shift,asymmetry_abs_log_median,0.4612714349044386,0.3
revin_ols,revin_current_no_floor,lag1_autocorr,interaction_median,-0.3539093232039952,-0.2833333333333333
revin_ols,revin_current_no_floor,forward_similarity,asymmetry_abs_log_median,-0.09976563553694832,-0.26666666666666666
revin_ols,revin_current_no_floor,roughness_std_diff,interaction_median,0.10874054300107082,0.26666666666666666
ols,raw,reverse_similarity,interaction_median,0.07852565545937959,-0.2333333333333333
ols,raw,reverse_similarity,mismatch_over_matched_median,-0.21002448049692646,0.2333333333333333
ols,raw,train_test_mean_shift,mismatch_over_matched_median,-0.067055337770578,0.2333333333333333
ols,raw,train_test_mean_shift,interaction_median,-0.04785038011589406,-0.2333333333333333
revin_ols,revin_current_no_floor,lag1_autocorr,mismatch_over_matched_median,0.3658790446162837,0.21666666666666667
ols,raw,train_test_scale_shift,abs_log_interaction_median,-0.09911633572413792,-0.19999999999999998
revin_ols,revin_current_no_floor,period_autocorr,interaction_median,0.3191336340001305,0.15
ols,raw,lag1_autocorr,asymmetry_abs_log_median,0.35130373343007565,0.13333333333333333
ols,raw,lag1_autocorr,interaction_median,-0.020722034238539782,-0.13333333333333333
ols,raw,lag1_autocorr,mismatch_over_matched_median,-0.0714659522770287,0.13333333333333333
revin_ols,revin_current_no_floor,period_autocorr,asymmetry_abs_log_median,0.2150136270598456,0.13333333333333333
revin_ols,revin_current_no_floor,train_test_scale_shift,interaction_median,0.05467296069321965,0.13333333333333333
ols,raw,roughness_std_diff,asymmetry_abs_log_median,-0.1435502312012214,0.11666666666666665
ols,raw,period_autocorr,asymmetry_abs_log_median,-0.2997452453520241,0.11666666666666665
ols,raw,roughness_std_diff,mismatch_over_matched_median,0.3686179170446446,0.11666666666666665
ols,raw,roughness_std_diff,interaction_median,-0.28117402638102473,-0.11666666666666665
revin_ols,revin_current_no_floor,roughness_std_diff,mismatch_over_matched_median,-0.09640672511892016,-0.09999999999999999
ols,raw,forward_similarity,interaction_median,0.31803292587132287,-0.09999999999999999
ols,raw,forward_similarity,mismatch_over_matched_median,-0.1966948734983393,0.09999999999999999
ols,raw,lag1_autocorr,abs_log_interaction_median,0.39751106492785254,0.08333333333333334
ols,raw,period_autocorr,abs_log_interaction_median,-0.1894323473042264,-0.08333333333333334
ols,raw,train_test_scale_shift,interaction_median,0.046963004704632154,-0.06666666666666667
revin_ols,revin_current_no_floor,period_autocorr,mismatch_over_matched_median,-0.3008777997874214,-0.06666666666666667
ols,raw,period_autocorr,mismatch_over_matched_median,-0.7039245762355154,-0.06666666666666667
ols,raw,period_autocorr,interaction_median,0.6666312181121976,0.06666666666666667
ols,raw,train_test_scale_shift,mismatch_over_matched_median,-0.033873917592472214,0.06666666666666667
ols,raw,reverse_similarity_gain,interaction_median,-0.13963777828175905,-0.049999999999999996
ols,raw,reverse_similarity_gain,mismatch_over_matched_median,-0.01381825779576106,0.049999999999999996
revin_ols,revin_current_no_floor,train_test_scale_shift,abs_log_interaction_median,-0.054651255322770466,0.016666666666666666
ols,raw,roughness_std_diff,abs_log_interaction_median,-0.23508765008558744,0.0
