dataset,seq_len,pred_len,features,case,last_value_mse,last_value_mae
ETTh1,96,96,M,NN,1.2943705947845099,0.7131813544413377
ETTh1,96,96,M,NR,1.3039855579190063,0.7174139674890206
ETTh1,96,96,M,RN,1.2943705947845099,0.7131813544413377
ETTh1,96,96,M,RR,1.3039855579190063,0.7174139674890206
ETTh1,96,192,M,NN,1.3248802896757075,0.7331008428313128
ETTh1,96,192,M,NR,1.3192809497952158,0.7317726855611987
ETTh1,96,192,M,RN,1.3248802896757075,0.7331008428313128
ETTh1,96,192,M,RR,1.3192809497952158,0.7317726855611987
ETTh1,96,336,M,NN,1.3299273453322635,0.7459721343475545
ETTh1,96,336,M,NR,1.3207068770170445,0.7416716891449354
ETTh1,96,336,M,RN,1.3299273453322635,0.7459721343475545
ETTh1,96,336,M,RR,1.3207068770170445,0.7416716891449354
ETTh1,96,720,M,NN,1.3351206768325183,0.7550452793740796
ETTh1,96,720,M,NR,1.340621549628209,0.7560459024302172
ETTh1,96,720,M,RN,1.3351206768325183,0.7550452793740796
ETTh1,96,720,M,RR,1.340621549628209,0.7560459024302172
ETTh2,96,96,M,NN,0.43165739082885657,0.4216213778056135
ETTh2,96,96,M,NR,0.43326669670415696,0.4227312854964394
ETTh2,96,96,M,RN,0.43165739082885657,0.4216213778056135
ETTh2,96,96,M,RR,0.43326669670415696,0.4227312854964394
ETTh2,96,192,M,NN,0.5337222253820949,0.47253769253241756
ETTh2,96,192,M,NR,0.5298878986323559,0.47107257411978065
ETTh2,96,192,M,RN,0.5337222253820949,0.47253769253241756
ETTh2,96,192,M,RR,0.5298878986323559,0.47107257411978065
ETTh2,96,336,M,NN,0.5972773239778436,0.5108653124194764
ETTh2,96,336,M,NR,0.6132736026383379,0.5183873552292267
ETTh2,96,336,M,RN,0.5972773239778436,0.5108653124194764
ETTh2,96,336,M,RR,0.6132736026383379,0.5183873552292267
ETTh2,96,720,M,NN,0.5944721534188736,0.5189911461013851
ETTh2,96,720,M,NR,0.7059561259254034,0.5756071560579062
ETTh2,96,720,M,RN,0.5944721534188736,0.5189911461013851
ETTh2,96,720,M,RR,0.7059561259254034,0.5756071560579062
ETTm1,96,96,M,NN,1.2138966104780098,0.6647846126513508
ETTm1,96,96,M,NR,1.2178743202654843,0.6662944616053731
ETTm1,96,96,M,RN,1.2138966104780098,0.6647846126513508
ETTm1,96,96,M,RR,1.2178743202654843,0.6662944616053731
ETTm1,96,192,M,NN,1.261194998634244,0.6903626795111496
ETTm1,96,192,M,NR,1.2612430119781577,0.6905574338177154
ETTm1,96,192,M,RN,1.261194998634244,0.6903626795111496
ETTm1,96,192,M,RR,1.2612430119781577,0.6905574338177154
ETTm1,96,336,M,NN,1.286579133188017,0.7072381965501472
ETTm1,96,336,M,NR,1.2804343678261882,0.7051268438467903
ETTm1,96,336,M,RN,1.286579133188017,0.7072381965501472
ETTm1,96,336,M,RR,1.2804343678261882,0.7051268438467903
ETTm1,96,720,M,NN,1.3223119269664718,0.7294675571790642
ETTm1,96,720,M,NR,1.3103914183110015,0.7238698474060361
ETTm1,96,720,M,RN,1.3223119269664718,0.7294675571790642
ETTm1,96,720,M,RR,1.3103914183110015,0.7238698474060361
ETTm2,96,96,M,NN,0.2664621778687468,0.32776466314994634
ETTm2,96,96,M,NR,0.2668938696922901,0.32816386552466675
ETTm2,96,96,M,RN,0.2664621778687468,0.32776466314994634
ETTm2,96,96,M,RR,0.2668938696922901,0.32816386552466675
ETTm2,96,192,M,NN,0.3400000484773683,0.3706733118925936
ETTm2,96,192,M,NR,0.3400579664107291,0.3707244167033041
ETTm2,96,192,M,RN,0.3400000484773683,0.3706733118925936
ETTm2,96,192,M,RR,0.3400579664107291,0.3707244167033041
ETTm2,96,336,M,NN,0.41205514078030886,0.409911052599337
ETTm2,96,336,M,NR,0.4118143232770392,0.40968854056742454
ETTm2,96,336,M,RN,0.41205514078030886,0.409911052599337
ETTm2,96,336,M,RR,0.4118143232770392,0.40968854056742454
ETTm2,96,720,M,NN,0.521559336660132,0.4656224290737428
ETTm2,96,720,M,NR,0.5213019338402124,0.4658149917869719
ETTm2,96,720,M,RN,0.521559336660132,0.4656224290737428
ETTm2,96,720,M,RR,0.5213019338402124,0.4658149917869719
electricity,96,96,M,NN,1.5878367829771234,0.9454555139361822
electricity,96,96,M,NR,1.582612803035613,0.9439475932688978
electricity,96,96,M,RN,1.5878367829771234,0.9454555139361822
electricity,96,96,M,RR,1.582612803035613,0.9439475932688978
electricity,96,192,M,NN,1.5961736352251155,0.9507093725102963
electricity,96,192,M,NR,1.597295094993688,0.9510680851378809
electricity,96,192,M,RN,1.5961736352251155,0.9507093725102963
electricity,96,192,M,RR,1.597295094993688,0.9510680851378809
electricity,96,336,M,NN,1.6178496658651245,0.9613233559502435
electricity,96,336,M,NR,1.6266141838899237,0.9637680713593466
electricity,96,336,M,RN,1.6178496658651245,0.9613233559502435
electricity,96,336,M,RR,1.6266141838899237,0.9637680713593466
electricity,96,720,M,NN,1.6467607892842342,0.9753622504651288
electricity,96,720,M,NR,1.6580454744369908,0.9776376267575535
electricity,96,720,M,RN,1.6467607892842342,0.9753622504651288
electricity,96,720,M,RR,1.6580454744369908,0.9776376267575535
exchange_rate,96,96,M,NN,0.08112569259697819,0.19635661926016906
exchange_rate,96,96,M,NR,0.08045600433487153,0.19501381040746021
exchange_rate,96,96,M,RN,0.08112569259697819,0.19635661926016906
exchange_rate,96,96,M,RR,0.08045600433487153,0.19501381040746021
exchange_rate,96,192,M,NN,0.1671189513404892,0.2886756792265636
exchange_rate,96,192,M,NR,0.171057397525158,0.288861638014829
exchange_rate,96,192,M,RN,0.1671189513404892,0.2886756792265636
exchange_rate,96,192,M,RR,0.171057397525158,0.288861638014829
exchange_rate,96,336,M,NN,0.3056997217031902,0.39781499815866544
exchange_rate,96,336,M,NR,0.30360570349964966,0.39670110250166923
exchange_rate,96,336,M,RN,0.3056997217031902,0.39781499815866544
exchange_rate,96,336,M,RR,0.30360570349964966,0.39670110250166923
exchange_rate,96,720,M,NN,0.8100644170721474,0.6764451581766724
exchange_rate,96,720,M,NR,0.794806667735535,0.676781168813453
exchange_rate,96,720,M,RN,0.8100644170721474,0.6764451581766724
exchange_rate,96,720,M,RR,0.794806667735535,0.676781168813453
illness,104,24,M,NN,6.213324146402461,1.622230997974994
illness,104,24,M,NR,3.030749722370647,1.1760959404008982
illness,104,24,M,RN,6.213324146402461,1.622230997974994
illness,104,24,M,RR,3.030749722370647,1.1760959404008982
illness,104,36,M,NN,7.713821968534773,1.9058852247527518
illness,104,36,M,NR,3.8293750077449205,1.3658587889884666
illness,104,36,M,RN,7.713821968534773,1.9058852247527518
