case,dataset,pred_len,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear
NN,ETTh1,96,0.3814801240542964,0.3929667859875138,0.375,0.399,1.017280330811457,0.9848791628759744
NN,ETTh1,192,0.4318271926181752,0.424339147092337,0.405,0.416,1.0662399817732722,1.0200460266642717
NN,ETTh1,336,0.475388963731009,0.4506262692043437,0.439,0.443,1.0828905779749636,1.0172150546373449
NN,ETTh1,720,0.5000009760985757,0.4969451622474762,0.472,0.49,1.0593241019037622,1.0141738005050536
NN,ETTh2,96,0.3405435676928283,0.3933642669185136,0.289,0.353,1.178351445303904,1.114346365208254
NN,ETTh2,192,0.4689830430004011,0.4697772665540426,0.383,0.418,1.224498806789559,1.1238690587417288
NN,ETTh2,336,0.5845319827634773,0.5348068150059789,0.448,0.465,1.3047588900970477,1.1501221828085568
NN,ETTh2,720,0.8104608639473379,0.6480298931526445,0.605,0.551,1.3396047337972528,1.176097809714418
NN,ETTm1,96,0.3445113749611911,0.3713999112809146,0.299,0.343,1.1522119563919435,1.0827985751630165
NN,ETTm1,192,0.38086127153255,0.3897867997632719,0.335,0.365,1.136899318007612,1.0679090404473204
NN,ETTm1,336,0.4124151215066102,0.4119688438154714,0.369,0.386,1.1176561558444722,1.067276797449408
NN,ETTm1,720,0.4710537215784853,0.4483448827202737,0.425,0.421,1.10836169783173,1.064952215487586
NN,ETTm2,96,0.1979340029975327,0.2972914725463918,0.167,0.26,1.1852335508834293,1.1434287405630454
NN,ETTm2,192,0.2882235720064894,0.3640000220046231,0.224,0.303,1.2867123750289706,1.20132020463572
NN,ETTm2,336,0.3892003210510681,0.4310135027743191,0.281,0.342,1.3850545233134095,1.2602733999249096
NN,ETTm2,720,0.5567356044643684,0.5237269916239066,0.397,0.421,1.4023566863082328,1.2440071059950275
NN,electricity,96,0.1945653911502309,0.2774011741833414,0.141,0.237,1.3798963911363895,1.1704690893811875
NN,electricity,192,0.1938402293569773,0.2802755338096012,0.154,0.248,1.2587027880323205,1.1301432814903274
NN,electricity,336,0.2067783432583612,0.2960530579105049,0.171,0.265,1.209230077534276,1.1171813506056791
NN,electricity,720,0.2423158813166889,0.3292184011214843,0.21,0.297,1.1538851491270905,1.108479465055503
NN,exchange_rate,96,0.0802464999170322,0.202160142603275,0.089,0.208,0.9016460664835084,0.9719237625157452
NN,exchange_rate,192,0.1659577851668483,0.3002952827733089,0.18,0.3,0.9219876953713798,1.00098427591103
NN,exchange_rate,336,0.3024518382614224,0.4120847569928778,0.331,0.415,0.9137517772248412,0.9929753180551274
NN,exchange_rate,720,0.8297614958058462,0.6821429652234731,1.033,0.78,0.8032541101702287,0.8745422631070168
NN,traffic,96,0.648631942461111,0.3960947061173274,0.41,0.279,1.5820291279539294,1.4196942871588794
NN,traffic,192,0.598342341433408,0.3704324417951998,0.423,0.284,1.4145209017338252,1.304339583785915
NN,traffic,336,0.6051667731221522,0.3732005572455075,0.435,0.29,1.3911879841888557,1.2868984732603708
NN,traffic,720,0.6456079473866364,0.3949643513422158,0.464,0.307,1.391396438333268,1.286528831733602
NN,weather,96,0.195037645364608,0.2533440101144976,0.182,0.232,1.071635414091253,1.0920000435969723
NN,weather,192,0.2354719921656459,0.2923500575944353,0.225,0.269,1.0465421874028706,1.0868031880834024
NN,weather,336,0.2812729100756499,0.3303264939738943,0.271,0.301,1.0379074172533207,1.097430212537855
NN,weather,720,0.3450693811500002,0.3806315498267627,0.338,0.348,1.0209153288461543,1.0937688213412722
NN,illness,24,2.1952276006802394,1.0237821211113034,1.683,0.858,1.3043538922639568,1.1932192553744796
NN,illness,36,2.221240641577469,1.0468768526077767,1.703,0.859,1.304310417837621,1.218715777191824
NN,illness,48,2.2623476904067825,1.0686957001628437,1.719,0.884,1.3160835895327414,1.208931787514529
NN,illness,60,2.385154406727298,1.1037811236802175,1.819,0.917,1.3112448635114338,1.2036871577755917
RN,ETTh1,96,0.3807556644828804,0.3932840289915889,0.375,0.399,1.0153484386210143,0.9856742581242828
RN,ETTh1,192,0.4302212216532098,0.4238965023147442,0.405,0.416,1.0622746213659502,1.0189819767181352
RN,ETTh1,336,0.4714422614365709,0.4479407427927041,0.439,0.443,1.0739003677370635,1.011152918267955
RN,ETTh1,720,0.4802374207357408,0.480889107996215,0.472,0.49,1.0174521625757222,0.9814063428494184
NR,ETTh1,96,0.3800433139060087,0.3919174718322504,0.375,0.399,1.01344883708269,0.9822493028377204
NR,ETTh1,192,0.4326878007009845,0.42142150500108,0.405,0.416,1.0683649400024309,1.013032463944904
NR,ETTh1,336,0.4803552513727301,0.4449316903970243,0.439,0.443,1.0942033060882237,1.0043604749368495
NR,ETTh1,720,0.503505632036233,0.4727230721230731,0.472,0.49,1.0667492204157478,0.9647409635164756
RR,ETTh1,96,0.3793783089051643,0.3920820966340917,0.375,0.399,1.0116754904137717,0.9826618963260444
RR,ETTh1,192,0.4303737570398181,0.4208314512417548,0.405,0.416,1.062651251950168,1.0116140654849877
RR,ETTh1,336,0.4755604386416044,0.4429130796159751,0.439,0.443,1.0832811814159555,0.9998037914581832
RR,ETTh1,720,0.4946958765769658,0.4666486882998535,0.472,0.49,1.0480844842732326,0.9523442618364358
RN,ETTh2,96,0.3428101083265554,0.3949276776631331,0.289,0.353,1.1861941464586694,1.1187752908304056
RN,ETTh2,192,0.481550343348584,0.4767321928688138,0.383,0.418,1.2573116014323342,1.1405076384421384
RN,ETTh2,336,0.6289175046434637,0.5558555769817503,0.448,0.465,1.403833715722017,1.1953883375951615
RN,ETTh2,720,0.9396686507423396,0.6972136261366219,0.605,0.551,1.5531713235410574,1.2653604830065732
NR,ETTh2,96,0.3436265067262419,0.3974299004068499,0.289,0.353,1.189019054416062,1.12586374052932
NR,ETTh2,192,0.4681574688375992,0.4765496493300096,0.383,0.418,1.2223432606725828,1.1400709314115065
NR,ETTh2,336,0.578093636259079,0.5437078322447643,0.448,0.465,1.290387580935444,1.1692641553650844
NR,ETTh2,720,0.8369902848937434,0.6631119235646167,0.605,0.551,1.3834550163532948,1.203469915725257
RR,ETTh2,96,0.345909164925231,0.3989568915617149,0.289,0.353,1.1969175256928408,1.1301894945091076
RR,ETTh2,192,0.4804778281215179,0.4832010528768941,0.383,0.418,1.254511300578376,1.1559833800882633
RR,ETTh2,336,0.6200279227829898,0.5633532706136664,0.448,0.465,1.3839908990691736,1.211512409921863
RR,ETTh2,720,0.9640571992090924,0.7124231493448465,0.605,0.551,1.5934829738993266,1.2929639734026253
RN,ETTm1,96,0.3448019857916967,0.3717919332787814,0.299,0.343,1.1531838989688854,1.083941496439596
RN,ETTm1,192,0.3809772292417238,0.3900958520154347,0.335,0.365,1.137245460423056,1.0687557589463963
RN,ETTm1,336,0.4125262342583425,0.4120758812502939,0.369,0.386,1.1179572744128523,1.067554096503352
RN,ETTm1,720,0.4705587983107813,0.4475337263388072,0.425,0.421,1.1071971724959562,1.063025478239447
NR,ETTm1,96,0.3467075546825424,0.3720516828205151,0.299,0.343,1.1595570390720482,1.0846987837332802
NR,ETTm1,192,0.3841789914454893,0.3917482160242351,0.335,0.365,1.146802959538774,1.0732827836280414
NR,ETTm1,336,0.4191372080359899,0.4130985188523042,0.369,0.386,1.1358731925094578,1.070203416715814
NR,ETTm1,720,0.4842606189434197,0.4480617918838175,0.425,0.421,1.1394367504551053,1.0642797906979038
RR,ETTm1,96,0.3470090945339764,0.3724262759688146,0.299,0.343,1.1605655335584495,1.0857908920373602
RR,ETTm1,192,0.3843457080948239,0.3919946573641324,0.335,0.365,1.1473006211785788,1.0739579653811848
RR,ETTm1,336,0.419232224250175,0.4130656967003002,0.369,0.386,1.1361306890248646,1.0701183852339382
RR,ETTm1,720,0.4835124034151342,0.447020265078995,0.425,0.421,1.1376762433297276,1.061805855294525
RN,ETTm2,96,0.1992053758936126,0.2987458652903643,0.167,0.26,1.192846562237201,1.1490225588090937
RN,ETTm2,192,0.2904148296023252,0.3658291301518607,0.224,0.303,1.29649477501038,1.2073568651876592
RN,ETTm2,336,0.3924259853146336,0.4331442911590248,0.281,0.342,1.3965337555680908,1.266503775318786
RN,ETTm2,720,0.5628065727613996,0.5270562869117548,0.397,0.421,1.4176487978876562,1.251915170811769
NR,ETTm2,96,0.198582307078238,0.2975577898871172,0.167,0.26,1.1891156112469343,1.144453038027374
NR,ETTm2,192,0.2891655595883149,0.3628348601033531,0.224,0.303,1.2909176767335488,1.1974747858196473
NR,ETTm2,336,0.3905345580414141,0.4301953306148074,0.281,0.342,1.3898026976562778,1.2578810836690275
NR,ETTm2,720,0.564651082369348,0.5309351277175638,0.397,0.421,1.422294917806922,1.261128569400389
RR,ETTm2,96,0.1998613677212344,0.2989417098893661,0.167,0.26,1.1967746570133797,1.1497758072667923
RR,ETTm2,192,0.2913616052876938,0.3645717542150403,0.224,0.303,1.3007214521772046,1.2032071096205952
RR,ETTm2,336,0.393749445001072,0.4322779177756853,0.281,0.342,1.4012435765162703,1.2639705198119453
RR,ETTm2,720,0.5707064955676765,0.5341516907855548,0.397,0.421,1.4375478477775223,1.268768861723408
RN,electricity,96,0.1944807603122161,0.2772194966008173,0.141,0.237,1.3792961724270647,1.1697025173030269
RN,electricity,192,0.1937740137194246,0.2802141967999547,0.154,0.248,1.2582728163599,1.1298959548385272
RN,electricity,336,0.2065540840081695,0.2958794184643792,0.171,0.265,1.207918619930816,1.116526107412752
RN,electricity,720,0.2419093556011839,0.3290706374656569,0.21,0.297,1.1519493123865905,1.1079819443288113
NR,electricity,96,0.1915120745164011,0.2766755524743667,0.141,0.237,1.358241663236888,1.1674073944066106
NR,electricity,192,0.1902178328031109,0.2791801141208965,0.154,0.248,1.2351807324877335,1.1257262666165182
NR,electricity,336,0.2048988961129787,0.2952113093926637,0.171,0.265,1.198239158555431,1.1140049411043915
NR,electricity,720,0.2366602223832742,0.3230871629582419,0.21,0.297,1.1269534399203536,1.0878355655159662
RR,electricity,96,0.1915115183658456,0.2765447200801124,0.141,0.237,1.358237718906707,1.166855358987816
RR,electricity,192,0.1902302513284864,0.2791424260018497,0.154,0.248,1.235261372262899,1.1255742983945554
RR,electricity,336,0.204891707660944,0.2951671436655043,0.171,0.265,1.198197120824234,1.1138382779830351
RR,electricity,720,0.2363799619324365,0.3228250999481158,0.21,0.297,1.125618866344936,1.0869531984785046
RN,exchange_rate,96,0.0825076328318847,0.2067780757946812,0.089,0.208,0.9270520542908396,0.994125364397506
RN,exchange_rate,192,0.1774759108616186,0.3128652956112823,0.18,0.3,0.9859772825645478,1.0428843187042744
RN,exchange_rate,336,0.3388239579434019,0.4381231641586926,0.331,0.415,1.0236373351764407,1.0557184678522715
RN,exchange_rate,720,0.9044981758716064,0.7199264835699793,1.033,0.78,0.8756032680267245,0.9229826712435631
NR,exchange_rate,96,0.1007151774739254,0.2204502127085447,0.089,0.208,1.1316312075721957,1.0598567918680035
NR,exchange_rate,192,0.2552397343854352,0.3609596607546399,0.18,0.3,1.4179985243635291,1.2031988691821331
NR,exchange_rate,336,0.5408210633540828,0.5508692471191082,0.331,0.415,1.6339004935168662,1.3273957761906223
NR,exchange_rate,720,1.745060766959535,1.021575956756713,1.033,0.78,1.6893134239685723,1.309712765072709
RR,exchange_rate,96,0.1095029644860694,0.2318032753312708,0.089,0.208,1.2303703874839265,1.114438823708033
RR,exchange_rate,192,0.2903883206969996,0.3886627943134976,0.18,0.3,1.6132684483166648,1.295542647711659
RR,exchange_rate,336,0.6257735268602578,0.5948210527304999,0.331,0.415,1.8905544618134675,1.4333037415192769
