case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
RN,ETTh1,96,96,M,True,False,7,8449,2785,0.38075566448288045,0.3932840289915889,0.375,0.399,1.0153484386210145,0.9856742581242829,0.04993158299475908,checkpoints/reversal/ols_RN_ETTh1_s96_p96_M.npz
RN,ETTh1,96,192,M,True,False,7,8353,2689,0.43022122165320986,0.4238965023147442,0.405,0.416,1.0622746213659502,1.0189819767181352,0.0520765419350937,checkpoints/reversal/ols_RN_ETTh1_s96_p192_M.npz
RN,ETTh1,96,336,M,True,False,7,8209,2545,0.4714422614365709,0.4479407427927041,0.439,0.443,1.0739003677370635,1.011152918267955,0.06418458302505314,checkpoints/reversal/ols_RN_ETTh1_s96_p336_M.npz
RN,ETTh1,96,720,M,True,False,7,7825,2161,0.4802374207357408,0.48088910799621504,0.472,0.49,1.0174521625757222,0.9814063428494184,0.09369391691870987,checkpoints/reversal/ols_RN_ETTh1_s96_p720_M.npz
NR,ETTh1,96,96,M,False,True,7,8449,2785,0.38004331390600876,0.39191747183225045,0.375,0.399,1.01344883708269,0.9822493028377204,0.043461167020723224,checkpoints/reversal/ols_NR_ETTh1_s96_p96_M.npz
NR,ETTh1,96,192,M,False,True,7,8353,2689,0.4326878007009845,0.42142150500108,0.405,0.416,1.0683649400024309,1.013032463944904,0.05134199990425259,checkpoints/reversal/ols_NR_ETTh1_s96_p192_M.npz
NR,ETTh1,96,336,M,False,True,7,8209,2545,0.4803552513727301,0.44493169039702435,0.439,0.443,1.0942033060882235,1.0043604749368495,0.06076262495480478,checkpoints/reversal/ols_NR_ETTh1_s96_p336_M.npz
NR,ETTh1,96,720,M,False,True,7,7825,2161,0.503505632036233,0.4727230721230731,0.472,0.49,1.0667492204157478,0.9647409635164756,0.10439566592685878,checkpoints/reversal/ols_NR_ETTh1_s96_p720_M.npz
RR,ETTh1,96,96,M,True,True,7,8449,2785,0.37937830890516433,0.3920820966340917,0.375,0.399,1.0116754904137715,0.9826618963260444,0.049721250077709556,checkpoints/reversal/ols_RR_ETTh1_s96_p96_M.npz
RR,ETTh1,96,192,M,True,True,7,8353,2689,0.4303737570398181,0.42083145124175486,0.405,0.416,1.062651251950168,1.0116140654849877,0.058435749961063266,checkpoints/reversal/ols_RR_ETTh1_s96_p192_M.npz
RR,ETTh1,96,336,M,True,True,7,8209,2545,0.47556043864160447,0.44291307961597515,0.439,0.443,1.0832811814159555,0.9998037914581832,0.06972324999514967,checkpoints/reversal/ols_RR_ETTh1_s96_p336_M.npz
RR,ETTh1,96,720,M,True,True,7,7825,2161,0.4946958765769658,0.46664868829985356,0.472,0.49,1.0480844842732326,0.9523442618364358,0.09787379100453109,checkpoints/reversal/ols_RR_ETTh1_s96_p720_M.npz
RN,ETTh2,96,96,M,True,False,7,8449,2785,0.3428101083265554,0.39492767766313314,0.289,0.353,1.1861941464586694,1.1187752908304056,0.04443583299871534,checkpoints/reversal/ols_RN_ETTh2_s96_p96_M.npz
RN,ETTh2,96,192,M,True,False,7,8353,2689,0.481550343348584,0.47673219286881385,0.383,0.418,1.2573116014323342,1.1405076384421384,0.05068333295639604,checkpoints/reversal/ols_RN_ETTh2_s96_p192_M.npz
RN,ETTh2,96,336,M,True,False,7,8209,2545,0.6289175046434637,0.5558555769817503,0.448,0.465,1.4038337157220173,1.1953883375951617,0.06372558407019824,checkpoints/reversal/ols_RN_ETTh2_s96_p336_M.npz
RN,ETTh2,96,720,M,True,False,7,7825,2161,0.9396686507423396,0.6972136261366219,0.605,0.551,1.5531713235410574,1.2653604830065732,0.09065304195974022,checkpoints/reversal/ols_RN_ETTh2_s96_p720_M.npz
NR,ETTh2,96,96,M,False,True,7,8449,2785,0.34362650672624195,0.39742990040684995,0.289,0.353,1.1890190544160621,1.12586374052932,0.04186849994584918,checkpoints/reversal/ols_NR_ETTh2_s96_p96_M.npz
NR,ETTh2,96,192,M,False,True,7,8353,2689,0.46815746883759923,0.47654964933000965,0.383,0.418,1.2223432606725828,1.1400709314115063,0.05006787495221943,checkpoints/reversal/ols_NR_ETTh2_s96_p192_M.npz
NR,ETTh2,96,336,M,False,True,7,8209,2545,0.578093636259079,0.5437078322447643,0.448,0.465,1.2903875809354441,1.1692641553650844,0.06045258301310241,checkpoints/reversal/ols_NR_ETTh2_s96_p336_M.npz
NR,ETTh2,96,720,M,False,True,7,7825,2161,0.8369902848937434,0.6631119235646167,0.605,0.551,1.3834550163532948,1.203469915725257,0.08695816702675074,checkpoints/reversal/ols_NR_ETTh2_s96_p720_M.npz
RR,ETTh2,96,96,M,True,True,7,8449,2785,0.345909164925231,0.39895689156171493,0.289,0.353,1.1969175256928408,1.1301894945091076,0.043404500000178814,checkpoints/reversal/ols_RR_ETTh2_s96_p96_M.npz
RR,ETTh2,96,192,M,True,True,7,8353,2689,0.48047782812151796,0.4832010528768941,0.383,0.418,1.254511300578376,1.1559833800882633,0.05384054104797542,checkpoints/reversal/ols_RR_ETTh2_s96_p192_M.npz
