case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse,mae,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint
NN,ETTh1,96,96,M,False,False,7,8449,2785,0.38778053070482826,0.39518962306335276,0.375,0.399,1.0340814152128754,0.9904501831161723,0.16541508305817842,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p96_M.npz
NN,ETTh1,96,192,M,False,False,7,8353,2689,0.44106951618278606,0.4260918135529075,0.405,0.416,1.0890605337846568,1.0242591671944892,0.17123570898547769,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p192_M.npz
NN,ETTh1,96,336,M,False,False,7,8209,2545,0.4863167475362365,0.4512429967841456,0.439,0.443,1.1077830240005386,1.018607216217033,0.193229875061661,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p336_M.npz
NN,ETTh1,96,720,M,False,False,7,7825,2161,0.487736560739837,0.476157852259817,0.472,0.49,1.0333401710589767,0.9717507188975857,0.2697017500177026,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p720_M.npz
RN,ETTh1,96,96,M,True,False,7,8449,2785,0.3849447390529718,0.39437105927731203,0.375,0.399,1.0265193041412581,0.9883986448052933,0.345931249903515,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p96_M.npz
RN,ETTh1,96,192,M,True,False,7,8353,2689,0.4341594132265543,0.4224134877952909,0.405,0.416,1.0719985511766772,1.0154170379694494,0.3053571659838781,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p192_M.npz
RN,ETTh1,96,336,M,True,False,7,8209,2545,0.47151579744785543,0.4406437233971702,0.439,0.443,1.0740678757354338,0.9946810911900004,0.24314154195599258,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p336_M.npz
RN,ETTh1,96,720,M,True,False,7,7825,2161,0.4496993904738839,0.4475333774994612,0.472,0.49,0.9527529459192456,0.9133334234682882,0.3677100409986451,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p720_M.npz
NR,ETTh1,96,96,M,False,True,7,8449,2785,0.3861475104045938,0.3941205070624773,0.375,0.399,1.02972669441225,0.9877706943921737,0.2079490409232676,checkpoints/revin_ols/revin_ols_NR_ETTh1_s96_p96_M.npz
NR,ETTh1,96,192,M,False,True,7,8353,2689,0.4414641588067448,0.42469506298840165,0.405,0.416,1.0900349600166537,1.0209015937221193,0.26312008302193135,checkpoints/revin_ols/revin_ols_NR_ETTh1_s96_p192_M.npz
