case,dataset,seq_len,pred_len,features,train_reversed,test_reversed,channels,train_windows,test_windows,mse_revin,mae_revin,dlinear_mse,dlinear_mae,mse_ratio_vs_dlinear,mae_ratio_vs_dlinear,seconds,checkpoint,mse_ols,mae_ols,mse_revin_vs_ols,mae_revin_vs_ols
NN,ETTh1,96,96,M,False,False,7,8449,2785,0.3877805307048282,0.3951896230633527,0.375,0.399,1.0340814152128754,0.9904501831161724,0.1654150830581784,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p96_M.npz,0.3814801240542964,0.3929667859875138,1.016515687851761,1.0056565520423133
NN,ETTh1,96,192,M,False,False,7,8353,2689,0.441069516182786,0.4260918135529075,0.405,0.416,1.0890605337846568,1.0242591671944892,0.1712357089854776,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p192_M.npz,0.4318271926181752,0.424339147092337,1.0214028290079984,1.0041303435532172
NN,ETTh1,96,336,M,False,False,7,8209,2545,0.4863167475362365,0.4512429967841456,0.439,0.443,1.1077830240005386,1.018607216217033,0.193229875061661,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p336_M.npz,0.475388963731009,0.4506262692043437,1.0229870372241348,1.0013686010380416
NN,ETTh1,96,720,M,False,False,7,7825,2161,0.487736560739837,0.476157852259817,0.472,0.49,1.033340171058977,0.9717507188975856,0.2697017500177026,checkpoints/revin_ols/revin_ols_NN_ETTh1_s96_p720_M.npz,0.5000009760985757,0.4969451622474762,0.9754712171675425,0.9581698111444594
RN,ETTh1,96,96,M,True,False,7,8449,2785,0.3849447390529718,0.394371059277312,0.375,0.399,1.026519304141258,0.9883986448052932,0.345931249903515,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p96_M.npz,0.3807556644828804,0.3932840289915889,1.0110020019683246,1.0027639827849362
RN,ETTh1,96,192,M,True,False,7,8353,2689,0.4341594132265543,0.4224134877952909,0.405,0.416,1.0719985511766772,1.0154170379694494,0.3053571659838781,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p192_M.npz,0.4302212216532098,0.4238965023147442,1.0091538756693852,0.9965014702613608
RN,ETTh1,96,336,M,True,False,7,8209,2545,0.4715157974478554,0.4406437233971702,0.439,0.443,1.0740678757354338,0.9946810911900004,0.2431415419559925,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p336_M.npz,0.4714422614365709,0.4479407427927041,1.0001559809488874,0.9837098555714303
RN,ETTh1,96,720,M,True,False,7,7825,2161,0.4496993904738839,0.4475333774994612,0.472,0.49,0.9527529459192456,0.9133334234682882,0.3677100409986451,checkpoints/revin_ols/revin_ols_RN_ETTh1_s96_p720_M.npz,0.4802374207357408,0.480889107996215,0.9364105566470193,0.9306373757647755
NR,ETTh1,96,96,M,False,True,7,8449,2785,0.3861475104045938,0.3941205070624773,0.375,0.399,1.02972669441225,0.9877706943921736,0.2079490409232676,checkpoints/revin_ols/revin_ols_NR_ETTh1_s96_p96_M.npz,0.3800433139060087,0.3919174718322504,1.0160618442036182,1.0056211712632446
NR,ETTh1,96,192,M,False,True,7,8353,2689,0.4414641588067448,0.4246950629884016,0.405,0.416,1.0900349600166537,1.0209015937221193,0.2631200830219313,checkpoints/revin_ols/revin_ols_NR_ETTh1_s96_p192_M.npz,0.4326878007009845,0.42142150500108,1.0202833500078854,1.0077678949661413
NR,ETTh1,96,336,M,False,True,7,8209,2545,0.4896081699092814,0.447700782037045,0.439,0.443,1.1152805692694336,1.0106112461332846,0.2475452080834657,checkpoints/revin_ols/revin_ols_NR_ETTh1_s96_p336_M.npz,0.4803552513727301,0.4449316903970243,1.0192626571898795,1.0062236331998509
NR,ETTh1,96,720,M,False,True,7,7825,2161,0.5054957343445979,0.4680321810088074,0.472,0.49,1.0709655388656736,0.955167716344505,0.3074620829429477,checkpoints/revin_ols/revin_ols_NR_ETTh1_s96_p720_M.npz,0.503505632036233,0.4727230721230731,1.0039524926470371,0.9900768729285876
RR,ETTh1,96,96,M,True,True,7,8449,2785,0.384686281552737,0.3941213803777332,0.375,0.399,1.025830084140632,0.9877728831522136,0.2458832500269636,checkpoints/revin_ols/revin_ols_RR_ETTh1_s96_p96_M.npz,0.3793783089051643,0.3920820966340917,1.0139912391483077,1.005201165167061
RR,ETTh1,96,192,M,True,True,7,8353,2689,0.4360205642409049,0.423736614378568,0.405,0.416,1.076593985780012,1.0185976307177116,0.2566777090542018,checkpoints/revin_ols/revin_ols_RR_ETTh1_s96_p192_M.npz,0.4303737570398181,0.4208314512417548,1.0131207052212627,1.006903388822867
RR,ETTh1,96,336,M,True,True,7,8209,2545,0.4840750748225708,0.4488102946573011,0.439,0.443,1.1026767080240791,1.0131157892941334,0.288029000046663,checkpoints/revin_ols/revin_ols_RR_ETTh1_s96_p336_M.npz,0.4755604386416044,0.4429130796159751,1.017904424946044,1.0133146102762176
RR,ETTh1,96,720,M,True,True,7,7825,2161,0.5349604785739234,0.4905604852513713,0.472,0.49,1.1333908444362784,1.0011438474517782,0.3667362079722807,checkpoints/revin_ols/revin_ols_RR_ETTh1_s96_p720_M.npz,0.4946958765769658,0.4666486882998535,1.0813926371805793,1.0512415389800749
NN,ETTh2,96,96,M,False,False,7,8449,2785,0.3836778179515689,0.4033278817240718,0.289,0.353,1.3276049064068132,1.1425719029010533,0.1870355829596519,checkpoints/revin_ols/revin_ols_NN_ETTh2_s96_p96_M.npz,0.3405435676928283,0.3933642669185136,1.1266629422807009,1.0253292320718652
NN,ETTh2,96,192,M,False,False,7,8353,2689,0.8629460838396449,0.6282289809629799,0.383,0.418,2.2531229343071666,1.5029401458444496,0.1900667079025879,checkpoints/revin_ols/revin_ols_NN_ETTh2_s96_p192_M.npz,0.4689830430004011,0.4697772665540426,1.8400368557438587,1.3372911498490085
NN,ETTh2,96,336,M,False,False,7,8209,2545,2.140319257108673,1.020558171699907,0.448,0.465,4.77749834176043,2.194748756343886,0.2060042499797418,checkpoints/revin_ols/revin_ols_NN_ETTh2_s96_p336_M.npz,0.5845319827634773,0.5348068150059789,3.66159478047709,1.9082744330557897
