analysis,case,metric,target,pearson,spearman,n
revin_vs_ols_same_case,NN,trend_r2,revin_vs_ols_mse,-0.08571995473047637,0.016666666666666666,9
revin_vs_ols_same_case,NN,trend_slope_abs,revin_vs_ols_mse,-0.10592110996201388,0.016666666666666666,9
revin_vs_ols_same_case,NN,lag1_autocorr,revin_vs_ols_mse,0.023483841691155596,0.06666666666666667,9
revin_vs_ols_same_case,NN,period_autocorr,revin_vs_ols_mse,-0.217131395538402,0.09999999999999999,9
revin_vs_ols_same_case,NN,roughness_std_diff,revin_vs_ols_mse,-0.2293046261440318,-0.5166666666666667,9
revin_vs_ols_same_case,NN,train_test_mean_shift,revin_vs_ols_mse,-0.055422835755622235,0.21666666666666667,9
revin_vs_ols_same_case,NN,train_test_scale_shift,revin_vs_ols_mse,0.655353015043266,0.7666666666666667,9
revin_vs_ols_same_case,NN,forward_similarity,revin_vs_ols_mse,0.24165330520508146,0.13333333333333333,9
revin_vs_ols_same_case,NN,reverse_similarity,revin_vs_ols_mse,-0.013777348766828129,-0.06666666666666667,9
revin_vs_ols_same_case,NN,reverse_similarity_gain,revin_vs_ols_mse,-0.15167201631502653,0.09999999999999999,9
revin_vs_ols_same_case,NR,trend_r2,revin_vs_ols_mse,0.16621975678287565,0.33333333333333337,9
revin_vs_ols_same_case,NR,trend_slope_abs,revin_vs_ols_mse,0.16609694255442026,0.33333333333333337,9
revin_vs_ols_same_case,NR,lag1_autocorr,revin_vs_ols_mse,0.12014548609752754,-0.11666666666666665,9
revin_vs_ols_same_case,NR,period_autocorr,revin_vs_ols_mse,-0.40224346700387964,-0.3666666666666667,9
revin_vs_ols_same_case,NR,roughness_std_diff,revin_vs_ols_mse,-0.15050509034016765,-0.13333333333333333,9
revin_vs_ols_same_case,NR,train_test_mean_shift,revin_vs_ols_mse,0.11178291131271817,0.08333333333333334,9
revin_vs_ols_same_case,NR,train_test_scale_shift,revin_vs_ols_mse,0.6022080766796276,0.5833333333333334,9
revin_vs_ols_same_case,NR,forward_similarity,revin_vs_ols_mse,0.004480439008719394,0.0,9
revin_vs_ols_same_case,NR,reverse_similarity,revin_vs_ols_mse,0.04938697623056242,-0.016666666666666666,9
revin_vs_ols_same_case,NR,reverse_similarity_gain,revin_vs_ols_mse,0.027989627611490566,0.09999999999999999,9
revin_vs_ols_same_case,RN,trend_r2,revin_vs_ols_mse,-0.33630113174231435,-0.48333333333333334,9
revin_vs_ols_same_case,RN,trend_slope_abs,revin_vs_ols_mse,-0.3444626968010676,-0.48333333333333334,9
revin_vs_ols_same_case,RN,lag1_autocorr,revin_vs_ols_mse,0.029799521247080064,-0.049999999999999996,9
revin_vs_ols_same_case,RN,period_autocorr,revin_vs_ols_mse,-0.32697949216057426,-0.11666666666666665,9
revin_vs_ols_same_case,RN,roughness_std_diff,revin_vs_ols_mse,-0.2527767103692915,-0.19999999999999998,9
revin_vs_ols_same_case,RN,train_test_mean_shift,revin_vs_ols_mse,-0.3297597835084975,-0.33333333333333337,9
revin_vs_ols_same_case,RN,train_test_scale_shift,revin_vs_ols_mse,0.41471280604683214,0.3666666666666667,9
revin_vs_ols_same_case,RN,forward_similarity,revin_vs_ols_mse,0.37028748808826356,0.39999999999999997,9
revin_vs_ols_same_case,RN,reverse_similarity,revin_vs_ols_mse,-0.031633441939373175,-0.38333333333333336,9
revin_vs_ols_same_case,RN,reverse_similarity_gain,revin_vs_ols_mse,-0.23893715506019075,-0.43333333333333335,9
revin_vs_ols_same_case,RR,trend_r2,revin_vs_ols_mse,-0.2895225090325875,-0.03333333333333333,9
revin_vs_ols_same_case,RR,trend_slope_abs,revin_vs_ols_mse,-0.28806545827249336,-0.03333333333333333,9
revin_vs_ols_same_case,RR,lag1_autocorr,revin_vs_ols_mse,0.011991165387877973,-0.016666666666666666,9
revin_vs_ols_same_case,RR,period_autocorr,revin_vs_ols_mse,-0.5017374711381426,-0.5166666666666667,9
revin_vs_ols_same_case,RR,roughness_std_diff,revin_vs_ols_mse,-0.1604867195994503,-0.06666666666666667,9
revin_vs_ols_same_case,RR,train_test_mean_shift,revin_vs_ols_mse,-0.33944504612135473,-0.2833333333333333,9
revin_vs_ols_same_case,RR,train_test_scale_shift,revin_vs_ols_mse,0.4080913865355987,0.43333333333333335,9
revin_vs_ols_same_case,RR,forward_similarity,revin_vs_ols_mse,0.3155652359149645,0.26666666666666666,9
revin_vs_ols_same_case,RR,reverse_similarity,revin_vs_ols_mse,-0.08295170848417906,-0.16666666666666669,9
revin_vs_ols_same_case,RR,reverse_similarity_gain,revin_vs_ols_mse,-0.23836846951935342,-0.33333333333333337,9
revin_minus_ols_reversal_effect,NR,trend_r2,delta,0.18405405130816285,0.26666666666666666,9
revin_minus_ols_reversal_effect,NR,trend_slope_abs,delta,0.2121994875950416,0.26666666666666666,9
revin_minus_ols_reversal_effect,NR,lag1_autocorr,delta,-0.07977878899604074,-0.33333333333333337,9
revin_minus_ols_reversal_effect,NR,period_autocorr,delta,-0.6497794761562351,-0.19999999999999998,9
revin_minus_ols_reversal_effect,NR,roughness_std_diff,delta,0.39613870556266456,0.5666666666666667,9
revin_minus_ols_reversal_effect,NR,train_test_mean_shift,delta,-0.05052759030135494,-0.13333333333333333,9
