family,metric,case,n_blocks,median,mean
deep_ltsf,mse,NN,242,0.35578158497810364,0.5267814785734681
deep_ltsf,mse,NR,242,0.353999599814415,1102421.8094949934
deep_ltsf,mse,RN,242,0.3703640252351761,2.295815475870016
deep_ltsf,mse,RR,242,0.34552615880966187,74.91458825702387
deep_ltsf,mae,NN,242,0.39787156879901886,0.42915861271629646
deep_ltsf,mae,NR,242,0.3977266103029251,24.48414625245924
deep_ltsf,mae,RN,242,0.4022637754678726,0.49396260168926776
deep_ltsf,mae,RR,242,0.39382655918598175,0.7969727985991919
shallow_ltsf,mse,NN,80,0.37377065287938704,0.5000438958992
shallow_ltsf,mse,NR,80,0.3830951977054058,0.5185099520565809
shallow_ltsf,mse,RN,80,0.37783074901025954,0.47188430767395284
shallow_ltsf,mse,RR,80,0.3820321039028364,0.4837928361937413
shallow_ltsf,mae,NN,80,0.38967963074598255,0.42155695081611466
shallow_ltsf,mae,NR,80,0.3866046106280441,0.42873663745025203
shallow_ltsf,mae,RN,80,0.3859263308565958,0.41605630199619903
shallow_ltsf,mae,RR,80,0.38544356195833346,0.4220714109196556
deep_m4_official,owa,NN,42,1.0707705,1.3563482857142857
deep_m4_official,owa,NR,42,1.070784,1.4024600476190476
deep_m4_official,owa,RN,42,6.9978795,9.965843452380952
deep_m4_official,owa,RR,42,6.9978795,9.972014642857143
deep_m4_official,smape,NN,42,13.088414499999999,14.286262595238096
deep_m4_official,smape,NR,42,13.160111,14.6425855952381
deep_m4_official,smape,RN,42,72.044342,71.60468830952382
deep_m4_official,smape,RR,42,72.044342,71.60365783333334
deep_m4_official,mase,NN,42,3.4794285,3.83565619047619
deep_m4_official,mase,NR,42,3.504381,4.007869261904761
deep_m4_official,mase,RN,42,19.224974500000002,31.774593809523815
deep_m4_official,mase,RR,42,19.224974500000002,31.804307523809527
