family,subgroup,metric,block_definition,n_blocks,statistic,p_value,kendall_w,p_label,p_fdr_bh_all_omnibus,significant_fdr_0.05
deep_ltsf,ALL,mse,model+dataset+seq_len+pred_len+lr,242,49.4033057851243,1.070445942269385e-10,0.06804863055802246,***,1.070445942269385e-09,True
deep_ltsf,model=DLinear,mse,model+dataset+seq_len+pred_len+lr,50,0.16800000000000637,0.9825819469306074,0.0011200000000000424,ns,0.9825819469306074,False
deep_ltsf,model=GRU,mse,model+dataset+seq_len+pred_len+lr,30,18.28000000000003,0.0003850660952224972,0.20311111111111144,***,0.0011973414074986724,True
deep_ltsf,model=PatchTST,mse,model+dataset+seq_len+pred_len+lr,30,7.0,0.07189777249646513,0.07777777777777778,ns,0.09460233223219096,False
deep_ltsf,model=TimeFilter,mse,model+dataset+seq_len+pred_len+lr,26,1.292307692307702,0.7309604966080164,0.01656804733727823,ns,0.7614171839666838,False
deep_ltsf,model=TimeMixer,mse,model+dataset+seq_len+pred_len+lr,38,6.315789473684276,0.0972173807104433,0.05540166204986207,ns,0.12152172588805411,False
deep_ltsf,model=TimesNet,mse,model+dataset+seq_len+pred_len+lr,30,37.24000000000001,4.093610957180214e-08,0.41377777777777786,***,2.924007826557295e-07,True
deep_ltsf,model=iTransformer,mse,model+dataset+seq_len+pred_len+lr,38,18.53684210526319,0.0003408060545501142,0.16260387811634378,***,0.0011973414074986724,True
deep_ltsf,ALL,mae,model+dataset+seq_len+pred_len+lr,242,76.92396694214904,1.401791083586438e-16,0.1059558773307838,***,1.7522388544830473e-15,True
deep_ltsf,model=DLinear,mae,model+dataset+seq_len+pred_len+lr,50,2.231999999999971,0.525672902849259,0.014879999999999807,ns,0.5592264923928288,False
deep_ltsf,model=GRU,mae,model+dataset+seq_len+pred_len+lr,30,27.28000000000003,5.142923804385175e-06,0.30311111111111144,***,3.214327377740735e-05,True
deep_ltsf,model=PatchTST,mae,model+dataset+seq_len+pred_len+lr,30,12.759999999999991,0.005185439800512639,0.14177777777777767,**,0.007856726970473694,True
deep_ltsf,model=TimeFilter,mae,model+dataset+seq_len+pred_len+lr,26,2.400000000000034,0.49363462271172176,0.030769230769231208,ns,0.536559372512741,False
deep_ltsf,model=TimeMixer,mae,model+dataset+seq_len+pred_len+lr,38,11.431578947368394,0.009607061172075354,0.10027700831024906,**,0.014128031135404931,True
deep_ltsf,model=TimesNet,mae,model+dataset+seq_len+pred_len+lr,30,39.960000000000036,1.0865154333969751e-08,0.4440000000000004,***,9.054295278308126e-08,True
deep_ltsf,model=iTransformer,mae,model+dataset+seq_len+pred_len+lr,38,23.968421052631584,2.536207101742843e-05,0.2102493074792244,***,0.00014090039454126908,True
shallow_ltsf,ALL,mse,model+dataset+seq_len+pred_len,80,3.3450000000000273,0.34142843105019116,0.013937500000000113,ns,0.3879868534661263,False
shallow_ltsf,model=KNN,mse,model+dataset+seq_len+pred_len,16,5.174999999999983,0.15942222271860151,0.10781249999999964,ns,0.18978836037928754,False
shallow_ltsf,model=OLS,mse,model+dataset+seq_len+pred_len,16,10.349999999999994,0.015813733054650822,0.21562499999999987,*,0.022591047220929746,True
shallow_ltsf,model=RevIN-OLS,mse,model+dataset+seq_len+pred_len,32,7.162499999999966,0.06689480332423325,0.07460937499999964,ns,0.09039838287058548,False
shallow_ltsf,model=Ridge,mse,model+dataset+seq_len+pred_len,16,2.7749999999999773,0.42763191420506297,0.057812499999999524,ns,0.4751465713389588,False
shallow_ltsf,ALL,mae,model+dataset+seq_len+pred_len,80,3.4349999999999454,0.32929076700262694,0.014312499999999773,ns,0.38289624070072903,False
shallow_ltsf,model=KNN,mae,model+dataset+seq_len+pred_len,16,6.375,0.0947247162783777,0.1328125,ns,0.12144194394663807,False
shallow_ltsf,model=OLS,mae,model+dataset+seq_len+pred_len,16,5.924999999999983,0.11531670198195589,0.12343749999999964,ns,0.14063012436823888,False
shallow_ltsf,model=RevIN-OLS,mae,model+dataset+seq_len+pred_len,32,7.9874999999999545,0.0462707506338978,0.08320312499999953,*,0.06426493143596917,False
shallow_ltsf,model=Ridge,mae,model+dataset+seq_len+pred_len,16,0.9749999999999943,0.8073009059649182,0.020312499999999883,ns,0.8237764346580798,False
deep_m4_official,ALL,owa,model+dataset,42,119.90909090909085,8.072637849309732e-26,0.9516594516594512,***,2.450143934269062e-24,True
deep_m4_official,model=DLinear,owa,model+dataset,6,17.470588235294127,0.0005654737589924422,0.9705882352941182,***,0.0011973414074986724,True
deep_m4_official,model=GRU,owa,model+dataset,6,17.192307692307697,0.0006452076422393262,0.9551282051282054,***,0.0011973414074986724,True
deep_m4_official,model=PatchTST,owa,model+dataset,6,17.235294117647065,0.0006321982271058243,0.9575163398692814,***,0.0011973414074986724,True
deep_m4_official,model=TimeFilter,owa,model+dataset,6,17.4,0.000584720220604732,0.9666666666666666,***,0.0011973414074986724,True
deep_m4_official,model=TimeMixer,owa,model+dataset,6,17.716981132075478,0.0005030976053606067,0.9842767295597488,***,0.0011973414074986724,True
deep_m4_official,model=TimesNet,owa,model+dataset,6,16.73076923076923,0.0008028038079150627,0.9294871794871794,***,0.0013380063465251045,True
deep_m4_official,model=iTransformer,owa,model+dataset,6,17.111111111111118,0.0006705111881992566,0.9506172839506176,***,0.0011973414074986724,True
deep_m4_official,ALL,smape,model+dataset,42,118.70027247956399,1.4700863605614373e-25,0.9420656545997143,***,2.450143934269062e-24,True
deep_m4_official,model=DLinear,smape,model+dataset,6,17.470588235294127,0.0005654737589924422,0.9705882352941182,***,0.0011973414074986724,True
deep_m4_official,model=GRU,smape,model+dataset,6,17.192307692307697,0.0006452076422393262,0.9551282051282054,***,0.0011973414074986724,True
deep_m4_official,model=PatchTST,smape,model+dataset,6,17.235294117647065,0.0006321982271058243,0.9575163398692814,***,0.0011973414074986724,True
deep_m4_official,model=TimeFilter,smape,model+dataset,6,17.4,0.000584720220604732,0.9666666666666666,***,0.0011973414074986724,True
deep_m4_official,model=TimeMixer,smape,model+dataset,6,17.444444444444446,0.0005725275254336318,0.9691358024691359,***,0.0011973414074986724,True
deep_m4_official,model=TimesNet,smape,model+dataset,6,15.98181818181819,0.0011437589904505256,0.8878787878787883,**,0.001787123422578946,True
deep_m4_official,model=iTransformer,smape,model+dataset,6,17.111111111111118,0.0006705111881992566,0.9506172839506176,***,0.0011973414074986724,True
deep_m4_official,ALL,mase,model+dataset,42,119.2747252747252,1.1056894627442035e-25,0.9466248037676603,***,2.450143934269062e-24,True
deep_m4_official,model=DLinear,mase,model+dataset,6,17.470588235294127,0.0005654737589924422,0.9705882352941182,***,0.0011973414074986724,True
