block_definition,metric,subgroup,family,case_a,case_b,n_blocks,wilcoxon_statistic,p_value,median_delta_a_minus_b,mean_delta_a_minus_b,a_better_rate,b_better_rate,p_holm,significant_holm_0.05,p_label_holm
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,NN,NR,242,13476.0,0.2609351431490472,-0.0009012743830680847,-1102421.2827135148,0.5330578512396694,0.4669421487603306,0.2609351431490472,False,ns
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,NN,RN,242,8727.0,4.239647468006643e-08,-0.00234425812959671,-1.769033997296548,0.6363636363636364,0.36363636363636365,1.6958589872026573e-07,True,***
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,NN,RR,242,8821.0,6.877649861381262e-08,0.0031673312187194824,-74.3878067784504,0.3884297520661157,0.6115702479338843,2.0632949584143786e-07,True,***
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,NR,RN,242,10956.0,0.0005907058964413385,-0.0015359073877334595,1102419.5136795177,0.5702479338842975,0.4297520661157025,0.001181411792882677,True,**
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,NR,RR,242,8387.0,6.9363643267704196e-09,0.0030297040939331055,1102346.8949067362,0.3347107438016529,0.6652892561983471,3.46818216338521e-08,True,***
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,RN,RR,242,6491.0,5.008043625765536e-14,0.007360145449638367,-72.61877278115385,0.34297520661157027,0.6570247933884298,3.0048261754593214e-13,True,***
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,NN,NR,50,614.0,0.8258163298101913,-0.000814296305179596,0.08048267334699631,0.52,0.48,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,NN,RN,50,557.0,0.44326672141018975,0.00022148340940475464,-0.036663600653409956,0.44,0.56,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,NN,RR,50,592.0,0.6666519727454681,-0.000788465142250061,0.037203742116689684,0.54,0.46,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,NR,RN,50,548.0,0.39349457563481494,-0.00018037855625152588,-0.11714627400040627,0.52,0.48,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,NR,RR,50,545.0,0.3776732059941086,7.415562868118286e-05,-0.04327893123030663,0.44,0.56,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,RN,RR,50,546.0,0.3829036913273498,0.0006265118718147278,0.07386734277009964,0.48,0.52,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,NN,NR,30,132.0,0.03841841779649258,-0.02211262285709381,0.05954481959342957,0.6666666666666666,0.3333333333333333,0.07683683559298515,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,NN,RN,30,97.0,0.004338232800364494,-0.030936866998672485,-0.14574612180391947,0.6666666666666666,0.3333333333333333,0.017352931201457977,True,*
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,NN,RR,30,100.0,0.005382779985666275,0.010940007865428925,0.20276019622882208,0.3,0.7,0.017352931201457977,True,*
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,NR,RN,30,189.0,0.3817984350025654,-0.0012672990560531616,-0.20529094139734905,0.5333333333333333,0.4666666666666667,0.3817984350025654,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,NR,RR,30,31.0,4.421919584274292e-06,0.036716461181640625,0.1432153766353925,0.13333333333333333,0.8666666666666667,2.6531517505645752e-05,True,***
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,RN,RR,30,65.0,0.000283263623714447,0.03368173539638519,0.34850631803274157,0.3,0.7,0.001416318118572235,True,**
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,NN,NR,30,167.0,0.18396909348666668,0.0006649866700172424,0.09967302680015563,0.4,0.6,0.36793818697333336,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,NN,RN,30,142.0,0.0635564886033535,-0.0022426918148994446,-0.04055594156185786,0.6333333333333333,0.36666666666666664,0.1906694658100605,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,NN,RR,30,112.0,0.012047622352838516,0.006322413682937622,0.13139315247535704,0.36666666666666664,0.6333333333333333,0.06023811176419258,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,NR,RN,30,121.0,0.02084985189139843,-0.0011907964944839478,-0.1402289683620135,0.6666666666666666,0.3333333333333333,0.08339940756559372,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,NR,RR,30,178.0,0.2710056286305189,8.400902152061462e-05,0.03172012567520142,0.5,0.5,0.36793818697333336,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,RN,RR,30,87.0,0.0020201820880174637,0.013264864683151245,0.17194909403721492,0.3333333333333333,0.6666666666666666,0.012121092528104782,True,*
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,NN,NR,26,144.0,0.437446653842926,-7.687509059906006e-05,0.0641236720749965,0.5,0.5,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,NN,RN,26,138.0,0.35332122445106506,-0.000749979168176651,-0.15243589792114037,0.6538461538461539,0.34615384615384615,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,NN,RR,26,149.0,0.5153007805347443,-0.00046672672033309937,0.149248295965103,0.5,0.5,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,NR,RN,26,128.0,0.2369500696659088,-0.0022902488708496094,-0.21655956999613687,0.5769230769230769,0.4230769230769231,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,NR,RR,26,168.0,0.8612560033798218,0.0013882070779800415,0.0851246238901065,0.4230769230769231,0.5769230769230769,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,RN,RR,26,148.0,0.49919503927230835,0.00044389069080352783,0.3016841938862434,0.5,0.5,1.0,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeMixer,deep_ltsf,NN,NR,38,338.0,0.6462372204041458,0.0010369569063186646,-7020683.386965094,0.47368421052631576,0.5263157894736842,0.7611186062858906,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeMixer,deep_ltsf,NN,RN,38,309.0,0.3805593031429453,-0.001685597002506256,-10.885569505001369,0.631578947368421,0.3684210526315789,0.7611186062858906,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeMixer,deep_ltsf,NN,RR,38,245.0,0.06954077348927967,0.002187177538871765,-474.4358614932157,0.4473684210526316,0.5526315789473685,0.2781630939571187,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeMixer,deep_ltsf,NR,RN,38,253.0,0.0899039535142947,-0.0029975324869155884,7020672.50139559,0.6052631578947368,0.39473684210526316,0.2781630939571187,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeMixer,deep_ltsf,NR,RR,38,225.0,0.03440390372998081,0.003662109375,7020208.951103602,0.3157894736842105,0.6842105263157895,0.17201951864990406,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimeMixer,deep_ltsf,RN,RR,38,212.0,0.02071244606486289,0.004573225975036621,-463.5502919882144,0.3684210526315789,0.631578947368421,0.12427467638917733,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimesNet,deep_ltsf,NN,NR,30,92.0,0.0029870010912418365,-0.03759608417749405,0.11114022682110468,0.8,0.2,0.005974002182483673,True,**
model+dataset+seq_len+pred_len+lr,mse,model=TimesNet,deep_ltsf,NN,RN,30,33.0,5.973502993583679e-06,-0.040236376225948334,-0.08448846687873204,0.8333333333333334,0.16666666666666666,2.3894011974334717e-05,True,***
model+dataset+seq_len+pred_len+lr,mse,model=TimesNet,deep_ltsf,NN,RR,30,69.0,0.0004183966666460037,0.006282590329647064,0.1966522216796875,0.23333333333333334,0.7666666666666667,0.0012551899999380112,True,**
model+dataset+seq_len+pred_len+lr,mse,model=TimesNet,deep_ltsf,NR,RN,30,222.0,0.8393927440047264,0.00283224880695343,-0.19562869369983674,0.4666666666666667,0.5333333333333333,0.8393927440047264,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=TimesNet,deep_ltsf,NR,RR,30,13.0,1.6391277313232422e-07,0.06050571799278259,0.08551199485858281,0.13333333333333333,0.8666666666666667,9.834766387939453e-07,True,***
model+dataset+seq_len+pred_len+lr,mse,model=TimesNet,deep_ltsf,RN,RR,30,14.0,2.0489096641540527e-07,0.06436778604984283,0.28114068855841956,0.13333333333333333,0.8666666666666667,1.0244548320770264e-06,True,***
model+dataset+seq_len+pred_len+lr,mse,model=iTransformer,deep_ltsf,NN,NR,38,304.0,0.3425032254308462,0.00039019063115119934,0.11805030703544617,0.42105263157894735,0.5789473684210527,0.3425032254308462,False,ns
model+dataset+seq_len+pred_len+lr,mse,model=iTransformer,deep_ltsf,NN,RN,38,163.0,0.002044867622316815,-0.0020677968859672546,-0.014062022888346723,0.7105263157894737,0.2894736842105263,0.00817947048926726,True,**
model+dataset+seq_len+pred_len+lr,mse,model=iTransformer,deep_ltsf,NN,RR,38,116.0,0.00010579609079286456,0.006033599376678467,0.13286016959893077,0.2631578947368421,0.7368421052631579,0.0005289804539643228,True,***
model+dataset+seq_len+pred_len+lr,mse,model=iTransformer,deep_ltsf,NR,RN,38,193.0,0.009139040819718502,-0.0033499523997306824,-0.13211232992379288,0.631578947368421,0.3684210526315789,0.027417122459155507,True,*
model+dataset+seq_len+pred_len+lr,mse,model=iTransformer,deep_ltsf,NR,RR,38,197.0,0.010942958462692332,0.0027740001678466797,0.014809862563484594,0.34210526315789475,0.6578947368421053,0.027417122459155507,True,*
model+dataset+seq_len+pred_len+lr,mse,model=iTransformer,deep_ltsf,RN,RR,38,74.0,3.0936134862713516e-06,0.014119729399681091,0.14692219248727748,0.23684210526315788,0.7631578947368421,1.856168091762811e-05,True,***
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NN,NR,242,11160.0,0.0011592889245859983,-0.0024727731943130493,-24.054987639742944,0.5909090909090909,0.4090909090909091,0.0023185778491719967,True,**
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NN,RN,242,9057.0,2.2445838222083204e-07,-0.002198651432991028,-0.06480398897297127,0.628099173553719,0.371900826446281,8.978335288833282e-07,True,***
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NN,RR,242,9778.0,6.288289684381646e-06,0.0022203773260116577,-0.36781418588289544,0.34710743801652894,0.6528925619834711,1.886486905314494e-05,True,***
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NR,RN,242,12637.0,0.05824883638124425,-0.0007680505514144897,23.99018365076997,0.5537190082644629,0.4462809917355372,0.05824883638124425,False,ns
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,NR,RR,242,7444.0,2.7853018009458125e-11,0.002550780773162842,23.687173453860048,0.30165289256198347,0.6983471074380165,1.3926509004729064e-10,True,***
model+dataset+seq_len+pred_len+lr,mae,ALL,deep_ltsf,RN,RR,242,6892.0,7.843562283634118e-13,0.005208760499954224,-0.3030101969099242,0.2892561983471074,0.7107438016528925,4.706137370180471e-12,True,***
