block_definition,metric,subgroup,family,case,n_blocks,median,mean,mean_rank,wins_best_count,wins_best_rate
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,NN,242,0.35578158497810364,0.5267814785734681,2.4421487603305785,54,0.2231404958677686
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,NR,242,0.353999599814415,1102421.8094949934,2.628099173553719,44,0.18181818181818182
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,RN,242,0.3703640252351761,2.295815475870016,2.8636363636363638,40,0.1652892561983471
model+dataset+seq_len+pred_len+lr,mse,ALL,deep_ltsf,RR,242,0.34552615880966187,74.91458825702387,2.0661157024793386,104,0.4297520661157025
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,NN,50,0.37647920846939087,0.49866097897291184,2.5,12,0.24
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,NR,50,0.3824417293071747,0.4181783056259155,2.56,10,0.2
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,RN,50,0.37585514783859253,0.5353245796263217,2.48,14,0.28
model+dataset+seq_len+pred_len+lr,mse,model=DLinear,deep_ltsf,RR,50,0.38108785450458527,0.46145723685622214,2.46,14,0.28
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,NN,30,0.3881745934486389,0.6548029653728008,2.3666666666666667,7,0.23333333333333334
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,NR,30,0.4920802414417267,0.5952581457793713,3.0,3,0.1
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,RN,30,0.4261549860239029,0.8005490871767204,2.9,6,0.2
model+dataset+seq_len+pred_len+lr,mse,model=GRU,deep_ltsf,RR,30,0.363243043422699,0.45204276914397873,1.7333333333333334,14,0.4666666666666667
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,NN,30,0.30493150651454926,0.4561608172953129,2.6,5,0.16666666666666666
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,NR,30,0.29071976244449615,0.3564877904951572,2.2333333333333334,7,0.23333333333333334
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,RN,30,0.30128002166748047,0.49671675885717076,2.966666666666667,5,0.16666666666666666
model+dataset+seq_len+pred_len+lr,mse,model=PatchTST,deep_ltsf,RR,30,0.29355987906455994,0.32476766481995584,2.2,13,0.43333333333333335
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,NN,26,0.317665696144104,0.4959755064203189,2.3461538461538463,10,0.38461538461538464
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,NR,26,0.3035685122013092,0.43185183434532237,2.5,5,0.19230769230769232
model+dataset+seq_len+pred_len+lr,mse,model=TimeFilter,deep_ltsf,RN,26,0.3057916760444641,0.6484114043414593,2.730769230769231,3,0.11538461538461539
