source,model,dataset,case,lr,seq_len,pred_len,mae,mse,result_dir
deep_ltsf,DLinear,ETTh1,NN,0p0001,96,336,0.5413466691970825,0.6170066595077515,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p0001_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
deep_ltsf,DLinear,ETTh1,NN,0p0001,96,96,0.5044206976890564,0.5691572427749634,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p0001_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
deep_ltsf,DLinear,ETTh1,NN,0p0003,96,336,0.4920041263103485,0.5261525511741638,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p0003_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0003_0
deep_ltsf,DLinear,ETTh1,NN,0p0003,96,96,0.44772812724113464,0.4539696276187897,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p0003_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0003_0
deep_ltsf,DLinear,ETTh1,NN,0p001,96,336,0.47095316648483276,0.4927528202533722,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p001_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p001_0
deep_ltsf,DLinear,ETTh1,NN,0p001,96,96,0.4143039882183075,0.3995872139930725,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p001_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p001_0
deep_ltsf,DLinear,ETTh1,NN,0p003,96,336,0.45718762278556824,0.48023250699043274,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p003_s96_p336_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p003_0
deep_ltsf,DLinear,ETTh1,NN,0p003,96,96,0.4003225564956665,0.38691025972366333,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p003_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p003_0
deep_ltsf,DLinear,ETTh1,NN,0p005,336,336,0.4361889362335205,0.434763640165329,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p005_s336_p336_DLinear_ETTh1_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p005_0
deep_ltsf,DLinear,ETTh1,NN,0p005,336,96,0.3979182243347168,0.37416955828666687,analysis_input/extracted_bundle_20260718/server_extracted/tsl/results/long_term_forecast_DLinear_ETTh1_NN_lr0p005_s336_p96_DLinear_ETTh1_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p005_0
