source,model,dataset,case,lr,seq_len,pred_len,smape,mase,owa,result_dir
deep_m4,DLinear,M4_Yearly,NN,lr0p005,,,14.745499,3.438591,0.883745,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005
deep_m4,DLinear,M4_Quarterly,NN,lr0p005,,,10.586159,1.261685,0.940688,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005
deep_m4,DLinear,M4_Monthly,NN,lr0p005,,,13.370129,1.00764,0.937178,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005
deep_m4,DLinear,M4_Weekly,NN,lr0p005,,,12.267998,5.503244,1.660313,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005
deep_m4,DLinear,M4_Daily,NN,lr0p005,,,4.041355,4.448648,1.342024,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005
deep_m4,DLinear,M4_Hourly,NN,lr0p005,,,19.165461,3.751514,1.30447,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005
deep_m4,DLinear,M4_Yearly,NR,lr0p005,,,15.012744,3.508606,0.90073,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005
deep_m4,DLinear,M4_Quarterly,NR,lr0p005,,,10.609443,1.266755,0.943594,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005
deep_m4,DLinear,M4_Monthly,NR,lr0p005,,,13.370129,1.00764,0.937178,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005
deep_m4,DLinear,M4_Weekly,NR,lr0p005,,,12.267998,5.503244,1.660313,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005
deep_m4,DLinear,M4_Daily,NR,lr0p005,,,4.041355,4.448648,1.342024,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005
deep_m4,DLinear,M4_Hourly,NR,lr0p005,,,20.144247,4.527429,1.493076,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005
deep_m4,DLinear,M4_Yearly,RN,lr0p005,,,113.463374,22.35997,6.284517,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005
deep_m4,DLinear,M4_Quarterly,RN,lr0p005,,,83.996963,11.543846,8.022868,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005
deep_m4,DLinear,M4_Monthly,RN,lr0p005,,,63.340295,7.419657,5.684007,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005
deep_m4,DLinear,M4_Weekly,RN,lr0p005,,,80.821597,77.141633,18.298947,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005
deep_m4,DLinear,M4_Daily,RN,lr0p005,,,52.731634,56.692382,17.304294,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005
deep_m4,DLinear,M4_Hourly,RN,lr0p005,,,41.741844,18.086479,4.911165,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005
deep_m4,DLinear,M4_Yearly,RR,lr0p005,,,113.463374,22.35997,6.284517,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005
deep_m4,DLinear,M4_Quarterly,RR,lr0p005,,,83.996963,11.543846,8.022868,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005
deep_m4,DLinear,M4_Monthly,RR,lr0p005,,,63.340295,7.419657,5.684007,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005
deep_m4,DLinear,M4_Weekly,RR,lr0p005,,,80.821597,77.141633,18.298947,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005
deep_m4,DLinear,M4_Daily,RR,lr0p005,,,52.731634,56.692382,17.304294,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005
deep_m4,DLinear,M4_Hourly,RR,lr0p005,,,41.741844,18.086479,4.911165,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005
deep_m4,GRU,M4_Yearly,NN,lr0p001,,,13.718836,3.094671,0.809067,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001
deep_m4,GRU,M4_Quarterly,NN,lr0p001,,,10.879917,1.303589,0.969305,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001
deep_m4,GRU,M4_Monthly,NN,lr0p001,,,13.825966,1.085021,0.989361,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001
deep_m4,GRU,M4_Weekly,NN,lr0p001,,,11.77795,4.778428,1.503078,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001
deep_m4,GRU,M4_Daily,NN,lr0p001,,,3.238607,3.500156,1.065564,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001
deep_m4,GRU,M4_Hourly,NN,lr0p001,,,33.544772,10.576468,3.120386,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001
deep_m4,GRU,M4_Yearly,NR,lr0p001,,,13.835853,3.073546,0.809989,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001
deep_m4,GRU,M4_Quarterly,NR,lr0p001,,,10.959816,1.338275,0.985579,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001
deep_m4,GRU,M4_Monthly,NR,lr0p001,,,13.906777,1.096112,0.997377,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001
deep_m4,GRU,M4_Weekly,NR,lr0p001,,,11.77795,4.778428,1.503078,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001
deep_m4,GRU,M4_Daily,NR,lr0p001,,,3.238607,3.500156,1.065564,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001
deep_m4,GRU,M4_Hourly,NR,lr0p001,,,33.544772,10.576468,3.120386,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001
deep_m4,GRU,M4_Yearly,RN,lr0p001,,,107.764993,21.109026,5.952795,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_m4,GRU,M4_Quarterly,RN,lr0p001,,,82.271083,11.202164,7.819926,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_m4,GRU,M4_Monthly,RN,lr0p001,,,62.471942,7.317415,5.605837,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_m4,GRU,M4_Weekly,RN,lr0p001,,,80.829682,77.136193,18.298409,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_m4,GRU,M4_Daily,RN,lr0p001,,,52.987695,56.884508,17.375638,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_m4,GRU,M4_Hourly,RN,lr0p001,,,39.86684,16.259147,4.478684,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_m4,GRU,M4_Yearly,RR,lr0p001,,,107.764993,21.109026,5.952795,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_m4,GRU,M4_Quarterly,RR,lr0p001,,,82.271083,11.202164,7.819926,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_m4,GRU,M4_Monthly,RR,lr0p001,,,62.471942,7.317415,5.605837,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_m4,GRU,M4_Weekly,RR,lr0p001,,,80.838485,77.147598,18.300943,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_m4,GRU,M4_Daily,RR,lr0p001,,,52.987695,56.884508,17.375638,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_m4,GRU,M4_Hourly,RR,lr0p001,,,39.86684,16.259147,4.478684,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_m4,PatchTST,M4_Yearly,NN,lr0p0001,,,26.810736,6.330994,1.616772,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_m4,PatchTST,M4_Quarterly,NN,lr0p0001,,,10.334432,1.220543,0.914258,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_m4,PatchTST,M4_Monthly,NN,lr0p0001,,,13.086713,0.974794,0.911911,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_m4,PatchTST,M4_Weekly,NN,lr0p0001,,,11.780613,3.850376,1.336144,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_m4,PatchTST,M4_Daily,NN,lr0p0001,,,3.182034,3.436581,1.046579,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_m4,PatchTST,M4_Hourly,NN,lr0p0001,,,24.424331,5.521257,1.816967,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_m4,PatchTST,M4_Yearly,NR,lr0p0001,,,26.810736,6.330994,1.616772,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_m4,PatchTST,M4_Quarterly,NR,lr0p0001,,,10.334432,1.220543,0.914258,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_m4,PatchTST,M4_Monthly,NR,lr0p0001,,,13.12543,0.977951,0.914737,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_m4,PatchTST,M4_Weekly,NR,lr0p0001,,,11.780613,3.850376,1.336144,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_m4,PatchTST,M4_Daily,NR,lr0p0001,,,3.182034,3.436581,1.046579,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_m4,PatchTST,M4_Hourly,NR,lr0p0001,,,35.195682,10.497703,3.148846,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_m4,PatchTST,M4_Yearly,RN,lr0p0001,,,110.092567,22.760224,6.23174,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_m4,PatchTST,M4_Quarterly,RN,lr0p0001,,,82.557757,11.226589,7.841848,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_m4,PatchTST,M4_Monthly,RN,lr0p0001,,,62.119413,7.276348,5.574309,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_m4,PatchTST,M4_Weekly,RN,lr0p0001,,,80.978977,77.198278,18.317734,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_m4,PatchTST,M4_Daily,RN,lr0p0001,,,53.769567,57.396737,17.582135,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_m4,PatchTST,M4_Hourly,RN,lr0p0001,,,43.409328,16.633409,4.65317,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_m4,PatchTST,M4_Yearly,RR,lr0p0001,,,110.092567,22.760224,6.23174,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_m4,PatchTST,M4_Quarterly,RR,lr0p0001,,,82.557757,11.226589,7.841848,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_m4,PatchTST,M4_Monthly,RR,lr0p0001,,,62.119413,7.276348,5.574309,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_m4,PatchTST,M4_Weekly,RR,lr0p0001,,,80.978977,77.198278,18.317734,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_m4,PatchTST,M4_Daily,RR,lr0p0001,,,53.769567,57.396737,17.582135,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_m4,PatchTST,M4_Hourly,RR,lr0p0001,,,43.308312,17.718109,4.876869,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_m4,TimeFilter,M4_Yearly,NN,lr0p0001,,,14.723566,3.300375,0.865686,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_m4,TimeFilter,M4_Quarterly,NN,lr0p0001,,,11.655411,1.447964,1.057156,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_m4,TimeFilter,M4_Monthly,NN,lr0p0001,,,13.572533,1.047292,0.962837,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_m4,TimeFilter,M4_Weekly,NN,lr0p0001,,,13.090116,5.213751,1.653064,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_m4,TimeFilter,M4_Daily,NN,lr0p0001,,,4.000886,4.363846,1.322446,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_m4,TimeFilter,M4_Hourly,NN,lr0p0001,,,34.187087,10.356988,3.092036,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_m4,TimeFilter,M4_Yearly,NR,lr0p0001,,,14.723566,3.300375,0.865686,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_m4,TimeFilter,M4_Quarterly,NR,lr0p0001,,,11.655411,1.447964,1.057156,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_m4,TimeFilter,M4_Monthly,NR,lr0p0001,,,13.576851,1.048458,0.963535,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_m4,TimeFilter,M4_Weekly,NR,lr0p0001,,,13.090116,5.213751,1.653064,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_m4,TimeFilter,M4_Daily,NR,lr0p0001,,,4.000886,4.363846,1.322446,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_m4,TimeFilter,M4_Hourly,NR,lr0p0001,,,34.187087,10.356988,3.092036,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_m4,TimeFilter,M4_Yearly,RN,lr0p0001,,,107.959735,21.015883,5.947035,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_m4,TimeFilter,M4_Quarterly,RN,lr0p0001,,,82.854658,11.222623,7.853883,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_m4,TimeFilter,M4_Monthly,RN,lr0p0001,,,62.893611,7.29403,5.609455,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_m4,TimeFilter,M4_Weekly,RN,lr0p0001,,,81.243938,77.17535,18.328068,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_m4,TimeFilter,M4_Daily,RN,lr0p0001,,,52.798044,56.772727,17.327451,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_m4,TimeFilter,M4_Hourly,RN,lr0p0001,,,41.006803,15.743409,4.402022,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_m4,TimeFilter,M4_Yearly,RR,lr0p0001,,,107.959735,21.015883,5.947035,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_m4,TimeFilter,M4_Quarterly,RR,lr0p0001,,,82.854658,11.222623,7.853883,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_m4,TimeFilter,M4_Monthly,RR,lr0p0001,,,62.893611,7.29403,5.609455,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_m4,TimeFilter,M4_Weekly,RR,lr0p0001,,,81.243938,77.17535,18.328068,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_m4,TimeFilter,M4_Daily,RR,lr0p0001,,,52.798044,56.772727,17.327451,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_m4,TimeFilter,M4_Hourly,RR,lr0p0001,,,41.007317,15.803,4.414477,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_m4,TimeMixer,M4_Yearly,NN,lr0p01,,,13.575647,3.046074,0.798572,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_m4,TimeMixer,M4_Quarterly,NN,lr0p01,,,10.471466,1.241013,0.927944,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_m4,TimeMixer,M4_Monthly,NN,lr0p01,,,12.943802,0.96253,0.901191,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_m4,TimeMixer,M4_Weekly,NN,lr0p01,,,13.282425,4.88926,1.605141,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_m4,TimeMixer,M4_Daily,NN,lr0p01,,,3.310657,3.59336,1.091608,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_m4,TimeMixer,M4_Hourly,NN,lr0p01,,,23.136724,4.973581,1.66761,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_m4,TimeMixer,M4_Yearly,NR,lr0p01,,,13.576978,3.049073,0.79899,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_m4,TimeMixer,M4_Quarterly,NR,lr0p01,,,10.530308,1.261308,0.938015,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_m4,TimeMixer,M4_Monthly,NR,lr0p01,,,13.194792,0.991935,0.923716,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_m4,TimeMixer,M4_Weekly,NR,lr0p01,,,13.282425,4.88926,1.605141,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_m4,TimeMixer,M4_Daily,NR,lr0p01,,,3.310825,3.597118,1.092209,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_m4,TimeMixer,M4_Hourly,NR,lr0p01,,,24.914002,6.132627,1.957918,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_m4,TimeMixer,M4_Yearly,RN,lr0p01,,,108.740664,21.253747,6.000853,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_m4,TimeMixer,M4_Quarterly,RN,lr0p01,,,83.435069,11.312038,7.912838,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_m4,TimeMixer,M4_Monthly,RN,lr0p01,,,62.552608,7.305519,5.603039,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_m4,TimeMixer,M4_Weekly,RN,lr0p01,,,81.204445,77.236111,18.336851,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_m4,TimeMixer,M4_Daily,RN,lr0p01,,,53.84528,57.401006,17.595217,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
