case,,,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR
model,,,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost,OLS,OLS,OLS-revin,OLS-revin,Ridge,Ridge,KNN,KNN,XGBoost,XGBoost
metric,,,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae,mse,mae
dataset,seq_len,pred_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETTh1,96,96,0.3815,0.393,0.3878,0.3952,0.3815,0.393,0.6923,0.5665,,,0.38,0.3919,0.3861,0.3941,0.38,0.3919,0.7047,0.5733,,,0.3808,0.3933,0.3849,0.3944,0.3808,0.3933,0.7058,0.5712,,,0.3794,0.3921,0.3847,0.3941,0.3794,0.3921,0.6882,0.5634,,
ETTh1,96,192,0.4318,0.4243,0.4411,0.4261,0.4318,0.4243,0.7592,0.6003,,,0.4327,0.4214,0.4415,0.4247,0.4327,0.4214,0.7656,0.6033,,,0.4302,0.4239,0.4342,0.4224,0.4302,0.4239,0.7665,0.6006,,,0.4304,0.4208,0.436,0.4237,0.4304,0.4208,0.7528,0.5939,,
ETTh1,96,336,0.4754,0.4506,0.4863,0.4512,0.4754,0.4506,0.8511,0.6478,,,0.4804,0.4449,0.4896,0.4477,0.4804,0.4449,0.8579,0.6444,,,0.4714,0.4479,0.4715,0.4406,0.4714,0.4479,0.8593,0.6441,,,0.4756,0.4429,0.4841,0.4488,0.4756,0.4429,0.847,0.6301,,
ETTh1,96,720,0.5,0.4969,0.4877,0.4762,0.5,0.4969,0.9387,0.7013,,,0.5035,0.4727,0.5055,0.468,0.5035,0.4727,0.9214,0.681,,,0.4802,0.4809,0.4497,0.4475,0.4802,0.4809,0.9049,0.6823,,,0.4947,0.4666,0.535,0.4906,0.4947,0.4666,0.9047,0.6648,,
ETTh2,96,96,0.3405,0.3934,0.3837,0.4033,0.3405,0.3934,1.4621,0.6231,,,0.3436,0.3974,0.3868,0.4075,0.3436,0.3974,1.4335,0.6205,,,0.3428,0.3949,0.3427,0.3743,0.3428,0.3949,0.7364,0.5646,,,0.3459,0.399,0.3414,0.3753,0.3459,0.399,0.7498,0.5704,,
ETTh2,96,192,0.469,0.4698,0.8629,0.6282,0.469,0.4698,1.2728,0.6459,,,0.4682,0.4765,0.9145,0.6408,0.4682,0.4765,1.2624,0.6456,,,0.4816,0.4767,0.4997,0.4607,0.4816,0.4767,0.9164,0.6445,,,0.4805,0.4832,0.4842,0.4627,0.4805,0.4832,0.9428,0.6567,,
ETTh2,96,336,0.5845,0.5348,2.1403,1.0206,0.5845,0.5348,1.126,0.664,,,0.5781,0.5437,2.5592,1.1101,0.5781,0.5437,1.1374,0.6737,,,0.6289,0.5559,0.506,0.4717,0.6289,0.5559,1.1953,0.7677,,,0.62,0.5634,0.5122,0.4871,0.62,0.5634,1.2435,0.791,,
ETTh2,96,720,0.8105,0.648,5.3226,1.5347,0.8105,0.648,1.097,0.7283,,,0.837,0.6631,7.1259,1.8056,0.837,0.6631,1.1648,0.7574,,,0.9397,0.6972,0.6831,0.5634,0.9397,0.6972,1.3923,0.8706,,,0.9641,0.7124,0.8287,0.6494,0.9641,0.7124,1.5122,0.9176,,
ETTm1,96,96,0.3445,0.3714,0.5544,0.4829,0.3445,0.3714,0.6143,0.5156,,,0.3467,0.3721,0.5569,0.4816,0.3467,0.3721,0.6268,0.5229,,,0.3448,0.3718,0.6309,0.5184,0.3448,0.3718,0.6198,0.5186,,,0.347,0.3724,0.6337,0.5203,0.347,0.3724,0.6093,0.512,,
ETTm1,96,192,0.3809,0.3898,1.1233,0.7183,0.3809,0.3898,0.6515,0.5388,,,0.3842,0.3917,1.1183,0.7147,0.3842,0.3917,0.6608,0.545,,,0.381,0.3901,1.4074,0.8084,0.381,0.3901,0.6578,0.5436,,,0.3843,0.392,1.3984,0.8053,0.3843,0.392,0.6478,0.538,,
ETTm1,96,336,0.4124,0.412,1.6147,0.8927,0.4124,0.412,0.6852,0.563,,,0.4191,0.4131,1.5953,0.8859,0.4191,0.4131,0.6984,0.5689,,,0.4125,0.4121,1.9803,0.9969,0.4125,0.4121,0.6891,0.5637,,,0.4192,0.4131,1.9541,0.9887,0.4192,0.4131,0.6771,0.5567,,
ETTm1,96,720,0.4711,0.4483,1.5093,0.8803,0.4711,0.4483,0.7582,0.6029,,,0.4843,0.4481,1.4806,0.8661,0.4843,0.4481,0.768,0.6037,,,0.4706,0.4475,2.5229,1.1694,0.4706,0.4475,0.7674,0.6028,,,0.4835,0.447,2.4598,1.144,0.4835,0.447,0.7595,0.5961,,
ETTm2,96,96,0.1979,0.2973,0.1878,0.2661,0.1979,0.2973,0.3467,0.3899,,,0.1986,0.2976,0.1894,0.2682,0.1986,0.2976,0.3513,0.392,,,0.1992,0.2987,0.2508,0.3259,0.1992,0.2987,0.3834,0.4247,,,0.1999,0.2989,0.2566,0.3263,0.1999,0.2989,0.3861,0.4244,,
ETTm2,96,192,0.2882,0.364,0.263,0.3152,0.2882,0.364,0.5067,0.4704,,,0.2892,0.3628,0.2623,0.3183,0.2892,0.3628,0.5167,0.473,,,0.2904,0.3658,0.4816,0.4724,0.2904,0.3658,0.5836,0.522,,,0.2914,0.3646,0.4916,0.4671,0.2914,0.3646,0.5891,0.5221,,
ETTm2,96,336,0.3892,0.431,0.3482,0.3716,0.3892,0.431,0.6151,0.5161,,,0.3905,0.4302,0.3474,0.3737,0.3905,0.4302,0.6317,0.5225,,,0.3924,0.4331,0.6216,0.5484,0.3924,0.4331,0.7887,0.5864,,,0.3937,0.4323,0.6281,0.5429,0.3937,0.4323,0.8026,0.5875,,
ETTm2,96,720,0.5567,0.5237,0.9557,0.6384,0.5567,0.5237,1.2466,0.6881,,,0.5647,0.5309,0.9599,0.6428,0.5647,0.5309,1.2662,0.6977,,,0.5628,0.5271,0.9215,0.674,0.5628,0.5271,1.1544,0.7538,,,0.5707,0.5342,0.933,0.6778,0.5707,0.5342,1.1771,0.7582,,
electricity,96,96,0.1946,0.2774,0.2025,0.2842,0.1946,0.2774,0.485,0.5061,,,0.1915,0.2767,0.2015,0.2852,0.1915,0.2767,0.4934,0.5147,,,0.1945,0.2772,0.2024,0.2842,0.1945,0.2772,0.4945,0.5162,,,0.1915,0.2765,0.2015,0.2852,0.1915,0.2765,0.4754,0.5043,,
electricity,96,192,0.1938,0.2803,0.2045,0.2902,0.1938,0.2803,0.604,0.5941,,,0.1902,0.2792,0.2045,0.2917,0.1902,0.2792,0.6047,0.598,,,0.1938,0.2802,0.2068,0.2937,0.1938,0.2802,0.6028,0.5947,,,0.1902,0.2791,0.207,0.2953,0.1902,0.2791,0.5916,0.5899,,
electricity,96,336,0.2068,0.2961,0.2211,0.3081,0.2068,0.2961,0.9301,0.7562,,,0.2049,0.2952,0.2259,0.3126,0.2049,0.2952,0.926,0.7581,,,0.2066,0.2959,0.2288,0.3184,0.2066,0.2959,0.932,0.759,,,0.2049,0.2952,0.2348,0.3237,0.2049,0.2952,0.9256,0.7564,,
electricity,96,720,0.2423,0.3292,0.2685,0.3466,0.2423,0.3292,1.1792,0.8669,,,0.2367,0.3231,0.268,0.3438,0.2367,0.3231,1.1687,0.8657,,,0.2419,0.3291,0.3017,0.3822,0.2419,0.3291,1.1765,0.8667,,,0.2364,0.3228,0.3021,0.3784,0.2364,0.3228,1.1706,0.8667,,
exchange_rate,96,96,0.0802,0.2022,0.0874,0.2066,0.0802,0.2022,0.3139,0.3895,,,0.1007,0.2205,0.0914,0.2072,0.1007,0.2205,0.3757,0.4222,,,0.0825,0.2068,0.0846,0.2004,0.0825,0.2068,0.1564,0.2847,,,0.1095,0.2318,0.0807,0.1956,0.1095,0.2318,0.213,0.3192,,
exchange_rate,96,192,0.166,0.3003,0.1845,0.3107,0.1659,0.3003,0.528,0.5365,,,0.2552,0.361,0.2119,0.3162,0.2552,0.361,0.6738,0.5803,,,0.1775,0.3129,0.1703,0.2919,0.1775,0.3129,0.3235,0.4225,,,0.2904,0.3887,0.1739,0.2912,0.2904,0.3887,0.4576,0.4923,,
exchange_rate,96,336,0.3025,0.4121,0.3317,0.4214,0.3024,0.4121,0.8542,0.6934,,,0.5408,0.5509,0.3767,0.4342,0.5408,0.5509,1.1692,0.7798,,,0.3388,0.4381,0.3131,0.4033,0.3388,0.4381,1.02,0.7416,,,0.6258,0.5948,0.3197,0.4069,0.6258,0.5948,1.2382,0.8307,,
