model,case,mean_mse,median_mse,mean_mae,median_mae
OLS,NN,0.6075,0.4008,0.4684,0.3942
OLS,NR,0.4663,0.4259,0.4311,0.3973
OLS,RN,0.6348,0.4025,0.477,0.3943
OLS,RR,0.4794,0.4248,0.4356,0.3976
OLS-revin,NN,0.9137,0.6185,0.5542,0.4387
OLS-revin,NR,0.9514,0.6231,0.5701,0.4409
OLS-revin,RN,0.8117,0.6156,0.5436,0.4463
OLS-revin,RR,0.6784,0.6177,0.5054,0.4558
Ridge,NN,0.6075,0.4008,0.4684,0.3942
Ridge,NR,0.4663,0.4259,0.4311,0.3973
Ridge,RN,0.6348,0.4025,0.477,0.3943
Ridge,RR,0.4794,0.4248,0.4356,0.3976
KNN,NN,1.3487,0.8527,0.7096,0.6345
KNN,NR,0.9781,0.8897,0.6356,0.6324
KNN,RN,1.3771,0.824,0.7265,0.6235
KNN,RR,0.9816,0.8248,0.6491,0.6131
XGBoost,NN,,,,
XGBoost,NR,,,,
XGBoost,RN,,,,
XGBoost,RR,,,,
