model,case,mean_smape,mean_mase,mean_owa,median_owa
OLS,NN,12.2607,2.6301,1.1229,1.0097
OLS,NR,20.3803,3.0688,2.0386,1.613
OLS,RN,14.0885,3.2703,1.3563,1.1452
OLS,RR,18.413,2.0773,1.7456,1.2711
OLS-revin,NN,81.3604,51.0236,12.6965,13.3398
OLS-revin,NR,96.9069,172.6632,33.0477,22.2044
OLS-revin,RN,65.448,28.3187,8.0853,8.1719
OLS-revin,RR,61.2351,14.6744,6.6171,5.6949
Ridge,NN,12.2607,2.6301,1.1229,1.0097
Ridge,NR,20.3803,3.0688,2.0386,1.613
Ridge,RN,14.0885,3.2703,1.3563,1.1452
Ridge,RR,18.413,2.0773,1.7456,1.2711
KNN,NN,14.8377,3.5772,1.5159,1.1866
KNN,NR,22.0879,3.9708,2.4288,1.6795
KNN,RN,16.8889,5.072,2.0854,1.3306
KNN,RR,20.3278,3.5126,2.2877,1.5877
XGBoost,NN,,,,
XGBoost,NR,,,,
XGBoost,RN,,,,
XGBoost,RR,,,,
