case,,,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR
model,,,OLS,OLS,OLS,OLS-revin,OLS-revin,OLS-revin,Ridge,Ridge,Ridge,KNN,KNN,KNN,XGBoost,XGBoost,XGBoost,OLS,OLS,OLS,OLS-revin,OLS-revin,OLS-revin,Ridge,Ridge,Ridge,KNN,KNN,KNN,XGBoost,XGBoost,XGBoost,OLS,OLS,OLS,OLS-revin,OLS-revin,OLS-revin,Ridge,Ridge,Ridge,KNN,KNN,KNN,XGBoost,XGBoost,XGBoost,OLS,OLS,OLS,OLS-revin,OLS-revin,OLS-revin,Ridge,Ridge,Ridge,KNN,KNN,KNN,XGBoost,XGBoost,XGBoost
metric,,,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa,smape,mase,owa
seasonal_pattern,seq_len,pred_len,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly,9,6,15.8982,4.1296,1.0059,193.4227,198.3325,30.8694,15.8982,4.1296,1.0059,18.2334,4.5884,1.1351,,,,24.2993,5.592,1.3921,197.8917,872.8804,124.7725,24.2993,5.592,1.3921,22.1923,4.6568,1.2096,,,,20.0469,5.2632,1.2755,156.3261,93.8428,16.5889,20.0469,5.2632,1.2755,20.3102,5.0391,1.2554,,,,15.5301,2.5768,0.753,117.2708,28.4346,6.9166,15.5301,2.5768,0.753,15.6069,2.6268,0.7618,,,
Quarterly,12,8,12.2298,1.6991,1.0186,76.222,29.1425,12.1379,12.2298,1.6991,1.0186,13.3734,1.8151,1.1005,,,,15.0934,2.3082,1.3826,103.2016,57.3909,23.6515,15.0934,2.3082,1.3826,13.6592,1.7629,1.14,,,,13.5661,2.0546,1.1829,27.852,5.1407,2.7164,13.5661,2.0546,1.1829,13.8698,1.9431,1.1602,,,,11.381,1.3366,0.9048,23.7189,3.5548,2.1481,11.381,1.3366,0.9048,12.5666,1.4439,0.9881,,,
Monthly,27,18,14.8126,1.2796,0.9711,151.1346,30.7016,16.9123,14.8126,1.2796,0.9711,17.0732,1.4723,1.1183,,,,13.565,1.354,1.0158,162.1863,39.4404,21.9974,13.565,1.354,1.0158,15.3809,1.3669,1.0804,,,,14.4807,1.2865,0.9635,144.6223,23.1523,13.7122,14.4807,1.2865,0.9635,17.6139,1.5052,1.1483,,,,12.72,1.1008,0.8809,135.8286,20.634,13.1694,12.72,1.1008,0.8809,14.7491,1.2343,1.0036,,,
Weekly,130,13,7.9685,2.726,0.9257,6.9054,2.2032,0.7735,7.9685,2.726,0.9257,10.2788,3.7608,1.2381,,,,40.8292,2.8186,4.639,40.8395,2.4163,4.543,40.8292,2.8186,4.639,42.3939,3.8493,5.0393,,,,8.4904,3.5773,1.1074,7.4533,2.3479,0.8295,8.4904,3.5773,1.1074,11.2281,5.8565,1.6672,,,,40.6681,2.1975,4.4736,40.8973,2.1031,4.4731,40.6681,2.1975,4.4736,42.1883,3.8745,5.0254,,,
Daily,140,14,3.0851,3.3235,1.0134,47.0855,44.6569,14.5417,3.0851,3.3235,1.0134,3.5492,4.3146,1.2408,,,,7.3865,2.9593,1.834,64.8172,62.5365,22.4114,7.3865,2.9593,1.834,7.7865,4.3697,2.1493,,,,3.1819,3.4592,1.05,41.9454,44.1953,13.6273,3.1819,3.4592,1.05,3.9012,5.0184,1.4059,,,,7.375,2.9144,1.8242,36.7744,32.2233,12.1525,7.375,2.9144,1.8242,7.9204,4.3617,2.1719,,,
Hourly,480,48,19.5699,2.6229,1.8024,13.3922,1.1048,0.9443,19.5699,2.6229,1.8024,26.5181,5.5119,3.2627,,,,21.1086,3.3809,1.9679,12.5051,1.3147,0.9101,21.1086,3.3809,1.9679,31.1149,7.8191,3.9544,,,,24.765,3.9812,2.5583,14.4892,1.2334,1.0376,24.765,3.9812,2.5583,34.4103,11.0695,5.8752,,,,22.8042,2.3377,1.6374,12.9208,1.0967,0.8431,22.8042,2.3377,1.6374,28.9352,7.5346,3.7752,,,
