dataset,seq_len,pred_len,NN_OLS_mse,NN_OLS_mae,NN_OLS-revin_mse,NN_OLS-revin_mae,NR_OLS_mse,NR_OLS_mae,NR_OLS-revin_mse,NR_OLS-revin_mae,RN_OLS_mse,RN_OLS_mae,RN_OLS-revin_mse,RN_OLS-revin_mae,RR_OLS_mse,RR_OLS_mae,RR_OLS-revin_mse,RR_OLS-revin_mae
ETTh1,336,96,0.3702352706781428,0.3915381623525798,0.3713105402887792,0.3929001535451106,0.3519175442030848,0.3843189365224125,0.3526338539886132,0.3844986414078262,0.3702500521711376,0.3928676480229718,0.3714071363991281,0.393897471538586,0.3514239191380748,0.3864000145366435,0.3529612909367123,0.3887947022936094
ETTh1,336,192,0.4041513939541894,0.4126811481704286,0.4077820563253582,0.4149408622459378,0.389443799632489,0.4032048383384318,0.3940351368820796,0.4058759522850965,0.4038372277430495,0.4138107645609652,0.4050153362579005,0.4129202468624984,0.3884872246862427,0.4058920583443725,0.3931338669394534,0.4113816578066234
ETTh1,336,336,0.4334472972109285,0.434189617256726,0.4374602488995869,0.4342796764697145,0.4077756554699139,0.4126044863907696,0.4105882710509581,0.4157986696530007,0.4293367707217665,0.4317593474947836,0.4273271600846958,0.4257955706789066,0.4066404774825936,0.4145230162792228,0.417354789257698,0.4245338510294176
ETTh1,336,720,0.4714460876293218,0.4877612750956127,0.4577394940131719,0.4678165576119271,0.4321839181741292,0.4355493363059037,0.4237639186194205,0.4318815254753774,0.4438614217722136,0.4675444297658979,0.41493619873528,0.439192012474983,0.4344700413958209,0.4353103256630068,0.4726189266039828,0.462194182375775
ETTh2,336,96,0.3018558119437219,0.3654603864364265,0.4897857205453565,0.4858282152770059,0.2697817704707513,0.3546811544684852,0.4805755720918658,0.4845266851260421,0.3151457346735386,0.3756409903052944,0.3809795237617134,0.4092502055147672,0.2832032488396186,0.3647269681957703,0.3611698984277831,0.4020828956109509
ETTh2,336,192,0.3971685761867506,0.4275685021971559,0.8106261273273218,0.6505230468547459,0.3449312211838859,0.4104611824969758,0.8205043745572568,0.6581460168730863,0.4307396638512397,0.4481601267264358,0.8568526647128923,0.6497810799815769,0.37944545812446,0.4320287391983514,0.8679508809792127,0.6559773512909124
ETTh2,336,336,0.485814102982662,0.4836554232019869,2.1525821413213855,1.061993219134877,0.4313320892811716,0.4649704744323624,2.4349567590726493,1.1328078231934755,0.5572061650596792,0.520397145522143,1.676466605809107,0.9505547844553304,0.5046814345458392,0.50463635827195,1.8668317431362036,1.008975613772865
ETTh2,336,720,0.7406606244392101,0.6116146307730296,7.018521961261518,1.792817530429446,0.7093845806456144,0.6009496200949219,10.194698536023784,2.176332907632138,0.9288089127422255,0.6862627045121836,3.8566350785468457,1.4678065800629592,0.9045795299896324,0.6839115000879582,5.396303303342424,1.7735300527277813
ETTm1,336,96,0.2992891608722617,0.3427992491164316,0.3078971966160901,0.3485664945194731,0.2949058947022086,0.3420231100999899,0.3034963238073767,0.3470235986254055,0.2993566938899034,0.3432538956693308,0.309346284950528,0.3497516604475016,0.2950407320783633,0.3424885593128695,0.305131705765806,0.3484598255397542
ETTm1,336,192,0.3339970511365642,0.3637390722177865,0.3420692302567247,0.3686208054531564,0.3295828099024448,0.3621811746523108,0.3373686006265573,0.3663959326879963,0.3338923138882987,0.3641951229694739,0.3417555895685054,0.3687552388817542,0.3295479555294053,0.3625688615587625,0.3374911848501465,0.3668185603892029
ETTm1,336,336,0.3683715701110567,0.3843609975516293,0.3762307654699949,0.3879110128936555,0.3670069194722185,0.3831184415637469,0.3745688155433846,0.3863112864086682,0.3679123416372462,0.3847064261301073,0.3737836209482228,0.3871462355830842,0.3665926495061832,0.3833137324430106,0.3731526794707091,0.3861171512648366
ETTm1,336,720,0.4232985784772411,0.4180952621879093,0.4340979772709986,0.4208951509669569,0.4249134428200307,0.4158133907479808,0.4349228989626758,0.4194309761413059,0.4219765873776138,0.4178392576561556,0.4274981888443663,0.4175965909098875,0.4230568202461233,0.4153237227942232,0.4301485796807042,0.418681281407654
ETTm2,336,96,0.1723400045386296,0.2694501152892422,0.1700401494741986,0.2567602821142163,0.1746923639084038,0.2729113646886619,0.1720259488422111,0.2616840804328031,0.1730647813392127,0.2704418905752858,0.1692585782182311,0.2554471123512334,0.1754391603290995,0.2738678814487389,0.1703586999353493,0.2594843513719647
ETTm2,336,192,0.2409788286341926,0.3227626756151672,0.2431747809906808,0.3080769872349516,0.2430891786465447,0.3258294492437766,0.2454607831195607,0.3152194752913874,0.2422289910108409,0.3239925854187669,0.2429589560757679,0.3088490661258626,0.244347698633591,0.3269669108096388,0.2425957022032821,0.3100408640946643
ETTm2,336,336,0.318876283687788,0.3783551262255729,0.3347296713184887,0.3698516730012547,0.3205916063883541,0.3814401866175144,0.3374986358246884,0.3750870606570392,0.3209317093684585,0.3799260180608162,0.3159919919427367,0.3560910356616031,0.3226386948023987,0.3829234759839433,0.3138670409370713,0.3565905513028575
ETTm2,336,720,0.4580594709563769,0.4633035930037652,0.7217528337675582,0.5670422880621491,0.4587657037232218,0.4707326761315004,0.75737611383342,0.5748273294394823,0.467625266204079,0.468707029276933,0.4834813089864679,0.4497719315265931,0.468209660144407,0.4759164157234577,0.4695270289966081,0.4522394033944342
electricity,336,96,0.1398997415101851,0.2370138359064149,0.1408051331843056,0.236972628616684,0.128873124949294,0.2327646213146312,0.1302212000487726,0.2334158854106752,0.1398061433862805,0.237110142335704,0.1418478264910772,0.2392781032819211,0.1288299915066101,0.2328954564958646,0.1314998665986892,0.2358105968604978
electricity,336,192,0.1535873464610638,0.2500969428189885,0.155088568962911,0.2493670339541525,0.1432226207164938,0.2466676904794014,0.1464002278574105,0.2479645562744452,0.1535081280803102,0.2502994243860326,0.1577663709878965,0.2552040114068155,0.1432667054727357,0.2469325335368651,0.1498358602037518,0.2540593338762516
electricity,336,336,0.1691194328174865,0.2675710842369583,0.1717584735296436,0.2662840670276108,0.1608399634305858,0.2646162020174734,0.1663859238588304,0.2667433966872369,0.1688985345927603,0.2677413925319209,0.1782742784486335,0.2784176450084073,0.1609444138857874,0.2649818916064056,0.1754075961566914,0.2804156871401232
electricity,336,720,0.2035810252020905,0.3007864921377109,0.2120073449744704,0.3004818373295464,0.1979034582780809,0.2973086211605056,0.2110058408820135,0.3025487801423951,0.2032336236633621,0.3010508082591264,0.2388566768121878,0.3356553619587187,0.1978637050743759,0.2975210368428613,0.2409716174566783,0.337722084583433
exchange_rate,336,96,0.0826139573964489,0.2056740268907657,0.0876956971499426,0.2055071178600564,0.1102133540701174,0.2282176644174108,0.0901938574200013,0.2138349093788501,0.084341677306762,0.2093095644675697,0.083310760508161,0.1999137889859805,0.1196891529325044,0.2399621012036966,0.087723458076736,0.2054834217129505
exchange_rate,336,192,0.1745778445542715,0.3080572775726928,0.1839711381465707,0.3025756807766551,0.2784916193119247,0.3768071114723286,0.1843226309964779,0.3078417323417139,0.1781703444579028,0.3136066772014458,0.1675460237006116,0.2887706508885879,0.2999739624053722,0.395409634507992,0.1743196494841697,0.2918580071127042
exchange_rate,336,336,0.3698542351772079,0.4567226778290769,0.3463177717456161,0.423836882628272,0.7072738676954219,0.6330678710878649,0.3331138855551483,0.4164042810084918,0.3749063161830928,0.4589515940791731,0.2972885596688311,0.3925085122256045,0.7481088625291366,0.6527272203856522,0.3589696795165278,0.4145218205336909
exchange_rate,336,720,1.0995604346904082,0.7866606237840498,1.189398575180915,0.7959500069355278,2.170278779917706,1.1706094345353797,0.6954682536533637,0.618150265691198,1.2012632553959846,0.815037122914899,1.5503736707690228,0.8414376030313672,2.578444240689641,1.2813173691591275,0.9359139711464992,0.7023280011865068
traffic,336,96,0.4100457696112512,0.2819679168082865,0.4120417467143909,0.2791112579309976,0.4023142824112402,0.2744238793095014,0.4011995296937642,0.271018433184819,0.4097960856551056,0.2813535666685628,0.4109039127696501,0.2781332108610125,0.4026810421426969,0.274062124636672,0.4012590864336534,0.2706856123904472
traffic,336,192,0.4227057467765787,0.2875244949607562,0.4260714518057457,0.2842185628699353,0.4092652022135504,0.2788128940525283,0.4082521974561305,0.2741597650277349,0.4224642619612414,0.2869332676336998,0.4247306880840506,0.2827257568991982,0.4096569126734594,0.2785259993190175,0.4082141170562698,0.2734819538368698
traffic,336,336,0.4359670384716637,0.2954631596735965,0.4389687561202336,0.2914787159701549,0.4270858825840777,0.2900842263218945,0.4256179215595413,0.2844291769362534,0.4357958074916019,0.2945216495157484,0.4375280759672075,0.2889888680362901,0.4273505341313346,0.2894534418256788,0.4254517027356218,0.2828966413493677
traffic,336,720,0.4657294595934278,0.3146269572458742,0.4685997936632009,0.3100616673243563,0.4662161930989163,0.3142406216138301,0.4634130367806509,0.3071583185869186,0.4656106600065969,0.3132276054648457,0.4661423337727485,0.3053204850093746,0.4668140931332206,0.3134402163341218,0.4632535497224476,0.3042132074868831
weather,336,96,0.1738408598048478,0.2336126603120524,0.2867538557562164,0.3048751263910836,0.1729674834459131,0.2331834733645434,0.281111558029668,0.3004930724963289,0.1730211853283595,0.2316596610264834,0.2462053398197063,0.2761971296072479,0.1723106942374574,0.2312160955409371,0.2415736191963984,0.2739736795791482
weather,336,192,0.2150596271045161,0.2717773201148696,0.4095619291067853,0.3791697933411961,0.2105922923291707,0.2718320845845099,0.3943310301791366,0.3704545799405213,0.2140224062202869,0.2692340205237998,0.3279120861704857,0.3352959919185765,0.2098672752407102,0.2692497544522527,0.3158697839351849,0.330638363111091
weather,336,336,0.260326730932712,0.3094208448446635,0.5087255877561526,0.4404168503222458,0.2502488548248541,0.3102942849176159,0.48469971937091,0.4297066558720995,0.2588172807443113,0.3061028114887679,0.453134482677437,0.4100815174811028,0.2494067499340181,0.3070439407983003,0.4327370755063331,0.4037525346858599
weather,336,720,0.3232805187785095,0.3612449037995557,0.6194130424532017,0.5090831476110289,0.3010670001802972,0.3556083356025465,0.5777008394304731,0.4869489209094967,0.3199544139267567,0.3556036652887307,0.6369369065575883,0.5055968762303106,0.2998794202922481,0.3507455758615987,0.5972796621854856,0.4856997696569995
illness,336,24,4.60935490940739,1.5622029404697444,3.319957348796682,1.287076633818744,4.833865971266934,1.7332127644971915,4.311811746455661,1.338230231819365,3.5045378005551933,1.3617180187185476,2.4984432369930025,1.0426346551012005,1.3776302125524618,0.9777091027798492,1.071597641856164,0.7266804229359355
illness,336,36,5.440831021492317,1.7453323712817483,3.6406727538688712,1.3644317762042926,6.234645777136875,2.0412374856392455,5.29295697049367,1.469907849794384,4.140067403279224,1.532724721846509,2.7358318403263686,1.0910979092002495,1.9107857024322772,1.1598200722626255,1.1029471766044447,0.7478033858831916
illness,336,48,5.617617831086587,1.800856115257033,3.3260195010692732,1.3145922559433376,6.06053813613576,2.051290853741165,4.5017431717251615,1.3815624868390897,4.376342535832151,1.5924301529772804,2.698050008166773,1.0655518621739513,2.2664684839213503,1.2436194155584424,1.0829332348876852,0.7233872519254598
illness,336,60,5.772332860729407,1.8460044544885252,3.1087906246925727,1.283564693593133,6.152041305778122,2.077877963784793,4.333820329069469,1.355919536328283,4.33454585002591,1.600830878897877,2.4864873716484683,1.0353975865904188,2.646417504447339,1.3319412508315769,1.3597399527557572,0.7879603423999553
