source,model,case,lr_tag,group,series_count,smape,mase,naive_smape,naive_mase,forecast_dir,owa
deep_tsl,DLinear,NN,lr0p005,Yearly,23000,14.745499,3.438591,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005,0.883745
deep_tsl,DLinear,NN,lr0p005,Quarterly,24000,10.586159,1.261685,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005,0.940688
deep_tsl,DLinear,NN,lr0p005,Monthly,48000,13.370129,1.00764,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005,0.937178
deep_tsl,DLinear,NN,lr0p005,Weekly,359,12.267998,5.503244,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005,1.660313
deep_tsl,DLinear,NN,lr0p005,Daily,4227,4.041355,4.448648,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005,1.342024
deep_tsl,DLinear,NN,lr0p005,Hourly,414,19.165461,3.751514,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005,1.30447
deep_tsl,DLinear,NR,lr0p005,Yearly,23000,15.012744,3.508606,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005,0.90073
deep_tsl,DLinear,NR,lr0p005,Quarterly,24000,10.609443,1.266755,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005,0.943594
deep_tsl,DLinear,NR,lr0p005,Monthly,48000,13.370129,1.00764,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005,0.937178
deep_tsl,DLinear,NR,lr0p005,Weekly,359,12.267998,5.503244,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005,1.660313
deep_tsl,DLinear,NR,lr0p005,Daily,4227,4.041355,4.448648,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005,1.342024
deep_tsl,DLinear,NR,lr0p005,Hourly,414,20.144247,4.527429,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005,1.493076
deep_tsl,DLinear,RN,lr0p005,Yearly,23000,113.463374,22.35997,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005,6.284517
deep_tsl,DLinear,RN,lr0p005,Quarterly,24000,83.996963,11.543846,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005,8.022868
deep_tsl,DLinear,RN,lr0p005,Monthly,48000,63.340295,7.419657,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005,5.684007
deep_tsl,DLinear,RN,lr0p005,Weekly,359,80.821597,77.141633,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005,18.298947
deep_tsl,DLinear,RN,lr0p005,Daily,4227,52.731634,56.692382,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005,17.304294
deep_tsl,DLinear,RN,lr0p005,Hourly,414,41.741844,18.086479,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005,4.911165
deep_tsl,DLinear,RR,lr0p005,Yearly,23000,113.463374,22.35997,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005,6.284517
deep_tsl,DLinear,RR,lr0p005,Quarterly,24000,83.996963,11.543846,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005,8.022868
deep_tsl,DLinear,RR,lr0p005,Monthly,48000,63.340295,7.419657,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005,5.684007
deep_tsl,DLinear,RR,lr0p005,Weekly,359,80.821597,77.141633,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005,18.298947
deep_tsl,DLinear,RR,lr0p005,Daily,4227,52.731634,56.692382,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005,17.304294
deep_tsl,DLinear,RR,lr0p005,Hourly,414,41.741844,18.086479,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005,4.911165
deep_tsl,GRU,NN,lr0p001,Yearly,23000,13.718836,3.094671,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001,0.809067
deep_tsl,GRU,NN,lr0p001,Quarterly,24000,10.879917,1.303589,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001,0.969305
deep_tsl,GRU,NN,lr0p001,Monthly,48000,13.825966,1.085021,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001,0.989361
deep_tsl,GRU,NN,lr0p001,Weekly,359,11.77795,4.778428,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001,1.503078
deep_tsl,GRU,NN,lr0p001,Daily,4227,3.238607,3.500156,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001,1.065564
deep_tsl,GRU,NN,lr0p001,Hourly,414,33.544772,10.576468,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001,3.120386
deep_tsl,GRU,NR,lr0p001,Yearly,23000,13.835853,3.073546,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001,0.809989
deep_tsl,GRU,NR,lr0p001,Quarterly,24000,10.959816,1.338275,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001,0.985579
deep_tsl,GRU,NR,lr0p001,Monthly,48000,13.906777,1.096112,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001,0.997377
deep_tsl,GRU,NR,lr0p001,Weekly,359,11.77795,4.778428,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001,1.503078
deep_tsl,GRU,NR,lr0p001,Daily,4227,3.238607,3.500156,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001,1.065564
deep_tsl,GRU,NR,lr0p001,Hourly,414,33.544772,10.576468,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001,3.120386
deep_tsl,GRU,RN,lr0p001,Yearly,23000,107.764993,21.109026,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,5.952795
deep_tsl,GRU,RN,lr0p001,Quarterly,24000,82.271083,11.202164,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,7.819926
deep_tsl,GRU,RN,lr0p001,Monthly,48000,62.471942,7.317415,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,5.605837
deep_tsl,GRU,RN,lr0p001,Weekly,359,80.829682,77.136193,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,18.298409
deep_tsl,GRU,RN,lr0p001,Daily,4227,52.987695,56.884508,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,17.375638
deep_tsl,GRU,RN,lr0p001,Hourly,414,39.86684,16.259147,18.382878,2.39504,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001,4.478684
deep_tsl,GRU,RR,lr0p001,Yearly,23000,107.764993,21.109026,16.342173,3.97436,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,5.952795
deep_tsl,GRU,RR,lr0p001,Quarterly,24000,82.271083,11.202164,11.01157,1.371382,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,7.819926
deep_tsl,GRU,RR,lr0p001,Monthly,48000,62.471942,7.317415,14.426829,1.063359,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,5.605837
deep_tsl,GRU,RR,lr0p001,Weekly,359,80.838485,77.147598,9.161287,2.777295,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,18.300943
deep_tsl,GRU,RR,lr0p001,Daily,4227,52.987695,56.884508,3.045252,3.278424,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001,17.375638
