source,model,case,smape,mase,owa,naive_smape,naive_mase,forecast_dir
deep_tsl,DLinear,NN,12.64402,1.80068,0.936947,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NN_lr0p005
deep_tsl,DLinear,NR,12.715127,1.821213,0.944937,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/DLinear_NR_lr0p005
deep_tsl,DLinear,RN,79.351116,14.222955,6.644222,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RN_lr0p005
deep_tsl,DLinear,RR,79.351116,14.222955,6.644222,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/DLinear_RR_lr0p005
deep_tsl,GRU,NN,12.72103,1.754339,0.927667,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/GRU_NN_lr0p001
deep_tsl,GRU,NR,12.805909,1.763128,0.933095,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/GRU_NR_lr0p001
deep_tsl,GRU,RN,77.212558,13.804694,6.456019,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/GRU_RN_lr0p001
deep_tsl,GRU,RR,77.212589,13.804735,6.456031,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/GRU_RR_lr0p001
deep_tsl,PatchTST,NN,15.206269,2.398905,1.187827,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NN_lr0p0001
deep_tsl,PatchTST,NR,15.269446,2.421023,1.195939,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_NR_lr0p0001
deep_tsl,PatchTST,RN,77.695739,14.194044,6.575641,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RN_lr0p0001
deep_tsl,PatchTST,RR,77.695321,14.198535,6.5768,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/PatchTST_RR_lr0p0001
deep_tsl,TimeFilter,NN,13.05618,1.855353,0.966436,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NN_lr0p0001
deep_tsl,TimeFilter,NR,13.058253,1.855913,0.966659,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_NR_lr0p0001
deep_tsl,TimeFilter,RN,77.597998,13.770237,6.461217,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RN_lr0p0001
deep_tsl,TimeFilter,RR,77.598,13.770484,6.461281,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeFilter_RR_lr0p0001
deep_tsl,TimeMixer,NN,12.131987,1.650489,0.878798,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NN_lr0p01
deep_tsl,TimeMixer,NR,12.274256,1.675121,0.890484,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_NR_lr0p01
deep_tsl,TimeMixer,RN,77.793784,13.88185,6.497619,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RN_lr0p01
deep_tsl,TimeMixer,RR,77.793784,13.88185,6.497619,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimeMixer_RR_lr0p01
deep_tsl,TimesNet,NN,13.345545,1.937463,0.998574,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NN_lr0p0001
deep_tsl,TimesNet,NR,13.345534,1.937451,0.99857,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_NR_lr0p0001
deep_tsl,TimesNet,RN,75.908383,13.599566,6.354305,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RN_lr0p0001
deep_tsl,TimesNet,RR,75.909643,13.599655,6.354375,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/TimesNet_RR_lr0p0001
deep_tsl,iTransformer,NN,12.678975,1.757014,0.926817,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NN_lr0p0001
deep_tsl,iTransformer,NR,12.769252,1.777584,0.935523,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_NR_lr0p0001
deep_tsl,iTransformer,RN,78.308315,13.884903,6.517384,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RN_lr0p0001
deep_tsl,iTransformer,RR,78.308505,13.885281,6.51749,13.564071,1.912112,analysis_input/m4_official_eval_extracted/m4_results/iTransformer_RR_lr0p0001
shallow,knn,NN,15.895156,2.41639,1.129639,14.657412,2.056796,results/extra_models_fast/m4_knn_results.csv
shallow,knn,NR,16.375387,2.381161,1.172318,15.075969,1.892147,results/extra_models_fast/m4_knn_results.csv
shallow,knn,RN,16.802445,2.62679,1.211736,14.657412,2.056796,results/extra_models_fast/m4_knn_results.csv
shallow,knn,RR,14.291193,1.772625,0.942389,15.075969,1.892147,results/extra_models_fast/m4_knn_results.csv
shallow,ols,NN,14.240927,2.139932,1.006003,14.657412,2.056796,results/long_input/m4_ols_results.csv
shallow,ols,NR,50.987467,2.716058,1.428254,32.27963,2.126986,results/long_input/m4_ols_results.csv
shallow,ols,RN,14.36558,2.250259,1.037075,14.657412,2.056796,results/long_input/m4_ols_results.csv
shallow,ols,RR,47.810798,1.973488,1.204489,32.27963,2.126986,results/long_input/m4_ols_results.csv
shallow,revin_ols,NN,138.568361,316.879221,81.759158,14.657412,2.056796,results/long_input/m4_revin_ols_results.csv
shallow,revin_ols,NR,146.460291,1503.383206,355.675559,32.27963,2.126986,results/long_input/m4_revin_ols_results.csv
shallow,revin_ols,RN,78.258005,11.607048,5.491205,14.657412,2.056796,results/long_input/m4_revin_ols_results.csv
shallow,revin_ols,RR,85.885652,9.496714,3.562773,32.27963,2.126986,results/long_input/m4_revin_ols_results.csv
shallow,ridge,NN,13.941804,2.132918,0.994094,14.657412,2.056796,results/extra_models/m4_ridge_results.csv
shallow,ridge,NR,16.268637,2.639272,1.236983,15.075969,1.892147,results/extra_models/m4_ridge_results.csv
shallow,ridge,RN,15.084898,2.4967,1.121522,14.657412,2.056796,results/extra_models/m4_ridge_results.csv
shallow,ridge,RR,12.961075,1.58257,0.848053,15.075969,1.892147,results/extra_models/m4_ridge_results.csv
