deduplication,grouping,n_pairs,append_over_nomono_gmean,append_over_nomono_median,append_better_fraction,model,dataset,paradigm
last_occurrence,overall,129,1.0537728584013388,1.0015856976185529,0.4418604651162791,,,
last_occurrence,model,28,0.999991463533203,1.0000424714401308,0.5,DLinear,,
last_occurrence,model,24,1.3119296569870893,1.2292179433140094,0.16666666666666666,GRU,,
last_occurrence,model,25,0.9986192603243008,0.9996069332572838,0.52,PatchTST,,
last_occurrence,model,24,1.0161069162670266,1.0064470359699342,0.4166666666666667,TimesNet,,
last_occurrence,model,28,0.9961481791333914,0.9974290440667936,0.5714285714285714,iTransformer,,
last_occurrence,dataset,20,1.0489531183333753,1.0038223455887585,0.35,,ETTh1,
last_occurrence,dataset,20,1.0591706660844504,0.9998601606225272,0.5,,ETTh2,
last_occurrence,dataset,20,1.0991549079079497,1.0027775804364585,0.45,,ETTm1,
last_occurrence,dataset,20,1.041656290342825,1.0034012685355704,0.5,,ETTm2,
last_occurrence,dataset,9,1.0009667864566287,1.000121622606724,0.4444444444444444,,Electricity,
last_occurrence,dataset,20,0.988013177563579,1.0007191000297688,0.5,,Exchange,
last_occurrence,dataset,20,1.114965039870569,1.0087187647498546,0.35,,Weather,
last_occurrence,paradigm,32,1.0614709455547504,1.0068066967039444,0.375,,,both_reversed
last_occurrence,paradigm,33,1.056500698591944,1.000986292168598,0.45454545454545453,,,original
last_occurrence,paradigm,32,1.0403990688761775,1.0049643870451428,0.4375,,,test_reversed
last_occurrence,paradigm,32,1.0567569001157386,0.9995671481768688,0.5,,,train_reversed
duplicate_median,overall,129,1.0541354578026492,1.0012412428961701,0.4496124031007752,,,
duplicate_median,model,28,1.000217156995924,1.0000424714401308,0.5,DLinear,,
duplicate_median,model,24,1.311990782922026,1.2374216649641099,0.16666666666666666,GRU,,
duplicate_median,model,25,0.9979991019256192,0.9996069332572838,0.52,PatchTST,,
duplicate_median,model,24,1.0168824483123322,1.004730327059728,0.4583333333333333,TimesNet,,
duplicate_median,model,28,0.9973643399766111,0.9957011899134511,0.5714285714285714,iTransformer,,
duplicate_median,dataset,20,1.053242718583249,1.0021056366785523,0.35,,ETTh1,
duplicate_median,dataset,20,1.0569081185600797,0.9931888770020203,0.6,,ETTh2,
duplicate_median,dataset,20,1.0994587593274325,1.0038520108063176,0.4,,ETTm1,
duplicate_median,dataset,20,1.041656290342825,1.0034012685355704,0.5,,ETTm2,
duplicate_median,dataset,9,1.0009667864566287,1.000121622606724,0.4444444444444444,,Electricity,
duplicate_median,dataset,20,0.988013177563579,1.0007191000297688,0.5,,Exchange,
duplicate_median,dataset,20,1.114965039870569,1.0087187647498546,0.35,,Weather,
duplicate_median,paradigm,32,1.059603438963938,1.0058912251541026,0.40625,,,both_reversed
duplicate_median,paradigm,33,1.0555246136927536,1.000986292168598,0.45454545454545453,,,original
duplicate_median,paradigm,32,1.0412976011467872,1.0015390609607244,0.46875,,,test_reversed
duplicate_median,paradigm,32,1.0601839426866249,1.0001102375518398,0.46875,,,train_reversed
