dataset,channel_group,n_cells,RN_over_NN_gmean,NR_over_NN_gmean,RR_over_NN_gmean,RR_better_than_NN_fraction,RR_within_5pct_fraction,RR_within_10pct_fraction,interaction_gmean,abs_log_interaction_median
ETTh1,selected,20,1.1050709135066938,1.0688409809378623,0.9708628180487616,0.75,0.65,0.7,0.8219674578059923,0.019323087713003177
ETTh1,unselected,20,1.060702239742301,1.0658771713904651,1.004958688929278,0.5,0.9,0.95,0.8888890634790924,0.008124046907456089
ETTh2,selected,20,0.9997781997846699,0.9801581591561775,0.933781600936106,0.7,0.35,0.65,0.9528959700220527,0.022408967187360945
ETTh2,unselected,20,1.0229530760426628,1.0308959861503102,1.0074159317720661,0.5,0.8,0.9,0.9552966470306408,0.04211447220382604
ETTm1,selected,20,1.0389940633343389,1.1218935803330932,1.037585452421359,0.65,0.6,0.75,0.890141696678048,0.0808145718506389
ETTm1,unselected,20,1.0327936591865463,1.0688608015640952,1.089877777672492,0.3,0.65,0.7,0.9872862398768126,0.020305715341653117
ETTm2,selected,20,1.0919218354226001,1.0867898968569918,1.0233916426718621,0.45,0.85,0.85,0.8623920074610212,0.062133007177889624
ETTm2,unselected,20,1.018949486048031,1.0459577828179005,1.0124021235548464,0.5,0.75,0.85,0.9499182621502709,0.014320885785802092
electricity,selected,20,1.3481168382577937,1.6813408650243575,1.4686526743040154,0.5,0.4,0.6,0.6479415025113294,0.02316211170412657
electricity,unselected,20,1.1315239051887986,1.2542913635865491,1.5079638599077982,0.25,0.55,0.65,1.0624995818700678,0.0017418475621674002
exchange_rate,selected,20,0.9669291952305089,1.1343417351752798,1.1733726293977098,0.25,0.25,0.45,1.0697871301978765,0.11304342466232845
exchange_rate,unselected,20,0.9743925500865306,1.004064810208044,0.9802621132727908,0.65,0.35,0.7,1.0019510768337572,0.04176555399390003
illness,selected,10,1.1583356510829665,0.453045081923356,0.3710220015907993,1.0,0.0,0.0,0.707007173969844,0.21052704156937696
illness,unselected,10,1.0543815050348382,1.0016462631476786,1.0758582442871631,0.1,0.3,0.6,1.0186920050838384,0.01984292001184052
weather,selected,20,1.0433757287324412,1.0656988073178764,0.9994794851269949,0.5,0.85,1.0,0.8988737024343633,0.01523215928138582
weather,unselected,20,1.035688164145185,1.1080162176219734,1.042265391606936,0.35,0.7,0.7,0.9082453583952619,0.023609505534848446
