index,identifier,selected_for_reversal
0,0,True
1,1,True
2,2,True
3,3,True
4,4,False
5,5,False
6,6,False
7,7,False
8,8,True
9,9,False
10,10,False
11,11,False
12,12,False
13,13,True
14,14,False
15,15,True
16,16,True
17,17,True
18,18,False
19,19,False
20,20,True
21,21,False
22,22,True
23,23,True
24,24,True
25,25,False
26,26,True
27,27,True
28,28,True
29,29,True
30,30,False
31,31,True
32,32,True
33,33,True
34,34,False
35,35,True
36,36,False
37,37,False
38,38,False
39,39,True
40,40,True
41,41,False
42,42,False
43,43,False
44,44,True
45,45,True
46,46,True
47,47,False
48,48,False
49,49,False
50,50,False
51,51,False
52,52,True
53,53,True
54,54,False
55,55,False
56,56,False
57,57,True
58,58,False
59,59,True
60,60,True
61,61,False
62,62,False
63,63,True
64,64,True
65,65,True
66,66,True
67,67,False
68,68,True
69,69,True
70,70,False
71,71,True
72,72,True
73,73,True
74,74,True
75,75,False
76,76,False
77,77,False
78,78,False
79,79,True
80,80,True
81,81,True
82,82,True
83,83,True
84,84,True
85,85,False
86,86,True
87,87,False
88,88,True
89,89,True
90,90,True
91,91,False
92,92,False
93,93,True
94,94,True
95,95,False
96,96,True
97,97,False
98,98,True
99,99,True
100,100,True
101,101,False
102,102,False
103,103,False
104,104,False
105,105,True
106,106,True
107,107,False
108,108,False
109,109,False
110,110,False
111,111,False
112,112,True
113,113,True
114,114,False
115,115,True
116,116,True
117,117,True
118,118,False
119,119,False
120,120,False
121,121,False
122,122,True
123,123,True
124,124,True
125,125,False
126,126,False
127,127,True
128,128,False
129,129,True
130,130,False
131,131,False
132,132,True
133,133,True
134,134,False
135,135,False
136,136,True
137,137,False
138,138,True
139,139,True
140,140,True
141,141,False
142,142,True
143,143,True
144,144,False
145,145,True
146,146,False
147,147,True
148,148,False
149,149,False
150,150,True
151,151,False
152,152,False
153,153,False
154,154,False
155,155,False
156,156,True
157,157,False
158,158,False
159,159,True
160,160,False
161,161,True
162,162,False
163,163,False
164,164,False
165,165,True
166,166,True
167,167,False
168,168,False
169,169,False
170,170,False
171,171,True
172,172,False
173,173,True
174,174,False
175,175,True
176,176,False
177,177,False
178,178,True
179,179,False
180,180,False
181,181,False
182,182,True
183,183,True
184,184,True
185,185,True
186,186,False
187,187,False
188,188,False
189,189,True
190,190,True
191,191,False
192,192,False
193,193,False
194,194,True
195,195,False
196,196,False
197,197,False
198,198,True
199,199,True
200,200,True
201,201,False
202,202,True
203,203,False
204,204,True
205,205,False
206,206,True
207,207,False
208,208,True
209,209,False
210,210,True
211,211,False
212,212,True
213,213,False
214,214,True
215,215,True
216,216,True
217,217,True
218,218,True
219,219,False
220,220,True
221,221,True
222,222,False
223,223,True
224,224,False
225,225,False
226,226,False
227,227,True
228,228,True
229,229,False
230,230,True
231,231,True
232,232,False
233,233,False
234,234,True
235,235,True
236,236,True
237,237,False
238,238,False
239,239,True
240,240,True
241,241,True
242,242,True
243,243,False
244,244,True
245,245,True
246,246,True
247,247,False
248,248,True
249,249,True
250,250,False
251,251,False
252,252,False
253,253,False
254,254,False
255,255,False
256,256,True
257,257,True
258,258,True
259,259,False
260,260,True
261,261,True
262,262,True
263,263,True
264,264,False
265,265,True
266,266,False
267,267,False
268,268,True
269,269,False
270,270,True
271,271,True
272,272,True
273,273,True
274,274,True
275,275,False
276,276,False
277,277,False
278,278,False
279,279,False
280,280,False
281,281,False
282,282,False
283,283,True
284,284,False
285,285,True
286,286,True
287,287,False
288,288,False
289,289,True
290,290,False
291,291,False
292,292,False
293,293,True
294,294,True
295,295,False
296,296,True
297,297,True
298,298,False
299,299,False
300,300,False
301,301,False
302,302,False
303,303,True
304,304,False
305,305,True
306,306,False
307,307,True
308,308,True
309,309,False
310,310,True
311,311,True
312,312,False
313,313,False
314,314,False
315,315,False
316,316,False
317,317,False
318,318,True
319,319,True
320,OT,True
