model,dataset,case,seq_len,pred_len,channel_count,selected_count,mean_mse_normalized,mean_mae_normalized,result_relative_path
DLinear,ETTh1,NN,96,96,7,3,0.3829742350748607,0.3959554412535259,long_term/DLinear/ETTh1/NN/seq96_pred96/channel_metrics.csv
DLinear,ETTh1,NN,96,336,7,3,0.49050870537757874,0.4665247244494302,long_term/DLinear/ETTh1/NN/seq96_pred336/channel_metrics.csv
DLinear,ETTh1,NN,336,96,7,3,0.3828627360718591,0.4034569753067834,long_term/DLinear/ETTh1/NN/seq336_pred96/channel_metrics.csv
DLinear,ETTh1,NN,336,336,7,3,0.444002845457622,0.4454562153135027,long_term/DLinear/ETTh1/NN/seq336_pred336/channel_metrics.csv
DLinear,ETTh1,RN,96,96,7,3,0.3829947773899351,0.395914899451392,long_term/DLinear/ETTh1/RN/seq96_pred96/channel_metrics.csv
DLinear,ETTh1,RN,96,336,7,3,0.4818404359476907,0.45770091669900076,long_term/DLinear/ETTh1/RN/seq96_pred336/channel_metrics.csv
DLinear,ETTh1,RN,336,96,7,3,0.37616478226014544,0.39720770503793446,long_term/DLinear/ETTh1/RN/seq336_pred96/channel_metrics.csv
DLinear,ETTh1,RN,336,336,7,3,0.44148129863398416,0.44296231865882874,long_term/DLinear/ETTh1/RN/seq336_pred336/channel_metrics.csv
DLinear,ETTh1,NR,96,96,7,3,0.38106018411261694,0.39643400481769014,long_term/DLinear/ETTh1/NR/seq96_pred96/channel_metrics.csv
DLinear,ETTh1,NR,96,336,7,3,0.48174977728298735,0.45716567976134165,long_term/DLinear/ETTh1/NR/seq96_pred336/channel_metrics.csv
DLinear,ETTh1,NR,336,96,7,3,0.38154146181685583,0.40355411171913147,long_term/DLinear/ETTh1/NR/seq336_pred96/channel_metrics.csv
DLinear,ETTh1,NR,336,336,7,3,0.4267534762620926,0.4279931996549879,long_term/DLinear/ETTh1/NR/seq336_pred336/channel_metrics.csv
DLinear,ETTh1,RR,96,96,7,3,0.3810869870441301,0.39639714998858316,long_term/DLinear/ETTh1/RR/seq96_pred96/channel_metrics.csv
DLinear,ETTh1,RR,96,336,7,3,0.4739793964794704,0.44951985137803213,long_term/DLinear/ETTh1/RR/seq96_pred336/channel_metrics.csv
DLinear,ETTh1,RR,336,96,7,3,0.3744550368615559,0.39733682359967915,long_term/DLinear/ETTh1/RR/seq336_pred96/channel_metrics.csv
DLinear,ETTh1,RR,336,336,7,3,0.425285453242915,0.42670172452926636,long_term/DLinear/ETTh1/RR/seq336_pred336/channel_metrics.csv
DLinear,ETTh2,NN,96,96,7,3,0.3247771920370203,0.38015919604471754,long_term/DLinear/ETTh2/NN/seq96_pred96/channel_metrics.csv
DLinear,ETTh2,NN,96,336,7,3,0.47984902560710907,0.47540662969861713,long_term/DLinear/ETTh2/NN/seq96_pred336/channel_metrics.csv
DLinear,ETTh2,NN,336,96,7,3,0.28052495592939003,0.3437571408493178,long_term/DLinear/ETTh2/NN/seq336_pred96/channel_metrics.csv
DLinear,ETTh2,NN,336,336,7,3,0.4466890918889216,0.46307665961129324,long_term/DLinear/ETTh2/NN/seq336_pred336/channel_metrics.csv
DLinear,ETTh2,RN,96,96,7,3,0.3204214407929352,0.3782921795334135,long_term/DLinear/ETTh2/RN/seq96_pred96/channel_metrics.csv
DLinear,ETTh2,RN,96,336,7,3,0.5641922815037625,0.5228854066559246,long_term/DLinear/ETTh2/RN/seq96_pred336/channel_metrics.csv
DLinear,ETTh2,RN,336,96,7,3,0.28737791002328905,0.35035627654620577,long_term/DLinear/ETTh2/RN/seq336_pred96/channel_metrics.csv
DLinear,ETTh2,RN,336,336,7,3,0.37960235056068214,0.4195422636611121,long_term/DLinear/ETTh2/RN/seq336_pred336/channel_metrics.csv
DLinear,ETTh2,NR,96,96,7,3,0.32351002070520607,0.3810051903128624,long_term/DLinear/ETTh2/NR/seq96_pred96/channel_metrics.csv
DLinear,ETTh2,NR,96,336,7,3,0.4715943144900458,0.47576322725840975,long_term/DLinear/ETTh2/NR/seq96_pred336/channel_metrics.csv
DLinear,ETTh2,NR,336,96,7,3,0.2690173064225486,0.33804498080696377,long_term/DLinear/ETTh2/NR/seq336_pred96/channel_metrics.csv
DLinear,ETTh2,NR,336,336,7,3,0.4153908099979162,0.4455955752304622,long_term/DLinear/ETTh2/NR/seq336_pred336/channel_metrics.csv
DLinear,ETTh2,RR,96,96,7,3,0.3191939853131771,0.3792766439063208,long_term/DLinear/ETTh2/RR/seq96_pred96/channel_metrics.csv
DLinear,ETTh2,RR,96,336,7,3,0.5508527023983854,0.5202281890170914,long_term/DLinear/ETTh2/RR/seq96_pred336/channel_metrics.csv
DLinear,ETTh2,RR,336,96,7,3,0.2751917020816888,0.3441920833928244,long_term/DLinear/ETTh2/RR/seq336_pred96/channel_metrics.csv
DLinear,ETTh2,RR,336,336,7,3,0.42395178468099665,0.4516903800623758,long_term/DLinear/ETTh2/RR/seq336_pred336/channel_metrics.csv
DLinear,ETTm1,NN,96,96,7,3,0.34249594435095787,0.3710622936487198,long_term/DLinear/ETTm1/NN/seq96_pred96/channel_metrics.csv
DLinear,ETTm1,NN,96,336,7,3,0.41584438511303495,0.42002688135419575,long_term/DLinear/ETTm1/NN/seq96_pred336/channel_metrics.csv
DLinear,ETTm1,NN,336,96,7,3,0.31144660658070017,0.35495387443474363,long_term/DLinear/ETTm1/NN/seq336_pred96/channel_metrics.csv
DLinear,ETTm1,NN,336,336,7,3,0.37357533829552786,0.395305620772498,long_term/DLinear/ETTm1/NN/seq336_pred336/channel_metrics.csv
DLinear,ETTm1,RN,96,96,7,3,0.3444129377603531,0.37232002190181185,long_term/DLinear/ETTm1/RN/seq96_pred96/channel_metrics.csv
DLinear,ETTm1,RN,96,336,7,3,0.4129241683653423,0.4161643939358847,long_term/DLinear/ETTm1/RN/seq96_pred336/channel_metrics.csv
DLinear,ETTm1,RN,336,96,7,3,0.299886907849993,0.34500296839645933,long_term/DLinear/ETTm1/RN/seq336_pred96/channel_metrics.csv
DLinear,ETTm1,RN,336,336,7,3,0.3676649459770748,0.3866933860949108,long_term/DLinear/ETTm1/RN/seq336_pred336/channel_metrics.csv
DLinear,ETTm1,NR,96,96,7,3,0.34498034896595137,0.3711786951337542,long_term/DLinear/ETTm1/NR/seq96_pred96/channel_metrics.csv
DLinear,ETTm1,NR,96,336,7,3,0.42342674306460787,0.4207317999431065,long_term/DLinear/ETTm1/NR/seq96_pred336/channel_metrics.csv
DLinear,ETTm1,NR,336,96,7,3,0.3058636002242565,0.3525501787662506,long_term/DLinear/ETTm1/NR/seq336_pred96/channel_metrics.csv
DLinear,ETTm1,NR,336,336,7,3,0.3722130847828729,0.3921083552496774,long_term/DLinear/ETTm1/NR/seq336_pred336/channel_metrics.csv
DLinear,ETTm1,RR,96,96,7,3,0.3470008820295334,0.3725072145462036,long_term/DLinear/ETTm1/RR/seq96_pred96/channel_metrics.csv
DLinear,ETTm1,RR,96,336,7,3,0.4206667308296476,0.4169534274509975,long_term/DLinear/ETTm1/RR/seq96_pred336/channel_metrics.csv
DLinear,ETTm1,RR,336,96,7,3,0.3007290044001171,0.3483474999666214,long_term/DLinear/ETTm1/RR/seq336_pred96/channel_metrics.csv
DLinear,ETTm1,RR,336,336,7,3,0.3664164500577109,0.3839668056794575,long_term/DLinear/ETTm1/RR/seq336_pred336/channel_metrics.csv
DLinear,ETTm2,NN,96,96,7,3,0.19162309662039792,0.28996853104659487,long_term/DLinear/ETTm2/NN/seq96_pred96/channel_metrics.csv
DLinear,ETTm2,NN,96,336,7,3,0.3571245569203581,0.40715006313153673,long_term/DLinear/ETTm2/NN/seq96_pred336/channel_metrics.csv
DLinear,ETTm2,NN,336,96,7,3,0.166802897184555,0.25703727507165497,long_term/DLinear/ETTm2/NN/seq336_pred96/channel_metrics.csv
DLinear,ETTm2,NN,336,336,7,3,0.3059579867071339,0.36531217076948713,long_term/DLinear/ETTm2/NN/seq336_pred336/channel_metrics.csv
DLinear,ETTm2,RN,96,96,7,3,0.18806338915601373,0.28261569727744373,long_term/DLinear/ETTm2/RN/seq96_pred96/channel_metrics.csv
DLinear,ETTm2,RN,96,336,7,3,0.3280836818739772,0.3798159648265157,long_term/DLinear/ETTm2/RN/seq96_pred336/channel_metrics.csv
DLinear,ETTm2,RN,336,96,7,3,0.16693933946745734,0.2586963049003056,long_term/DLinear/ETTm2/RN/seq336_pred96/channel_metrics.csv
DLinear,ETTm2,RN,336,336,7,3,0.2944444433919021,0.35446527919598986,long_term/DLinear/ETTm2/RN/seq336_pred336/channel_metrics.csv
DLinear,ETTm2,NR,96,96,7,3,0.19103015493601558,0.29043535036700113,long_term/DLinear/ETTm2/NR/seq96_pred96/channel_metrics.csv
DLinear,ETTm2,NR,96,336,7,3,0.3539490002606596,0.40737982200724737,long_term/DLinear/ETTm2/NR/seq96_pred336/channel_metrics.csv
DLinear,ETTm2,NR,336,96,7,3,0.16790672624483705,0.259703450437103,long_term/DLinear/ETTm2/NR/seq336_pred96/channel_metrics.csv
DLinear,ETTm2,NR,336,336,7,3,0.30227887723594904,0.36588977383715765,long_term/DLinear/ETTm2/NR/seq336_pred336/channel_metrics.csv
DLinear,ETTm2,RR,96,96,7,3,0.18759630055033732,0.2831950799695083,long_term/DLinear/ETTm2/RR/seq96_pred96/channel_metrics.csv
DLinear,ETTm2,RR,96,336,7,3,0.32612721688513246,0.3804441381778036,long_term/DLinear/ETTm2/RR/seq96_pred336/channel_metrics.csv
DLinear,ETTm2,RR,336,96,7,3,0.1678912341594696,0.26126791749681744,long_term/DLinear/ETTm2/RR/seq336_pred96/channel_metrics.csv
