model,dataset,case,lr_tag,seq_len,pred_len,mae,mse,rmse,mape,mspe,result_dir
TimeMixer,ETTh1,RN,0p003,96,192,0.43074437975883484,0.4386644959449768,0.6623175144195557,9.716057777404785,39163.96484375,long_term_forecast_TimeMixer_ETTh1_RN_lr0p003_s96_p192_TimeMixer_ETTh1_ftM_sl96_ll0_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p003_0
DLinear,ETTh2,RR,0p003,96,720,0.6967047452926636,0.9212843179702759,0.9598355889320374,1.725183129310608,398.6759948730469,long_term_forecast_DLinear_ETTh2_RR_lr0p003_s96_p720_DLinear_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p003_0
TimeMixer,ETTm2,NR,0p01,96,336,0.34987664222717285,0.3118823766708374,0.5584642887115479,1.3842761516571045,333.7108154296875,long_term_forecast_TimeMixer_ETTm2_NR_lr0p01_s96_p336_TimeMixer_ETTm2_ftM_sl96_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p01_0
TimesNet,ETTh1,NN,0p001,96,192,0.46769198775291443,0.48597031831741333,0.6971157193183899,10.494539260864258,40808.69921875,long_term_forecast_TimesNet_ETTh1_NN_lr0p001_s96_p192_TimesNet_ETTh1_ftM_sl96_ll48_pl192_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p001_0
DLinear,ETTh1,NR,0p01,96,96,0.3946625292301178,0.38219285011291504,0.6182174682617188,7.615142345428467,24489.638671875,long_term_forecast_DLinear_ETTh1_NR_lr0p01_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p01_0
iTransformer,ETTh2,NR,0p0001,96,336,0.44222187995910645,0.43296605348587036,0.6580015420913696,2.0778820514678955,952.656982421875,long_term_forecast_iTransformer_ETTh2_NR_lr0p0001_s96_p336_iTransformer_ETTh2_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
TimesNet,weather,NR,0p0001,336,336,0.3276224434375763,0.30427396297454834,0.5516103506088257,15.113984107971191,23846840.0,long_term_forecast_TimesNet_weather_NR_lr0p0001_s336_p336_TimesNet_custom_ftM_sl336_ll168_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
TimesNet,ETTm2,NR,0p0001,96,336,0.37290269136428833,0.339631050825119,0.5827787518501282,1.4815205335617065,384.60784912109375,long_term_forecast_TimesNet_ETTm2_NR_lr0p0001_s96_p336_TimesNet_ETTm2_ftM_sl96_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
DLinear,ETTh1,RR,0p0001,96,96,0.508143424987793,0.5781509876251221,0.7603623867034912,10.559099197387695,36313.546875,long_term_forecast_DLinear_ETTh1_RR_lr0p0001_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
GRU,ETTm1,RN,0p001,96,336,0.5313303470611572,0.6457016468048096,0.8035556077957153,3.2569358348846436,620.427490234375,long_term_forecast_GRU_ETTm1_RN_lr0p001_s96_p336_GRU_ETTm1_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p001_0
