model,dataset,seq_len,pred_len,NN,NR,RN,RR,best_case,worst_case
DLinear,ETTh1,96,96,0.40008309483528137,0.39987173676490784,0.38206246495246887,0.38065075874328613,RR,NN
DLinear,ETTh1,96,336,0.4828241765499115,0.48730137944221497,0.4799388349056244,0.48332399129867554,RN,NR
DLinear,ETTh1,336,96,0.37416955828666687,0.35209402441978455,0.36994823813438416,0.3512173891067505,RR,NN
DLinear,ETTh1,336,336,0.434763640165329,0.40873003005981445,0.47606852650642395,0.4481264054775238,NR,RN
DLinear,ETTh2,96,96,0.3157026171684265,0.3184625804424286,0.3477471172809601,0.34228163957595825,NN,RN
DLinear,ETTh2,96,336,0.554714024066925,0.5499181747436523,0.5649270415306091,0.5592554807662964,NR,RN
DLinear,ETTh2,336,96,0.286091685295105,0.2559303641319275,0.3078176975250244,0.275701105594635,NR,RN
DLinear,ETTh2,336,336,0.4631212055683136,0.4260081648826599,0.4975718855857849,0.4568769335746765,NR,RN
DLinear,ETTm1,96,96,0.34456783533096313,0.34684062004089355,0.3430735766887665,0.3452014923095703,RN,NR
DLinear,ETTm1,96,336,0.4225228726863861,0.4288645386695862,0.41592395305633545,0.42230984568595886,RN,NR
DLinear,ETTm1,336,96,0.3027873933315277,0.2984265983104706,0.29995477199554443,0.29566338658332825,RR,NN
DLinear,ETTm1,336,336,0.36894792318344116,0.3674629032611847,0.37303295731544495,0.37202897667884827,NR,RN
DLinear,ETTm2,96,96,0.1880241483449936,0.1885557770729065,0.18844673037528992,0.18897566199302673,NN,RR
DLinear,ETTm2,96,336,0.3364989161491394,0.3375958800315857,0.36193767189979553,0.3631354570388794,NN,RR
DLinear,ETTm2,336,96,0.16898198425769806,0.171001136302948,0.1712111085653305,0.17352314293384552,NN,RR
DLinear,ETTm2,336,336,0.3088371455669403,0.3104977309703827,0.29172176122665405,0.292824923992157,RN,NR
DLinear,electricity,96,96,0.19552311301231384,0.19253157079219818,0.19546769559383392,0.19250357151031494,RR,NN
DLinear,electricity,96,336,0.20791342854499817,0.2060059905052185,0.20764806866645813,0.20597904920578003,RR,NN
DLinear,electricity,336,96,0.14069248735904694,0.12962882220745087,0.14057038724422455,0.12957876920700073,RR,NN
DLinear,electricity,336,336,0.16984054446220398,0.16163089871406555,0.16963060200214386,0.16172046959400177,NR,NN
DLinear,exchange_rate,96,96,0.08156974613666534,0.10650944709777832,0.08438796550035477,0.11082347482442856,NN,RR
DLinear,exchange_rate,96,336,0.27928295731544495,0.4640868902206421,0.3513047993183136,0.6319664716720581,NN,RR
DLinear,exchange_rate,336,96,0.0997546911239624,0.11989898979663849,0.10734862089157104,0.12660200893878937,NN,RR
DLinear,exchange_rate,336,336,0.36497625708580017,0.7272779941558838,0.34220415353775024,0.7230477333068848,RN,NR
DLinear,illness,96,96,3.4688315391540527,0.7522214651107788,3.4218251705169678,0.7710159420967102,NR,NN
DLinear,illness,336,96,3.916935920715332,2.1467630863189697,5.434110641479492,3.850196361541748,NR,RN
DLinear,weather,96,96,0.19737105071544647,0.19684307277202606,0.2029055505990982,0.19150501489639282,RR,RN
DLinear,weather,96,336,0.2942708432674408,0.27823606133461,0.2806474268436432,0.2738189399242401,RR,NN
