model,dataset,case,lr_tag,seq_len,pred_len,mae,mse,rmse,mape,mspe,result_dir
TimeMixer,ETTm2,NR,0p01,96,336,0.34987664222717285,0.3118823766708374,0.5584642887115479,1.3842761516571045,333.7108154296875,long_term_forecast_TimeMixer_ETTm2_NR_lr0p01_s96_p336_TimeMixer_ETTm2_ftM_sl96_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p01_0
iTransformer,ETTh2,NR,0p0001,96,336,0.44222187995910645,0.43296605348587036,0.6580015420913696,2.0778820514678955,952.656982421875,long_term_forecast_iTransformer_ETTh2_NR_lr0p0001_s96_p336_iTransformer_ETTh2_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
TimesNet,weather,NR,0p0001,336,336,0.3276224434375763,0.30427396297454834,0.5516103506088257,15.113984107971191,23846840.0,long_term_forecast_TimesNet_weather_NR_lr0p0001_s336_p336_TimesNet_custom_ftM_sl336_ll168_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
TimesNet,ETTm2,NR,0p0001,96,336,0.37290269136428833,0.339631050825119,0.5827787518501282,1.4815205335617065,384.60784912109375,long_term_forecast_TimesNet_ETTm2_NR_lr0p0001_s96_p336_TimesNet_ETTm2_ftM_sl96_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
GRU,ETTm1,RN,0p001,96,336,0.5313303470611572,0.6457016468048096,0.8035556077957153,3.2569358348846436,620.427490234375,long_term_forecast_GRU_ETTm1_RN_lr0p001_s96_p336_GRU_ETTm1_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p001_0
TimeMixer,ETTm2,RR,0p01,96,336,0.34325069189071655,0.3011108338832855,0.5487356781959534,1.4366050958633423,348.6479187011719,long_term_forecast_TimeMixer_ETTm2_RR_lr0p01_s96_p336_TimeMixer_ETTm2_ftM_sl96_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p01_0
TimeMixer,ETTm2,RR,0p01,336,336,0.3630286157131195,0.3297901451587677,0.5742735862731934,1.5546495914459229,445.73974609375,long_term_forecast_TimeMixer_ETTm2_RR_lr0p01_s336_p336_TimeMixer_ETTm2_ftM_sl336_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p01_0
iTransformer,ETTh2,RN,0p0001,336,336,0.42152634263038635,0.3999093770980835,0.6323838829994202,1.635424256324768,367.71978759765625,long_term_forecast_iTransformer_ETTh2_RN_lr0p0001_s336_p336_iTransformer_ETTh2_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
TimesNet,ETTh1,NR,0p0001,96,96,0.4919827878475189,0.5256105661392212,0.7249900698661804,12.483085632324219,50345.09375,long_term_forecast_TimesNet_ETTh1_NR_lr0p0001_s96_p96_TimesNet_ETTh1_ftM_sl96_ll48_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
TimeFilter,exchange_rate,NN,0p0001,96,336,0.43025827407836914,0.35605868697166443,0.5967065095901489,3.226970672607422,4252.396484375,long_term_forecast_TimeFilter_exchange_rate_NN_lr0p0001_s96_p336_TimeFilter_custom_ftM_sl96_ll48_pl336_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
GRU,ETTm1,RN,0p001,336,96,0.4973627030849457,0.5755872130393982,0.7586746215820312,3.097210645675659,554.2913818359375,long_term_forecast_GRU_ETTm1_RN_lr0p001_s336_p96_GRU_ETTm1_ftM_sl336_ll168_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p001_0
iTransformer,illness,RN,0p0001,96,96,1.3940529823303223,3.88618803024292,1.9713417291641235,3.318918228149414,1231.42138671875,long_term_forecast_iTransformer_illness_RN_lr0p0001_s96_p96_iTransformer_custom_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
GRU,weather,NN,0p001,96,336,0.3038407266139984,0.28264710307121277,0.531645655632019,14.596424102783203,22247164.0,long_term_forecast_GRU_weather_NN_lr0p001_s96_p336_GRU_custom_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p001_0
PatchTST,ETTm1,RR,0p0001,96,96,0.3626039922237396,0.3209938704967499,0.5665631890296936,2.1379966735839844,313.58343505859375,long_term_forecast_PatchTST_ETTm1_RR_lr0p0001_s96_p96_PatchTST_ETTm1_ftM_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
TimeMixer,exchange_rate,RR,0p01,336,96,0.22687022387981415,0.1029544323682785,0.32086512446403503,0.5098243951797485,76.37883758544922,long_term_forecast_TimeMixer_exchange_rate_RR_lr0p01_s336_p96_TimeMixer_custom_ftM_sl336_ll0_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p01_0
TimeMixer,exchange_rate,RR,0p01,96,96,0.2125372439622879,0.09617198258638382,0.31011608242988586,0.9013718366622925,336.47674560546875,long_term_forecast_TimeMixer_exchange_rate_RR_lr0p01_s96_p96_TimeMixer_custom_ftM_sl96_ll0_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p01_0
GRU,weather,NR,0p001,336,336,0.3341078460216522,0.2999340891838074,0.5476623773574829,20.108291625976562,36885132.0,long_term_forecast_GRU_weather_NR_lr0p001_s336_p336_GRU_custom_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p001_0
TimeFilter,ETTm1,RR,0p0001,336,96,0.3420118987560272,0.28697988390922546,0.535705029964447,1.9632561206817627,283.1994934082031,long_term_forecast_TimeFilter_ETTm1_RR_lr0p0001_s336_p96_TimeFilter_ETTm1_ftM_sl336_ll168_pl96_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
DLinear,ETTm2,NN,0p005,336,96,0.2625957429409027,0.16898198425769806,0.4110741913318634,1.0590804815292358,214.21336364746094,long_term_forecast_DLinear_ETTm2_NN_lr0p005_s336_p96_DLinear_ETTm2_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p005_0
DLinear,ETTh2,NR,0p005,96,336,0.5296655297279358,0.5499181747436523,0.7415646910667419,1.7034446001052856,628.9915771484375,long_term_forecast_DLinear_ETTh2_NR_lr0p005_s96_p336_DLinear_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p005_0
GRU,ETTh2,NR,0p001,96,96,0.3963564336299896,0.35215994715690613,0.5934306383132935,1.669008731842041,435.80609130859375,long_term_forecast_GRU_ETTh2_NR_lr0p001_s96_p96_GRU_ETTh2_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p001_0
TimeMixer,ETTh1,NN,0p01,96,96,0.397956520318985,0.37776997685432434,0.6146299242973328,9.93018913269043,47430.59375,long_term_forecast_TimeMixer_ETTh1_NN_lr0p01_s96_p96_TimeMixer_ETTh1_ftM_sl96_ll0_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p01_0
TimesNet,illness,NN,0p0001,96,96,1.530949354171753,4.611230850219727,2.1473777294158936,3.686690330505371,1413.5435791015625,long_term_forecast_TimesNet_illness_NN_lr0p0001_s96_p96_TimesNet_custom_ftM_sl96_ll48_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
iTransformer,ETTm1,NN,0p0001,336,336,0.40261635184288025,0.37930646538734436,0.6158786416053772,2.389174222946167,377.9535827636719,long_term_forecast_iTransformer_ETTm1_NN_lr0p0001_s336_p336_iTransformer_ETTm1_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
iTransformer,ETTh1,NN,0p0001,96,336,0.46977898478507996,0.4983285963535309,0.7059239149093628,9.952776908874512,43466.50390625,long_term_forecast_iTransformer_ETTh1_NN_lr0p0001_s96_p336_iTransformer_ETTh1_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
PatchTST,weather,RR,0p0001,96,96,0.21772269904613495,0.17760008573532104,0.42142626643180847,6.3569488525390625,3767310.25,long_term_forecast_PatchTST_weather_RR_lr0p0001_s96_p96_PatchTST_custom_ftM_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
DLinear,ETTm2,NR,0p005,96,96,0.28433671593666077,0.1885557770729065,0.43423008918762207,1.0827317237854004,204.76470947265625,long_term_forecast_DLinear_ETTm2_NR_lr0p005_s96_p96_DLinear_ETTm2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p005_0
GRU,ETTh1,NR,0p001,336,96,0.5378976464271545,0.579643726348877,0.7613433599472046,15.466140747070312,85376.5078125,long_term_forecast_GRU_ETTh1_NR_lr0p001_s336_p96_GRU_ETTh1_ftM_sl336_ll168_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p001_0
TimesNet,ETTh2,RR,0p0001,336,336,0.42929551005363464,0.3787843883037567,0.6154546141624451,1.808355689048767,552.5554809570312,long_term_forecast_TimesNet_ETTh2_RR_lr0p0001_s336_p336_TimesNet_ETTh2_ftM_sl336_ll168_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
PatchTST,electricity,NN,0p0001,96,96,0.2793593108654022,0.18963778018951416,0.4354741871356964,2.643791437149048,867583.1875,long_term_forecast_PatchTST_electricity_NN_lr0p0001_s96_p96_PatchTST_custom_ftM_sl96_ll48_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
TimeMixer,electricity,RN,0p01,336,336,0.2631881833076477,0.17111192643642426,0.4136567711830139,2.322021007537842,218936.625,long_term_forecast_TimeMixer_electricity_RN_lr0p01_s336_p336_TimeMixer_custom_ftM_sl336_ll0_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p01_0
GRU,illness,RN,0p001,96,96,1.6185193061828613,5.065069675445557,2.2505710124969482,2.896341323852539,593.1582641601562,long_term_forecast_GRU_illness_RN_lr0p001_s96_p96_GRU_custom_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p001_0
DLinear,ETTh1,RN,0p005,96,96,0.39581045508384705,0.38206246495246887,0.6181120276451111,9.080423355102539,41498.2734375,long_term_forecast_DLinear_ETTh1_RN_lr0p005_s96_p96_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p005_0
GRU,electricity,NR,0p001,336,336,0.7627979516983032,0.8417587876319885,0.9174741506576538,3.704458236694336,376798.3125,long_term_forecast_GRU_electricity_NR_lr0p001_s336_p336_GRU_custom_ftM_sl336_ll168_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p001_0
TimesNet,ETTh1,RR,0p0001,336,336,0.44427499175071716,0.41709065437316895,0.6458255648612976,8.302166938781738,27653.728515625,long_term_forecast_TimesNet_ETTh1_RR_lr0p0001_s336_p336_TimesNet_ETTh1_ftM_sl336_ll168_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
GRU,ETTh1,RN,0p001,96,96,0.503213107585907,0.509505569934845,0.7137966156005859,15.068793296813965,69190.859375,long_term_forecast_GRU_ETTh1_RN_lr0p001_s96_p96_GRU_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p001_0
PatchTST,ETTm2,RN,0p0001,336,96,0.2702209949493408,0.17902728915214539,0.42311617732048035,1.1126677989959717,225.88418579101562,long_term_forecast_PatchTST_ETTm2_RN_lr0p0001_s336_p96_PatchTST_ETTm2_ftM_sl336_ll168_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
TimeFilter,illness,NR,0p0001,96,96,1.339489221572876,2.5620875358581543,1.6006522178649902,5.18713903427124,458.1634216308594,long_term_forecast_TimeFilter_illness_NR_lr0p0001_s96_p96_TimeFilter_custom_ftM_sl96_ll48_pl96_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
PatchTST,ETTm1,NN,0p0001,336,336,0.3978249132633209,0.3732704222202301,0.6109586358070374,2.3647944927215576,394.2203369140625,long_term_forecast_PatchTST_ETTm1_NN_lr0p0001_s336_p336_PatchTST_ETTm1_ftM_sl336_ll168_pl336_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
PatchTST,weather,RN,0p0001,336,96,0.20130129158496857,0.15108047425746918,0.388690710067749,12.941774368286133,20385976.0,long_term_forecast_PatchTST_weather_RN_lr0p0001_s336_p96_PatchTST_custom_ftM_sl336_ll168_pl96_dm512_nh8_el1_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
DLinear,exchange_rate,RN,0p005,336,336,0.4431226849555969,0.34220415353775024,0.58498215675354,2.05781888961792,1476.9412841796875,long_term_forecast_DLinear_exchange_rate_RN_lr0p005_s336_p336_DLinear_custom_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p005_0
TimeFilter,ETTm2,NR,0p0001,336,336,0.3372952342033386,0.27905741333961487,0.5282588601112366,1.3372527360916138,245.89266967773438,long_term_forecast_TimeFilter_ETTm2_NR_lr0p0001_s336_p336_TimeFilter_ETTm2_ftM_sl336_ll168_pl336_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NR_lr_0p0001_0
DLinear,ETTm1,NN,0p005,336,336,0.3853885531425476,0.36894792318344116,0.6074108481407166,2.131274938583374,342.0430908203125,long_term_forecast_DLinear_ETTm1_NN_lr0p005_s336_p336_DLinear_ETTm1_ftM_sl336_ll168_pl336_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NN_lr_0p005_0
TimeMixer,ETTh2,NN,0p01,336,96,0.3510487377643585,0.290111243724823,0.5386197566986084,1.4795104265213013,408.0709533691406,long_term_forecast_TimeMixer_ETTh2_NN_lr0p01_s336_p96_TimeMixer_ETTh2_ftM_sl336_ll0_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p01_0
TimesNet,ETTm2,RR,0p0001,96,96,0.2715066969394684,0.18971997499465942,0.43556857109069824,1.1057320833206177,228.5135955810547,long_term_forecast_TimesNet_ETTm2_RR_lr0p0001_s96_p96_TimesNet_ETTm2_ftM_sl96_ll48_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RR_lr_0p0001_0
TimeFilter,ETTm1,NN,0p0001,336,336,0.3875662088394165,0.3708702027797699,0.6089911460876465,2.223874568939209,367.8816833496094,long_term_forecast_TimeFilter_ETTm1_NN_lr0p0001_s336_p336_TimeFilter_ETTm1_ftM_sl336_ll168_pl336_dm64_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p0001_0
DLinear,ETTh1,NR,0p005,336,96,0.38486310839653015,0.35209402441978455,0.5933750867843628,7.710573196411133,27332.541015625,long_term_forecast_DLinear_ETTh1_NR_lr0p005_s336_p96_DLinear_ETTh1_ftM_sl336_ll168_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc3_ebtimeF_dtTrue_rev_NR_lr_0p005_0
TimesNet,ETTh1,RN,0p0001,96,336,0.5431143641471863,0.5998953580856323,0.7745290994644165,17.164321899414062,85921.7734375,long_term_forecast_TimesNet_ETTh1_RN_lr0p0001_s96_p336_TimesNet_ETTh1_ftM_sl96_ll48_pl336_dm16_nh8_el2_dl1_df32_expand2_dc4_fc3_ebtimeF_dtTrue_rev_RN_lr_0p0001_0
GRU,ETTh1,NN,0p001,96,336,0.5776183009147644,0.7130923867225647,0.8444479703903198,13.201111793518066,50498.53515625,long_term_forecast_GRU_ETTh1_NN_lr0p001_s96_p336_GRU_ETTh1_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc1_ebtimeF_dtTrue_rev_NN_lr_0p001_0
TimeMixer,ETTh2,RN,0p01,336,96,0.35129424929618835,0.29052427411079407,0.5390030145645142,1.3839995861053467,307.08160400390625,long_term_forecast_TimeMixer_ETTh2_RN_lr0p01_s336_p96_TimeMixer_ETTh2_ftM_sl336_ll0_pl96_dm16_nh8_el2_dl1_df32_expand2_dc4_fc1_ebtimeF_dtTrue_rev_RN_lr_0p01_0
