model,dataset,seq_len,pred_len,n_lr,RN_log_range,NR_log_range,RR_log_range,RN_sign_agreement,NR_sign_agreement,RR_sign_agreement
DLinear,ETTh1,96,96,6,0.04557471092737349,0.020108519850707423,0.06546826512270176,1.0,0.6666666666666666,0.6666666666666666
DLinear,ETTh1,96,192,5,0.01931034652497819,0.012017533114527865,0.013918179250476996,0.8,0.6,0.6
DLinear,ETTh1,96,336,6,0.022657862845371194,0.006609007672740143,0.02671202841767199,1.0,1.0,0.8333333333333334
DLinear,ETTh1,96,720,5,0.043418605705042704,0.0682901541521014,0.01653571030002905,1.0,0.6,1.0
DLinear,ETTh2,96,96,6,0.14859124362650541,0.0038539733470368803,0.14271212566120384,0.6666666666666666,1.0,0.8333333333333334
DLinear,ETTh2,96,192,5,0.13095607848286767,0.039045838576377764,0.1326472036020717,1.0,0.6,1.0
DLinear,ETTh2,96,336,6,0.28444720618817576,0.02782427761689725,0.27854968541606945,0.8333333333333334,0.6666666666666666,0.8333333333333334
DLinear,ETTh2,96,720,5,0.1322083424211484,0.3891109582888657,0.3130828055198366,1.0,1.0,1.0
TimeMixer,ETTh1,96,96,5,0.0032887442992232336,0.02794433480628325,0.039375050237337485,1.0,0.6,0.6
TimeMixer,ETTh1,96,192,5,0.026070959298454627,0.017584744289366377,0.034003761678665076,0.6,1.0,0.6
TimeMixer,ETTh1,96,336,5,0.02324467595373996,0.027319738439587623,0.03431004518130458,1.0,0.8,0.6
TimeMixer,ETTh1,96,720,5,0.04544102625014433,0.16093260117171274,0.16047623560040608,1.0,0.8,0.8
iTransformer,ETTh1,96,96,5,0.049139604810807175,0.03772889068785082,0.04373276874745441,1.0,0.8,1.0
iTransformer,ETTh1,96,192,5,0.036141401609593685,0.03889978631436644,0.06641561153888648,0.6,0.6,1.0
iTransformer,ETTh1,96,336,5,0.04432973082919751,0.04334543292620724,0.07752121015719272,0.8,0.8,1.0
iTransformer,ETTh1,96,720,5,0.06855127762159674,0.10124085490835266,0.04306079162650376,1.0,1.0,0.8
