feature,target,n,pearson,spearman
trend_r2,RN_vs_NN,8,-0.5224225191271805,-0.3571428571428572
trend_r2,NR_vs_NN,8,-0.6384686825772612,-0.9285714285714287
trend_r2,RR_vs_NN,8,-0.5563694093263137,-0.4761904761904762
trend_r2,train_main,8,-0.5061034009426985,-0.523809523809524
trend_r2,test_main,8,-0.5635624558834179,-0.4761904761904762
trend_r2,RN_vs_NR,8,0.5138091667635286,0.4523809523809524
trend_r2,abs_log_interaction,8,0.432987799673398,0.4523809523809524
trend_slope_abs,RN_vs_NN,8,-0.4648463847571346,-0.3571428571428572
trend_slope_abs,NR_vs_NN,8,-0.6370663761829974,-0.9285714285714287
trend_slope_abs,RR_vs_NN,8,-0.5656475903755876,-0.4761904761904762
trend_slope_abs,train_main,8,-0.5127567728004386,-0.523809523809524
trend_slope_abs,test_main,8,-0.5767656125975352,-0.4761904761904762
trend_slope_abs,RN_vs_NR,8,0.5671333885284869,0.4523809523809524
trend_slope_abs,abs_log_interaction,8,0.501080163568365,0.4523809523809524
lag1_autocorr,RN_vs_NN,8,-0.7222295317915477,-0.6666666666666669
lag1_autocorr,NR_vs_NN,8,-0.6885518271387785,-0.5714285714285715
lag1_autocorr,RR_vs_NN,8,-0.5833875626753088,0.09523809523809526
lag1_autocorr,train_main,8,-0.5905421648403898,-0.523809523809524
lag1_autocorr,test_main,8,-0.5683189210766153,0.09523809523809526
lag1_autocorr,RN_vs_NR,8,0.3349510700288226,-0.04761904761904763
lag1_autocorr,abs_log_interaction,8,0.26590944070440775,0.6428571428571429
period_autocorr,RN_vs_NN,8,-0.8094873096796484,-0.9047619047619048
period_autocorr,NR_vs_NN,8,-0.3450110496785375,-0.3571428571428572
period_autocorr,RR_vs_NN,8,-0.21341060111259372,0.11904761904761905
period_autocorr,train_main,8,-0.24964250831126625,-0.04761904761904763
period_autocorr,test_main,8,-0.1659904394143659,0.11904761904761905
period_autocorr,RN_vs_NR,8,-0.3345082259855344,-0.11904761904761905
period_autocorr,abs_log_interaction,8,-0.45476138065024946,0.19047619047619052
roughness_std_diff,RN_vs_NN,8,0.5052592818325424,0.6190476190476191
roughness_std_diff,NR_vs_NN,8,0.02590918590542944,0.28571428571428575
roughness_std_diff,RR_vs_NN,8,-0.10637464614848915,-0.5000000000000001
roughness_std_diff,train_main,8,-0.048945255121148286,0.07142857142857144
roughness_std_diff,test_main,8,-0.12253225988094145,-0.5000000000000001
roughness_std_diff,RN_vs_NR,8,0.19149332920256448,0.4285714285714286
roughness_std_diff,abs_log_interaction,8,0.10270532864667223,-0.2380952380952381
train_test_mean_shift,RN_vs_NN,8,-0.5555029222555328,-0.7857142857142858
train_test_mean_shift,NR_vs_NN,8,-0.4821145836013991,-0.7857142857142858
train_test_mean_shift,RR_vs_NN,8,-0.37368033533747,-0.04761904761904763
train_test_mean_shift,train_main,8,-0.3484318591384484,-0.38095238095238104
train_test_mean_shift,test_main,8,-0.37561998990387896,-0.04761904761904763
train_test_mean_shift,RN_vs_NR,8,0.33278215593787275,0.023809523809523815
train_test_mean_shift,abs_log_interaction,8,0.3022739157811292,0.38095238095238104
train_test_scale_shift,RN_vs_NN,8,0.1436129477029785,-0.023809523809523815
train_test_scale_shift,NR_vs_NN,8,0.5961296787666653,0.2380952380952381
train_test_scale_shift,RR_vs_NN,8,0.6511134834826443,0.4761904761904762
train_test_scale_shift,train_main,8,0.6467275849664046,0.4523809523809524
train_test_scale_shift,test_main,8,0.6360425575366787,0.4761904761904762
train_test_scale_shift,RN_vs_NR,8,-0.3638548858186314,-0.523809523809524
train_test_scale_shift,abs_log_interaction,8,-0.2583306508779862,-0.6666666666666669
forward_similarity,RN_vs_NN,8,-0.027432981781989305,0.0
forward_similarity,NR_vs_NN,8,0.23234103815728926,0.5714285714285715
forward_similarity,RR_vs_NN,8,0.2175176813822488,-0.04761904761904763
forward_similarity,train_main,8,0.1888431526316586,0.28571428571428575
forward_similarity,test_main,8,0.25011497100985713,-0.04761904761904763
forward_similarity,RN_vs_NR,8,-0.567942328365636,0.04761904761904763
forward_similarity,abs_log_interaction,8,-0.6782522807775022,-0.3571428571428572
reverse_similarity,RN_vs_NN,8,-0.600214377071313,-0.4285714285714286
reverse_similarity,NR_vs_NN,8,-0.42404532645417,-0.7142857142857144
reverse_similarity,RR_vs_NN,8,-0.3170800038718098,-0.2142857142857143
reverse_similarity,train_main,8,-0.4182310434346095,-0.7380952380952381
reverse_similarity,test_main,8,-0.3049479182763747,-0.2142857142857143
reverse_similarity,RN_vs_NR,8,0.24112457646809438,0.19047619047619052
reverse_similarity,abs_log_interaction,8,0.2715484269722614,0.6666666666666669
reverse_similarity_gain,RN_vs_NN,8,-0.3093186297686756,-0.4047619047619048
reverse_similarity_gain,NR_vs_NN,8,-0.36011006002552487,-0.7619047619047621
reverse_similarity_gain,RR_vs_NN,8,-0.29389878058539887,0.0
reverse_similarity_gain,train_main,8,-0.33249909842879716,-0.3571428571428572
reverse_similarity_gain,test_main,8,-0.30566882068406587,0.0
