model,case,seasonal_pattern,sha256
DLinear,NN,Yearly,329d30e56297c7b1f166b22a7ae2d90fdac6383aac0bcdf441b08327d63c642d
DLinear,NN,Quarterly,cf0befc3d5574f707df031402bfd833b94f0eb5521671c119323f42f3d782842
DLinear,NN,Monthly,565c7d607d30c683ef34b9db68bcd89d7f9730cc94b384138cfb43b39c6b509e
DLinear,NN,Weekly,3ba866e6e22958951e7740f231a4fc72c2ec2f349863927e25b4b66dfdac3f2a
DLinear,NN,Daily,a2b5365d5bf8087730a135e432c9107f47a93f313d4ab192af354c71980a483b
DLinear,NN,Hourly,02b2d541196d595b00a4bebf75562d24c22a58f42c345fd81b059e2d07695c67
DLinear,NR,Yearly,4efe2e7d1fa64e93ec12d781c1d9e4d21159664914cb837c4a4b1e722d9bf299
DLinear,NR,Quarterly,fe853d40b76cbfa3ecc039205ee3b2a31bb1f9d6313f4b4d0d66f126d4baaa94
DLinear,NR,Monthly,565c7d607d30c683ef34b9db68bcd89d7f9730cc94b384138cfb43b39c6b509e
DLinear,NR,Weekly,3ba866e6e22958951e7740f231a4fc72c2ec2f349863927e25b4b66dfdac3f2a
DLinear,NR,Daily,a2b5365d5bf8087730a135e432c9107f47a93f313d4ab192af354c71980a483b
DLinear,NR,Hourly,dae2b410a50472d2f0bd04dc0cb1d9c6f4ff867d7aa74e62a994f6d768be7188
DLinear,RN,Yearly,87aad7eaa6ca64715f8ecfa768d92bbfed5df680cc93fc2a6ab2a39547e2e7f7
DLinear,RN,Quarterly,a879eb48013a4ae68f47c69e47c8b208febd6cac05641fcf33446e6dc7e245af
DLinear,RN,Monthly,05c4f2eba558defe2214fd3237786704b07a37976463b1c4008c35fee761b58f
DLinear,RN,Weekly,38aec11f5dbd4e11ae89125990686326d6843fcde417ea22f7c9c63631b8fad4
DLinear,RN,Daily,46c0fab3e976904633cfcd6b2d549354a77ac75dda43ccf0725a3b96dcd98daf
DLinear,RN,Hourly,afd10eccdeeabfffb67c4ae630665e2d4d44af3912826b1967c0adf65b587535
DLinear,RR,Yearly,87aad7eaa6ca64715f8ecfa768d92bbfed5df680cc93fc2a6ab2a39547e2e7f7
DLinear,RR,Quarterly,a879eb48013a4ae68f47c69e47c8b208febd6cac05641fcf33446e6dc7e245af
DLinear,RR,Monthly,05c4f2eba558defe2214fd3237786704b07a37976463b1c4008c35fee761b58f
DLinear,RR,Weekly,38aec11f5dbd4e11ae89125990686326d6843fcde417ea22f7c9c63631b8fad4
DLinear,RR,Daily,46c0fab3e976904633cfcd6b2d549354a77ac75dda43ccf0725a3b96dcd98daf
DLinear,RR,Hourly,afd10eccdeeabfffb67c4ae630665e2d4d44af3912826b1967c0adf65b587535
GRU,NN,Yearly,510c16f05865cf15da19b08e8c0b8e753a5534f95cf79e2579dc9c63833b0c89
GRU,NN,Quarterly,1103824b25cfd47422c81969ed30424a056a02d1bec3f51d72cd94b5991e0301
GRU,NN,Monthly,abe9bcec42b2698431268333e6e92d57058a35c83859343a25d61c3077e5ebca
GRU,NN,Weekly,97895762b967ee3898f8cf6a4bcfb6417e0d568656a66d18783cf70a016eac6b
GRU,NN,Daily,8a87c70223ae2a7b8b7192e8c9a137ee4d0990814245c201a20caff98fe251b1
GRU,NN,Hourly,27e1646dba18ca465b0a216a090e7482d9525535d6b1014761ea3f2b5694ad87
GRU,NR,Yearly,944a392e84b3991af8b1f39e5b1f6ef63272dbe2bebcc3b511fe70e58e70b3a9
GRU,NR,Quarterly,93d1613fefcad92505091a230089033fac18adbea4cb61843dacd40b13cf2773
GRU,NR,Monthly,8cef4c547fbc64d836babb1cf3e8ae7b353fe970567dd770262fc866f78d3fc0
GRU,NR,Weekly,97895762b967ee3898f8cf6a4bcfb6417e0d568656a66d18783cf70a016eac6b
