model,seasonal_pattern,NN_equals_NR,RN_equals_RR
DLinear,Daily,True,True
DLinear,Hourly,False,True
DLinear,Monthly,True,True
DLinear,Quarterly,False,True
DLinear,Weekly,True,True
DLinear,Yearly,False,True
GRU,Daily,True,True
GRU,Hourly,True,True
GRU,Monthly,False,True
GRU,Quarterly,False,True
GRU,Weekly,True,False
GRU,Yearly,False,True
PatchTST,Daily,True,True
PatchTST,Hourly,False,False
PatchTST,Monthly,False,True
PatchTST,Quarterly,True,True
PatchTST,Weekly,True,True
PatchTST,Yearly,True,True
TimeFilter,Daily,True,True
TimeFilter,Hourly,True,False
TimeFilter,Monthly,False,True
TimeFilter,Quarterly,True,True
TimeFilter,Weekly,True,True
TimeFilter,Yearly,True,True
TimeMixer,Daily,False,True
TimeMixer,Hourly,False,False
TimeMixer,Monthly,False,True
TimeMixer,Quarterly,False,True
TimeMixer,Weekly,True,True
TimeMixer,Yearly,False,True
TimesNet,Daily,False,False
TimesNet,Hourly,False,False
TimesNet,Monthly,False,False
TimesNet,Quarterly,False,False
TimesNet,Weekly,False,False
TimesNet,Yearly,False,False
iTransformer,Daily,True,True
iTransformer,Hourly,False,False
iTransformer,Monthly,False,True
iTransformer,Quarterly,False,True
iTransformer,Weekly,True,False
iTransformer,Yearly,False,True
