model,case,seasonal_pattern,frequency,horizon,series_count,lr_tag,target_mode,mse,mae,smape,mase,owa_naive2,owa_context,naive2_smape,naive2_mase,context_naive_smape,context_naive_mase
DLinear,NN,Yearly,1,6,23000,0p005,corrected_target_order,3463580.870950673,878.7849297198841,14.745499018730477,3.438590993058285,0.8837454410150898,0.8837454410131177,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
DLinear,NN,Quarterly,4,8,24000,0p005,corrected_target_order,1960207.95607873,594.3221934444701,10.58615864036102,1.2616854418987413,0.9406884547729051,0.8164474856279424,11.011569928824954,1.371382270977276,12.52136683379731,1.602247176187081
DLinear,NN,Monthly,12,18,48000,0p005,corrected_target_order,1940454.4113012436,579.2086780453752,13.370129287376301,1.0076402206839856,0.9371776580190916,0.8180698219774416,14.42682875988102,1.0633594479711004,15.98828156281687,1.2597170382819949
DLinear,NN,Weekly,1,13,359,0p005,corrected_target_order,819427.2056099834,500.77911462884083,12.267998361158922,5.50324415626491,1.6603126416749219,1.6603126416749219,9.161286913981998,2.777294993197484,9.161286913981998,2.777294993197484
DLinear,NN,Daily,1,14,4227,0p005,corrected_target_order,536877.8935292662,238.63375507065726,4.041355204849045,4.448648390534785,1.342023814927816,1.3420238149288461,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
DLinear,NN,Hourly,24,48,414,0p005,corrected_target_order,4920246.463519274,442.14548544696055,19.165461133315013,3.7515135132531654,1.3044695429366278,2.2608223114257573,18.38287811786554,2.3950400069486575,13.912272896330165,1.1932102074200355
DLinear,NR,Yearly,1,6,23000,0p005,corrected_target_order,4060982.5273468317,1045.314003111116,17.256681498441107,4.305516281073702,1.069641549207724,1.0696415492053277,16.342173488084814,3.974360265173671,16.342173488117087,3.974360265183603
DLinear,NR,Quarterly,4,8,24000,0p005,corrected_target_order,2172633.514425694,655.3627511821924,11.652706731333804,1.4635825009466714,0.9649951263872805,0.8467910452348634,11.96423231426962,1.5308986751077838,13.50497592468908,1.7617887436505335
DLinear,NR,Monthly,12,18,48000,0p005,corrected_target_order,2145460.218481566,630.2576427112716,14.507930411357375,1.167475128584839,0.9264409464816344,0.8021446424810443,15.550790003469528,1.2690727646806907,17.662953110153197,1.4911939068277227
DLinear,NR,Weekly,1,13,359,0p005,corrected_target_order,814963.3870793065,499.5963303965717,12.262449166432125,5.488457123505486,1.6573476520012669,1.6573476520012669,9.161286913982,2.777294993197484,9.161286913982,2.777294993197484
DLinear,NR,Daily,1,14,4227,0p005,corrected_target_order,534123.9486908494,240.57573412093572,4.075128114558537,4.4892796872300815,1.3537657623377346,1.3537657623387713,3.0452517800791794,3.2784242959595575,3.0452517800636603,3.27842429597092
DLinear,NR,Hourly,24,48,414,0p005,corrected_target_order,145628260.49669874,1902.0304621525365,37.92971527636495,14.553121713587752,0.8926046410691629,0.9247960037522913,42.743468896500396,16.209237115149428,41.95339841711752,15.391978324543457
DLinear,RN,Yearly,1,6,23000,0p005,corrected_target_order,43999393.17464274,4694.474734376877,113.4633739003632,22.35996985150703,6.284517252212312,1.0798086394764694,16.342173488084814,3.974360265173671,104.49287210063716,20.823811813717906
DLinear,RN,Quarterly,4,8,24000,0p005,corrected_target_order,31230118.12690954,3742.892864665936,83.99696307246595,11.54384576931247,8.022867995856137,1.0529143834620713,11.011569928824954,1.371382270977276,79.51623197600479,10.999598035603645
DLinear,RN,Monthly,12,18,48000,0p005,corrected_target_order,19134156.77262387,2748.3503976465586,63.34029490707361,7.419656712190838,5.684006962646306,1.028053716165151,14.42682875988102,1.0633594479711004,61.761637434184024,7.1997270372477145
