model,case,smape,mase,owa_naive2,owa_context
DLinear,NN,12.644020113652735,1.8006800203211812,0.9369465099326479,0.8690574570636422
DLinear,NR,12.71512698889921,1.8212125167224194,0.9449367197690861,0.8764744652647352
DLinear,RN,79.35111562379068,14.222954723607828,6.644221730301739,1.0448091383178446
DLinear,RR,79.35111562379068,14.222954723607828,6.644221730301739,1.0448091383178446
GRU,NN,12.721030216903303,1.754338581541348,0.9276673964894191,0.8604190141087912
GRU,NR,12.805909027113572,1.7631281049224412,0.9330945874830152,0.8654511400141103
GRU,RN,77.21255777568325,13.804694238347112,6.456018691720775,1.015374342505234
GRU,RR,77.21258937815222,13.804735183479583,6.456030563435216,1.0153760475149305
PatchTST,NN,15.206268964530208,2.3989052794299166,1.1878268427336645,1.1018885155680138
PatchTST,NR,15.269446116680317,2.4210228889921903,1.1959392391565973,1.1094203571890935
PatchTST,RN,77.6957390050814,14.194044150471093,6.575641237881064,1.0327964440754847
PatchTST,RR,77.69532079626879,14.198534805773848,6.576800087535393,1.0329577323589385
TimeFilter,NN,13.05618048293822,1.8553528734076719,0.9664360579997398,0.8964080341073818
TimeFilter,NR,13.058252930767518,1.855912676927192,0.9666588363069304,0.8966148166672011
TimeFilter,RN,77.59799753504667,13.770237417481313,6.461216659518273,1.0166666637206778
TimeFilter,RR,77.59799966155,13.770484126696461,6.461281250131753,1.0166756907786656
TimeMixer,NN,12.13198719870923,1.6504888380913634,0.8787982729810966,0.8150798056112883
TimeMixer,NR,12.274255687289575,1.67512123165884,0.8904837344902989,0.8259209806615708
TimeMixer,RN,77.79378424026532,13.881849629133544,6.4976193492002094,1.022040034036979
TimeMixer,RR,77.79378424173679,13.881849629142465,6.497619349256784,1.022040034047044
TimesNet,NN,13.345545455411232,1.9374627929975616,0.9985736557747737,0.9262396181058941
TimesNet,NR,13.345534117102368,1.9374508217350717,0.998570107444273,0.926236321155657
TimesNet,RN,75.9083829956839,13.599565598068798,6.354304803403744,0.9992484195263119
TimesNet,RR,75.90964252298411,13.599654824002108,6.354374563984192,0.9992600156865082
iTransformer,NN,12.678975068842897,1.7570144464476702,0.9268168703494286,0.8596349042121357
iTransformer,NR,12.76925223884044,1.7775837962652086,0.9355233741207926,0.8677148167804016
iTransformer,RN,78.30831543548028,13.884903082580871,6.5173844940463885,1.0255571341414602
iTransformer,RR,78.30850474488662,13.885281241819532,6.517490357603628,1.025572202354623
