model,case,seasonal_pattern,seq_len,pred_len,smape,mase,owa
OLS-default,NN,Yearly,9,6,15.89820310688954,4.12961895069265,1.005948959819108
OLS-default,NN,Quarterly,12,8,12.229772412285602,1.6991164598291095,1.018585321241227
OLS-default,NN,Monthly,27,18,14.812579618216745,1.279560777179062,0.9711086539039424
OLS-default,NN,Weekly,130,13,7.968532822158944,2.7259928934138142,0.9256664981350358
OLS-default,NN,Daily,140,14,3.085098405345992,3.323475728806885,1.0134133160797871
OLS-default,NN,Hourly,480,48,19.569914647993514,2.6228950848760277,1.8024245519736344
OLS-default,NR,Yearly,9,6,24.299279847861044,5.5920152554648865,1.3920652007060754
OLS-default,NR,Quarterly,12,8,15.09342977577334,2.308167459404149,1.382632259305575
OLS-default,NR,Monthly,27,18,13.564969650551632,1.3540497466851105,1.0157742878307614
OLS-default,NR,Weekly,130,13,40.82916918751311,2.81856419399275,4.638974020497372
OLS-default,NR,Daily,140,14,7.386501994578555,2.9592778340846415,1.8339910498352592
OLS-default,NR,Hourly,480,48,21.10859712804418,3.3809010180460795,1.9678754386191164
OLS-default,RN,Yearly,9,6,20.046935458472134,5.2631536333345,1.2754881998497465
OLS-default,RN,Quarterly,12,8,13.566090935566828,2.054638263890463,1.1828915923493837
OLS-default,RN,Monthly,27,18,14.480696788358964,1.286496258798949,0.9634825073595894
OLS-default,RN,Weekly,130,13,8.490407882097633,3.5772876661671944,1.1074088224465284
OLS-default,RN,Daily,140,14,3.181904156826997,3.459163737521391,1.0500019449796294
OLS-default,RN,Hourly,480,48,24.76496895314673,3.981211052251241,2.5583176864653954
OLS-default,RR,Yearly,9,6,15.530075306606271,2.576803276944211,0.7529743187099309
OLS-default,RR,Quarterly,12,8,11.380973380644225,1.3365956523187068,0.9047540596479812
OLS-default,RR,Monthly,27,18,12.7199506133978,1.1007628842912835,0.8809105342862309
OLS-default,RR,Weekly,130,13,40.668134755242896,2.1974817962016178,4.473591848352013
OLS-default,RR,Daily,140,14,7.374961061507453,2.9143506116778397,1.8241622481969857
OLS-default,RR,Hourly,480,48,22.804156880931785,2.337673254185366,1.6373847597882905
RevIN-OLS-default,NN,Yearly,9,6,193.42265353213824,198.33251145624115,30.869400072811853
RevIN-OLS-default,NN,Quarterly,12,8,76.2220426479232,29.142519699962953,12.13794365014344
RevIN-OLS-default,NN,Monthly,27,18,151.13455835551972,30.701633998143414,16.912341308753177
RevIN-OLS-default,NN,Weekly,130,13,6.905383649000189,2.203241714710383,0.7735309209951311
RevIN-OLS-default,NN,Daily,140,14,47.08550761604126,44.65690958541752,14.541698786351
