model,seasonal_pattern,seq_len,pred_len,NN,NR,RN,RR,RN_vs_NN,NR_vs_NN,RR_vs_NN,RN_vs_NR,train_main,test_main,interaction,abs_log_interaction
KNN-default,Daily,140,14,1.2407740794501303,2.1493080150832733,1.4059063936862883,2.1718982038726264,1.133088139872602,1.7322315566390418,1.7504380852597592,0.6541204814852084,1.070045514518032,1.635853859962385,0.8918198080253043,0.11449117574892377
KNN-default,Hourly,480,48,3.2627183969908535,3.9543642088694697,5.875230317900653,3.775165528465558,1.8007163362058067,1.2119845256999526,1.1570614037507267,1.4857585208572246,1.3111498159164205,0.8824784091831681,0.5301686306731554,0.6345601519602287
KNN-default,Monthly,27,18,1.118317752539668,1.0803757948978163,1.1482581824522242,1.003596007272221,1.0267727395407633,0.9660722924627759,0.8974157881273751,1.062832199568881,0.9766280745622967,0.9188920649547959,0.9047107474300677,0.1001400024696951
KNN-default,Quarterly,12,8,1.100458159031088,1.1400316729867963,1.1602002101655162,0.988121763286576,1.0542883440357504,1.0359609437496027,0.8979185216424584,1.0176912077590616,0.9559308472685378,0.939313261213567,0.822117972083405,0.19587137587408912
KNN-default,Weekly,130,13,1.2380516206284358,5.039251130504291,1.66716379339596,5.025394925849931,1.3466028117225892,4.070307769514783,4.059115825315133,0.3308356242267931,1.1588356733708998,3.5027535987977503,0.7405675495441107,0.3003384279031672
KNN-default,Yearly,9,6,1.1351183422514093,1.209619170638687,1.2553597006939916,0.7618092819875525,1.1059284780863412,1.0656326531025053,0.6711276292801062,1.0378139923420306,0.8345691369288881,0.8041606136428354,0.5694696159862912,0.5630498496054585
OLS-default,Daily,140,14,1.0134133160797871,1.8339910498352592,1.0500019449796294,1.8241622481969857,1.0361043498435356,1.8097167470916349,1.8000180373131858,0.5725229384701453,1.015160881841794,1.7731357359312692,0.9599812589071147,0.040841516682566796
OLS-default,Hourly,480,48,1.8024245519736344,1.9678754386191164,2.5583176864653954,1.6373847597882905,1.4193757423377675,1.0917935158308376,0.9084345627645677,1.3000404579776654,1.0867390142160116,0.8359270725362932,0.5862134246795562,0.5340713497741988
OLS-default,Monthly,27,18,0.9711086539039424,1.0157742878307614,0.9634825073595894,0.8809105342862309,0.9921469688137416,1.0459944762589224,0.9071184061071775,0.9485202755202203,0.9275883788029274,0.9779320513672597,0.8740948837358447,0.13456634659227254
OLS-default,Quarterly,12,8,1.018585321241227,1.382632259305575,1.1828915923493837,0.9047540596479812,1.1613083044510562,1.3574044613373457,0.8882457274619534,0.8555359419600763,0.8717374290095473,1.0189372371806527,0.5634771680889712,0.573628464355178
OLS-default,Weekly,130,13,0.9256664981350358,4.638974020497372,1.1074088224465284,4.473591848352013,1.1963367202741524,5.011496073200913,4.832833269179639,0.23871847903295576,1.0740980436805716,4.499434011274381,0.8060852694873605,0.21556574866260092
