model,seq_len,n,RN_vs_NN_gmean,RN_vs_NN_median,RN_vs_NN_better_share,NR_vs_NN_gmean,NR_vs_NN_median,NR_vs_NN_better_share,RR_vs_NN_gmean,RR_vs_NN_median,RR_vs_NN_better_share,RN_vs_NR_gmean,RN_vs_NR_median,RN_vs_NR_better_share,train_main_gmean,train_main_median,train_main_better_share,test_main_gmean,test_main_median,test_main_better_share,interaction_gmean,interaction_median,interaction_better_share,median_abs_log_interaction,p90_abs_log_interaction
KNN-fast,96,32,0.9666518212402979,1.0073759827044095,0.40625,1.049886018109658,1.0130311837468489,0.3125,1.0006656573944583,0.9922131529064648,0.6875,0.9207207302186715,0.9952451706584097,0.59375,0.9598612476712313,0.9955483749656462,0.65625,1.042510737694875,1.001188854869996,0.40625,0.9859996700428971,0.9924346936917772,0.59375,0.022489855481553023,0.09841788939131482
KNN-fast,104,4,1.062895733789976,1.0631916492003501,0.0,0.28008947177770965,0.27658659897424803,1.0,0.33600843557301807,0.331174016703207,1.0,3.79484357995981,3.7724534027843397,0.0,1.129203017418306,1.1343803858121024,0.0,0.2975624669700523,0.29462931320847313,1.0,1.1286589561881455,1.1332900854292811,0.0,0.12501546879849593,0.14962703232907543
OLS,96,32,1.0157427233608767,0.9996117136011407,0.53125,1.0651138857404174,1.0065088066316097,0.34375,1.0886299487489857,1.009515460350707,0.34375,0.9536470578024432,0.9971787666077342,0.5625,1.018905661805888,0.9998576701212607,0.53125,1.0684305618829517,1.006688240710937,0.34375,1.0062375303035165,1.0004018135052166,0.34375,0.0005150494246111568,0.029609009802102782
OLS,104,4,1.0751522154923006,1.0735084047039045,0.0,0.2926605141192301,0.2937972873394856,1.0,0.28747031713387433,0.2860092523380846,1.0,3.6737180576887902,3.6924877212672538,0.0,1.0276599121811834,1.0273739618652793,0.0,0.27973292888668355,0.2783792403950952,1.0,0.9136059571472067,0.9163699769042092,1.0,0.08770592055773568,0.15006845124876014
OLS,336,36,0.9855796747539111,0.999456464675321,0.6111111111111112,1.0373121932636153,0.9832496147917911,0.6111111111111112,0.9460195100877768,0.978046051670252,0.6944444444444444,0.9501283038552335,1.0174424241872346,0.3333333333333333,0.9480716811157575,0.9998431244793922,0.5277777777777778,0.997835426298605,0.9708939322220338,0.7222222222222222,0.9253347491662653,1.001199854764997,0.2777777777777778,0.0016091883711830618,0.3204924996763736
RevIN-OLS,96,32,0.9285402484662588,0.992392836734941,0.65625,1.0289753224465532,1.004508181736671,0.40625,0.9287961902361858,0.9953202099220538,0.5625,0.9023931169296714,0.983010747905211,0.625,0.9154994752044567,0.9902454663744996,0.65625,1.0145240007142107,1.0034933565277495,0.375,0.9721084821311627,1.0010915580177078,0.40625,0.004046252413170831,0.11660520941554317
RevIN-OLS,104,4,1.1726053829427923,1.1684657860127001,0.0,0.8657091432444178,0.8756724933606472,0.75,0.5333733144330441,0.5352483713916792,1.0,1.3545027127104368,1.3348037014474738,0.0,0.8499738827087072,0.8502840176569235,1.0,0.62751729821778,0.6332461568526748,1.0,0.5254209623319762,0.5250894343424284,1.0,0.6468569465160252,0.8397168380057126
RevIN-OLS,336,36,0.9204110155590692,0.9890058727772525,0.75,1.0161104324451318,0.9859824658816041,0.6111111111111112,0.8346868321889873,0.9610833950632933,0.8055555555555556,0.9058178975135853,0.986860346593738,0.5555555555555556,0.869525313844113,0.9942810019728897,0.7222222222222222,0.9599339075005107,0.9785229790835637,0.6388888888888888,0.8924848326610789,1.0023597392624053,0.3055555555555556,0.008465175356723559,0.5816001147200964
Ridge,96,32,1.0157448380121765,0.9996117124882052,0.53125,1.0651214428485405,1.0065088131364985,0.34375,1.0886395038353365,1.0095154858223263,0.34375,0.953642276974246,0.9971787254262274,0.5625,1.0189075793425248,0.9998576697235795,0.53125,1.0684379289216868,1.0066882471417653,0.34375,1.0062371279705944,1.0004018134293409,0.34375,0.0005150514140164783,0.029585055270263064
Ridge,104,4,1.075170222642726,1.073537518671484,0.0,0.2925234646273029,0.2936671419755177,1.0,0.28733595854473015,0.285892281412895,1.0,3.675500780809411,3.6941259210898596,0.0,1.0276689836643782,1.0273917741481244,0.0,0.27959971850096227,0.27826053649920124,1.0,0.9135914838349519,0.9163523985131753,1.0,0.0877254549653869,0.15009226516087562
