dataset,architecture,capacity,seeds,n_unique_windows,median_start_spacing,block_length_pairs,delta_open,ci95_low,ci95_high,bonferroni_family,ci_bonf_low,ci_bonf_high
ETTh2,gru,64,3,2785,1.0,192,0.196725005043088,0.18350805509093654,0.21332447641896468,12,0.17731968343534885,0.22092151592035505
ETTh2,mlp,32,3,2785,1.0,192,0.20519883643961698,0.1874344360964303,0.22817231004280372,12,0.18005724285812863,0.2406879166358768
ETTh2,mlp,128,3,2785,1.0,192,0.17272290026929982,0.15566947319904248,0.18853600806409634,12,0.14622076749680032,0.19639312576237286
ETTh2,mlp,512,3,2785,1.0,192,0.27204013530185517,0.23696357200878815,0.3316307099286385,12,0.2264461445932316,0.3658981815849017
ETTm1,gru,64,3,4000,3.0,64,0.20212558691680832,0.1935360201339033,0.2103434089997702,12,0.1896376119175416,0.21440062054194378
ETTm1,mlp,32,3,4000,3.0,64,0.22543843668086666,0.2161499183058354,0.2353201857363827,12,0.2122950111741517,0.2396531604027757
ETTm1,mlp,128,3,4000,3.0,64,0.21081231007345835,0.2017347430962954,0.22000828248527227,12,0.1982760793751625,0.22423736089932392
ETTm1,mlp,512,3,4000,3.0,64,0.20258301948045002,0.19321832901130498,0.21210899967133706,12,0.1890317207249324,0.21618671261976144
weather,gru,64,3,4000,3.0,64,0.19555390162911498,0.18915523360381514,0.20225448259606116,12,0.1859915482791273,0.20468081931203008
weather,mlp,32,3,4000,3.0,64,0.2032552831994367,0.1966198459792676,0.20964837339047637,12,0.1934763004506296,0.21269494027323976
weather,mlp,128,3,4000,3.0,64,0.20723238474373334,0.2004817882628175,0.21382302785424107,12,0.19748461713854262,0.21666595734650826
weather,mlp,512,3,4000,3.0,64,0.21198385107458836,0.20532525243807917,0.21867593791544815,12,0.20228227447315744,0.22143590070592753
