dataset,condition,seeds,mse_mean,mse_std,separation_mse_mean
ETTh2,info0,3,0.43746323386828095,0.03980712638848047,0.4379199147224426
ETTh2,info100,3,0.2647403230269749,0.06496761280167589,0.06657988702257467
ETTh2,info50,3,0.30032570163408917,0.013172974934865089,0.2592893938223521
ETTh2,placebo,3,0.4922802646954854,0.032777171475503304,0.4379199147224426
ETTh2,shuffled,3,0.45104018847147626,0.021275889028761718,0.4390622675418854
ETTm1,info0,3,0.3089256286621093,0.012185782407949942,0.4473574757575989
ETTm1,info100,3,0.0981133158008257,0.021483923412076892,0.03638613348205877
ETTm1,info50,3,0.20248236755530033,0.0068470881030862005,0.24831751485665635
ETTm1,placebo,3,0.31728681921958923,0.03694531552868299,0.4473574757575989
ETTm1,shuffled,3,0.3135721782843272,0.011066034717586505,0.4473845263322194
weather,info0,3,0.2284314433733622,0.001150814326449245,0.4459554553031921
weather,info100,3,0.021199057499567634,0.002286366380442669,0.0337530896067619
weather,info50,3,0.12145642191171642,0.0013809549844107255,0.23286787668863929
weather,placebo,3,0.22922235727310178,0.0006007494371184619,0.4459554553031921
weather,shuffled,3,0.22764135897159574,0.0011799305533038487,0.4461254874865214
