dataset,condition,base_start,mse
ETTm1,target_history,45984,0.006870387462366224
ETTm1,target_history,45986,0.006919679659319516
ETTm1,target_history,45989,0.007185919125425676
ETTm1,target_history,45992,0.00808542798759773
ETTm1,target_history,45995,0.009650722334935772
ETTm1,target_history,45998,0.011012595401705782
ETTm1,target_history,46001,0.01347476076053484
ETTm1,target_history,46003,0.011845518721700872
ETTm1,target_history,46006,0.012302606575189954
ETTm1,target_history,46009,0.013899400434182798
ETTm1,target_history,46012,0.015316843119506431
ETTm1,target_history,46015,0.017028235238153274
ETTm1,target_history,46018,0.019617452793363726
ETTm1,target_history,46021,0.02176344595952338
ETTm1,target_history,46023,0.028770472848928735
ETTm1,target_history,46026,0.026900201181086086
ETTm1,target_history,46029,0.026727602689184837
ETTm1,target_history,46032,0.02936011850034406
ETTm1,target_history,46035,0.031765258312535224
ETTm1,target_history,46038,0.04169521783458899
ETTm1,target_history,46041,0.052159193112368614
ETTm1,target_history,46043,0.03703922191617572
ETTm1,target_history,46046,0.03798125282745341
ETTm1,target_history,46049,0.03203347352578979
ETTm1,target_history,46052,0.042230599004053404
ETTm1,target_history,46055,0.04009184756720427
ETTm1,target_history,46058,0.03865097425389314
ETTm1,target_history,46061,0.043302730342957806
ETTm1,target_history,46063,0.042657504503582355
ETTm1,target_history,46066,0.04308848597030283
ETTm1,target_history,46069,0.04359296460682668
ETTm1,target_history,46072,0.03646343627970168
ETTm1,target_history,46075,0.019023602199192993
ETTm1,target_history,46078,0.01587789420911729
ETTm1,target_history,46081,0.013756850416951879
ETTm1,target_history,46083,0.010685413240555655
ETTm1,target_history,46086,0.008807749687962685
ETTm1,target_history,46089,0.008589225576184372
ETTm1,target_history,46092,0.007534062216242785
ETTm1,target_history,46095,0.007225253460047667
ETTm1,target_history,46098,0.0071157058796700754
ETTm1,target_history,46101,0.009058942735259092
ETTm1,target_history,46103,0.009721074484069439
ETTm1,target_history,46106,0.017382460916904822
ETTm1,target_history,46109,0.02213495767984558
ETTm1,target_history,46112,0.02604731355593549
ETTm1,target_history,46115,0.03179980011093314
ETTm1,target_history,46118,0.02128507420484346
ETTm1,target_history,46121,0.015601178088538394
ETTm1,target_history,46123,0.02375569427957588
ETTm1,target_history,46126,0.023207707122842213
ETTm1,target_history,46129,0.0253920650443223
ETTm1,target_history,46132,0.019955621904704
ETTm1,target_history,46135,0.009846899715543157
ETTm1,target_history,46138,0.014417489708597103
ETTm1,target_history,46141,0.015264366588792605
ETTm1,target_history,46143,0.016297900293621787
ETTm1,target_history,46146,0.01527716091312587
ETTm1,target_history,46149,0.015684381355246694
ETTm1,target_history,46152,0.017556607037945735
ETTm1,target_history,46155,0.0205584804683947
ETTm1,target_history,46158,0.025217102287618125
ETTm1,target_history,46161,0.026693597131584843
ETTm1,target_history,46163,0.03127448135365606
ETTm1,target_history,46166,0.03406654965058253
ETTm1,target_history,46169,0.02789982687548125
ETTm1,target_history,46172,0.02304416511565459
ETTm1,target_history,46175,0.022650740985693908
ETTm1,target_history,46178,0.019773354180570624
ETTm1,target_history,46181,0.024937935774729508
ETTm1,target_history,46183,0.020022602663777433
ETTm1,target_history,46186,0.01954810171866179
ETTm1,target_history,46189,0.030048533312473424
ETTm1,target_history,46192,0.014590050791403372
ETTm1,target_history,46195,0.013308929246937497
ETTm1,target_history,46198,0.008739194397171498
ETTm1,target_history,46201,0.007225833575827013
ETTm1,target_history,46203,0.007294062022407685
ETTm1,target_history,46206,0.011073843802240732
ETTm1,target_history,46209,0.008383823438323971
ETTm1,target_history,46212,0.008029686236109503
ETTm1,target_history,46215,0.009590579315368225
ETTm1,target_history,46218,0.009494405903585119
ETTm1,target_history,46221,0.011139677222883629
ETTm1,target_history,46223,0.010915719951637442
ETTm1,target_history,46226,0.012082506359713934
ETTm1,target_history,46229,0.01672183931898343
ETTm1,target_history,46232,0.02483798889192861
ETTm1,target_history,46235,0.017839666259023546
ETTm1,target_history,46238,0.012687321829566134
ETTm1,target_history,46241,0.015599081893079389
ETTm1,target_history,46243,0.014112309224648558
ETTm1,target_history,46246,0.013065808835914508
ETTm1,target_history,46249,0.009029504780947087
ETTm1,target_history,46252,0.008433916453618814
ETTm1,target_history,46255,0.008815475810999703
ETTm1,target_history,46258,0.010472859132564372
ETTm1,target_history,46261,0.012861400496639627
ETTm1,target_history,46263,0.011702294863743912
ETTm1,target_history,46266,0.0138402938756989
ETTm1,target_history,46269,0.015281039131359406
ETTm1,target_history,46272,0.019085186635477997
ETTm1,target_history,46275,0.013708649274857035
ETTm1,target_history,46278,0.012934197182479743
ETTm1,target_history,46281,0.012408425262035465
ETTm1,target_history,46283,0.0057988584817702665
ETTm1,target_history,46286,0.0043153492416743615
ETTm1,target_history,46289,0.005326682390405821
ETTm1,target_history,46292,0.00754405909601153
ETTm1,target_history,46295,0.010887017232269473
ETTm1,target_history,46298,0.011784895139261684
ETTm1,target_history,46301,0.009664625824537256
ETTm1,target_history,46303,0.009904623987884267
ETTm1,target_history,46306,0.008143418218290465
ETTm1,target_history,46309,0.013148884820304227
ETTm1,target_history,46312,0.013444657659142384
ETTm1,target_history,46315,0.01789439862440088
ETTm1,target_history,46318,0.016004747413154757
ETTm1,target_history,46321,0.02151538818636532
ETTm1,target_history,46323,0.021778625373204036
ETTm1,target_history,46326,0.04589185891034117
ETTm1,target_history,46329,0.05031375037482457
ETTm1,target_history,46332,0.03322824397849663
ETTm1,target_history,46335,0.0248771541061884
ETTm1,target_history,46338,0.02927474454910925
ETTm1,target_history,46341,0.020974283120626307
ETTm1,target_history,46343,0.015689585086910623
ETTm1,target_history,46346,0.01658240144442095
ETTm1,target_history,46349,0.017857058925228306
ETTm1,target_history,46352,0.020789886131388973
ETTm1,target_history,46355,0.02170311868655661
ETTm1,target_history,46358,0.023108397967568046
ETTm1,target_history,46361,0.023094137488736847
ETTm1,target_history,46363,0.020831343884248812
ETTm1,target_history,46366,0.01653614783246228
ETTm1,target_history,46369,0.014377869638641549
ETTm1,target_history,46372,0.011895610901807935
ETTm1,target_history,46375,0.011039791836426865
ETTm1,target_history,46378,0.010129166226013267
ETTm1,target_history,46381,0.009543145512463847
ETTm1,target_history,46383,0.0088219010362458
ETTm1,target_history,46386,0.00834716414806176
ETTm1,target_history,46389,0.008994396251789324
ETTm1,target_history,46392,0.010659399665714745
ETTm1,target_history,46395,0.013915750252140632
ETTm1,target_history,46398,0.016372407555208926
ETTm1,target_history,46401,0.021467760109861834
ETTm1,target_history,46403,0.024152723945987737
ETTm1,target_history,46406,0.02877350726472473
ETTm1,target_history,46409,0.03571916963394691
ETTm1,target_history,46412,0.03868330664718011
ETTm1,target_history,46415,0.042796272145557986
ETTm1,target_history,46418,0.04904508427239753
ETTm1,target_history,46421,0.06806000006378182
ETTm1,target_history,46423,0.08421068860964986
ETTm1,target_history,46426,0.10083579247674519
ETTm1,target_history,46429,0.06986612951844257
ETTm1,target_history,46432,0.06380450822687976
ETTm1,target_history,46435,0.10064249426208349
ETTm1,target_history,46438,0.08365340615260351
ETTm1,target_history,46441,0.08029641120419959
ETTm1,target_history,46443,0.0784697674543368
ETTm1,target_history,46446,0.07411836882528397
ETTm1,target_history,46449,0.06669900004875441
ETTm1,target_history,46452,0.06541939820866267
ETTm1,target_history,46455,0.038025904429137204
ETTm1,target_history,46458,0.04282310211729684
ETTm1,target_history,46461,0.05417799892911651
ETTm1,target_history,46463,0.057091262399496356
ETTm1,target_history,46466,0.06773902563510241
ETTm1,target_history,46469,0.08109042906973322
ETTm1,target_history,46472,0.07985045896007292
ETTm1,target_history,46475,0.09114346073006589
ETTm1,target_history,46478,0.10616376866561539
ETTm1,target_history,46481,0.09223184598088896
ETTm1,target_history,46483,0.1092559138168326
ETTm1,target_history,46486,0.08808084168828534
ETTm1,target_history,46489,0.05193833184327636
ETTm1,target_history,46492,0.06322245428935208
ETTm1,target_history,46495,0.05253225968537176
ETTm1,target_history,46498,0.047529975735645186
ETTm1,target_history,46501,0.05010935912756933
ETTm1,target_history,46503,0.042871899194268835
ETTm1,target_history,46506,0.042414169068760034
ETTm1,target_history,46509,0.05210306564081026
ETTm1,target_history,46512,0.0557382617195756
ETTm1,target_history,46515,0.0688146845872868
ETTm1,target_history,46518,0.07604798055609897
ETTm1,target_history,46521,0.06559853128903394
ETTm1,target_history,46523,0.06464187725566138
ETTm1,target_history,46526,0.0676878142077581
ETTm1,target_history,46529,0.07071443620638267
ETTm1,target_history,46532,0.0652030799709748
ETTm1,target_history,46535,0.08010092481529722
ETTm1,target_history,46538,0.08094499803643661
ETTm1,target_history,46541,0.058716621948928314
ETTm1,target_history,46543,0.05256211555735546
ETTm1,target_history,46546,0.040533522183961015
ETTm1,target_history,46549,0.03013212635834246
ETTm1,target_history,46552,0.0212645514938645
ETTm1,target_history,46555,0.021403855571084072
ETTm1,target_history,46558,0.018907775125392007
