dataset,condition,alpha,val_mse,test_mse,n_test_windows,relative_reduction_vs_target_history
ETTm1,target_history,10.0,0.05453085161059902,0.03179190425153852,4000,0.0
ETTm1,observed_context,100.0,0.05813818123556245,0.04815972984705954,4000,-0.5148425670264443
weather,target_history,1.0,0.0033237756454073193,0.005706041799732901,4000,0.0
weather,observed_context,100.0,0.01062957396676822,0.007989124813624066,4000,-0.40011676991185663
ETTh2,target_history,0.1,0.17548313623827239,0.12792798923292534,2785,0.0
ETTh2,observed_context,100.0,0.27078297118572253,0.4913134517452437,2785,-2.840546972489992
ETTh1,target_history,100.0,0.09657598551705836,0.06086264808984446,2785,0.0
ETTh1,observed_context,100.0,0.1535810314723676,0.08598252714568543,2785,-0.412730629445492
ETTm2,target_history,10.0,0.09440400124240728,0.07053843827317986,4000,0.0
ETTm2,observed_context,10.0,0.09397018789497744,0.08237363611708534,4000,-0.16778366708475123
exchange_rate,target_history,0.1,0.21003839686547318,0.09434821881360755,1422,0.0
exchange_rate,observed_context,100.0,0.1798188272503272,0.2417561037141532,1422,-1.5623812166688777
electricity,target_history,100.0,0.2924318003175221,0.3717856865985885,4000,0.0
electricity,observed_context,100.0,0.35571096176976275,0.5066115661700366,4000,-0.36264408349054467
