dataset,comparison,resampling_design,seeds,n_windows_per_seed,raw_block_length,block_length_pairs,delta_mse,ci95_low,ci95_high
ETTh1,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,2785,96,96,0.07095538647614377,0.0668843205024136,0.0753903826321033
ETTh1,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,2785,192,192,0.07095538647614377,0.06692628017125182,0.076333472165356
ETTh1,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,2785,384,384,0.07095538647614377,0.06726210531260488,0.07630516794433813
ETTh2,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,2785,96,96,0.07178563279785902,0.0673797466636321,0.07618916978590176
ETTh2,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,2785,192,192,0.07178563279785902,0.06708157538379293,0.07588503912067049
ETTh2,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,2785,384,384,0.07178563279785902,0.06741472652942179,0.07608232771522677
ETTm1,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,96,32,0.07160914821532346,0.06804811576217025,0.07517095891355552
ETTm1,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,192,64,0.07160914821532346,0.06818071160901758,0.0751397041850226
ETTm1,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,384,128,0.07160914821532346,0.06821016436463971,0.07515454936407943
ETTm2,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,96,32,0.06967859037351568,0.06652544153233965,0.07273911264031353
ETTm2,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,192,64,0.06967859037351568,0.06667790700066702,0.0725229808624222
ETTm2,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,384,128,0.06967859037351568,0.0666210882682634,0.07223149007110373
electricity,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,96,96,0.07017438458254961,0.0665794282201878,0.0738496686808089
electricity,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,192,192,0.07017438458254961,0.06640177140352037,0.0738699702063076
electricity,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,384,384,0.07017438458254961,0.06645557990579808,0.07399188244760382
exchange_rate,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,1422,96,96,0.07240881970037549,0.06746488381136248,0.07925160901668193
exchange_rate,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,1422,192,192,0.07240881970037549,0.06777589416989245,0.07914657085208589
exchange_rate,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,1422,384,384,0.07240881970037549,0.0683093730861142,0.08004505793669175
weather,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,96,32,0.07064913768479203,0.06736899880594131,0.07393833147376062
weather,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,192,64,0.07064913768479203,0.06720168173293616,0.07388348426701574
weather,history_minus_clean_plan,crossed_world_seed_by_shared_time_block,10,4000,384,128,0.07064913768479203,0.0672145901328524,0.07387405852048216
