dataset,seed,condition,base_alpha,residual_alpha,mse,residual_mse,none_mse,event_mse,separation_mse,n_test_pairs
ETTm1,0,history,10.0,0.1,0.1843270762954345,0.15428493041950977,0.03153574310429589,0.337118409486573,0.3085352311310544,4000
ETTm1,0,clean,10.0,100.0,0.12002074665866265,0.08980183295573992,0.03179160804923748,0.2082498852680878,0.1796036012587744,4000
ETTm1,0,noisy,10.0,100.0,0.14847629201591306,0.11797520525964221,0.03179238143468687,0.2651602025971393,0.23595046830709274,4000
ETTm1,0,delayed50,10.0,10.0,0.15538769581091216,0.12500405019374408,0.03179175921366469,0.27898363240815965,0.2500080898374835,4000
ETTm1,0,shuffled,10.0,100.0,0.18429606976811222,0.1542670520409602,0.03160464925178545,0.3369874902844391,0.3085217784390705,4000
ETTm1,0,misleading_test,10.0,,0.38905996153889016,0.3595035551251002,0.03179160804923748,0.7463283150285431,0.7190070569824144,4000
ETTm1,0,latent_oracle_upper_bound,10.0,,0.03179190425153852,0.0,0.03179190425153852,0.03179190425153852,0.0,4000
ETTm1,1,history,10.0,0.1,0.18822270734705662,0.15838074234090663,0.03149806025546217,0.34494735443865115,0.316666520299237,4000
ETTm1,1,clean,10.0,100.0,0.115734656390525,0.08448444202563025,0.031791964882892654,0.19967734789815733,0.16896889394670994,4000
ETTm1,1,noisy,10.0,100.0,0.1469931507923659,0.11610273979515705,0.03179150255794746,0.26219479902678444,0.2322053819704996,4000
ETTm1,1,delayed50,10.0,10.0,0.15075080541644897,0.12146555428585176,0.03179171379664811,0.2697098970362497,0.24293105624178443,4000
ETTm1,1,shuffled,10.0,100.0,0.18840534253012461,0.15850802103613654,0.03163216353707574,0.3451785215231737,0.3170924121383295,4000
ETTm1,1,misleading_test,10.0,,0.4079404471877487,0.37947023711654987,0.031791964882892654,0.7840889294926043,0.7589404993609639,4000
ETTm1,1,latent_oracle_upper_bound,10.0,,0.03179190425153853,0.0,0.03179190425153852,0.03179190425153852,0.0,4000
ETTm1,2,history,10.0,0.1,0.1881267660637871,0.15630421429269714,0.03157172104146649,0.34468181108610757,0.3126130223976865,4000
ETTm1,2,clean,10.0,0.1,0.12055060772536468,0.089547197331959,0.03179190485771153,0.20930931059301766,0.17909439466126995,4000
ETTm1,2,noisy,10.0,10.0,0.14790715951001332,0.11648821804683722,0.03179195230474399,0.26402236671528273,0.23297643896849923,4000
ETTm1,2,delayed50,10.0,10.0,0.15675936344974312,0.1249884842055382,0.031791848879876565,0.28172687801960966,0.2499769616854586,4000
ETTm1,2,shuffled,10.0,100.0,0.18829756648027496,0.15642416794685007,0.03171507909421282,0.3448800538663369,0.3127414154534396,4000
ETTm1,2,misleading_test,10.0,,0.3951174914328017,0.3626415318057822,0.03179190485771153,0.7584430780078913,0.7252830635775076,4000
ETTm1,2,latent_oracle_upper_bound,10.0,,0.03179190425153853,0.0,0.03179190425153852,0.03179190425153852,0.0,4000
ETTm1,3,history,10.0,0.1,0.18638591203842156,0.1534985487661606,0.03190142004285147,0.34087040403399166,0.3069635291811611,4000
ETTm1,3,clean,10.0,0.1,0.10828525201833983,0.07580156116069134,0.03179190427831666,0.184778599758363,0.15160312232535164,4000
ETTm1,3,noisy,10.0,0.1,0.13532817801590724,0.10289062065734354,0.0317919049621709,0.23886445106964363,0.2057812412049992,4000
ETTm1,3,delayed50,10.0,10.0,0.1490145914692948,0.11663857843445476,0.03179176931945222,0.2662374136191374,0.23327719112717787,4000
ETTm1,3,shuffled,10.0,100.0,0.1865188914443937,0.1536221135680115,0.03198384575152031,0.3410539371372671,0.30729093838780713,4000
ETTm1,3,misleading_test,10.0,,0.40275583364154566,0.3696488892076248,0.03179190427831666,0.7737197630047746,0.7392977784226894,4000
ETTm1,3,latent_oracle_upper_bound,10.0,,0.03179190425153852,0.0,0.03179190425153852,0.03179190425153852,0.0,4000
ETTm1,4,history,10.0,0.1,0.1881907759495239,0.15644805952345622,0.03251068585753526,0.3438708660415125,0.312788395735365,4000
ETTm1,4,clean,10.0,10.0,0.11394484045117198,0.08213910399286546,0.03179188083320239,0.19609780006914157,0.1642782101347698,4000
ETTm1,4,noisy,10.0,100.0,0.14034767028663014,0.10967971546884295,0.03179198127431093,0.2489033592989494,0.21935940993007433,4000
ETTm1,4,delayed50,10.0,0.1,0.15036912248230147,0.1187344453242748,0.031791909352185586,0.2689463356124174,0.23746888877957997,4000
ETTm1,4,shuffled,10.0,100.0,0.18822103526512785,0.1565198718879504,0.03255481966309993,0.3438872508671559,0.3129009571959124,4000
ETTm1,4,misleading_test,10.0,,0.4012906345593797,0.37032639574152426,0.03179188083320239,0.7707893882855567,0.7406527926506741,4000
ETTm1,4,latent_oracle_upper_bound,10.0,,0.03179190425153853,0.0,0.03179190425153852,0.03179190425153852,0.0,4000
ETTm1,5,history,10.0,0.1,0.18813177460532757,0.1541042539731745,0.03192750096967803,0.34433604824097713,0.3081968834659118,4000
ETTm1,5,clean,10.0,0.1,0.11718851436456883,0.08358799165652024,0.0317919052378537,0.202585123491284,0.1671759833072891,4000
ETTm1,5,noisy,10.0,0.1,0.1472452323858537,0.11286001303596786,0.03179190579459492,0.2626985589771126,0.22572002596470153,4000
ETTm1,5,delayed50,10.0,10.0,0.15510027475787116,0.12045002254948814,0.03179213312895141,0.278408416386791,0.24090003277100475,4000
