dataset,seed,history_mixture_energy_score,plan_conditional_energy_score,relative_energy_score_reduction,evaluated_branch_outcomes
ETTm1,0,0.18274566523901642,0.1090356575074479,0.4033475028540997,2400
ETTm1,1,0.18698371715819337,0.10918204217264334,0.4160879683428673,2400
ETTm1,2,0.19195829819194027,0.11200907933072045,0.41649264248674533,2400
ETTm1,3,0.19240727041884417,0.10543885224377655,0.4520017252245683,2400
ETTm1,4,0.18858953686809715,0.10636471552952681,0.4359988507532092,2400
ETTm1,5,0.18758381270728094,0.10772060013529212,0.42574682441609735,2400
ETTm1,6,0.18301191734121317,0.10640770912467032,0.4185749722173532,2400
ETTm1,7,0.17788543625173486,0.10873856547294386,0.38871575006813763,2400
ETTm1,8,0.1933087985463685,0.11094551772436782,0.4260710399182601,2400
ETTm1,9,0.18890891011098995,0.10726592561379626,0.4321817560073046,2400
weather,0,0.190013032204599,0.10798388306062973,0.4317027531861253,2400
weather,1,0.18995323613210352,0.11182225760323154,0.41131691209796273,2400
weather,2,0.1844784978670009,0.10646345062439856,0.42289506985712233,2400
weather,3,0.18024056703818614,0.10544670384564356,0.41496686579274134,2400
weather,4,0.191547240396765,0.10877693533000606,0.4321143175715354,2400
weather,5,0.18238113467198902,0.10739319680625913,0.4111606060604628,2400
weather,6,0.1884278156425937,0.10937930047843042,0.4195161680062195,2400
weather,7,0.18894749662224017,0.10937357666824828,0.42114302320227515,2400
weather,8,0.18869699051115765,0.1075777831172276,0.4298913680297063,2400
weather,9,0.18973989069627525,0.10923057118143716,0.4243141451141279,2400
ETTh2,0,0.19404691746585073,0.11137389599766603,0.4260465589860961,2400
ETTh2,1,0.1931238364231348,0.11023901487068424,0.42917965533187585,2400
ETTh2,2,0.18978686048663343,0.11024547345265404,0.4191090301511228,2400
ETTh2,3,0.1847429866622658,0.11062174677612271,0.40121274006274643,2400
ETTh2,4,0.19330830160747414,0.11003104983967475,0.4308001833097659,2400
ETTh2,5,0.186316621692976,0.11097954932326044,0.4043497122541253,2400
ETTh2,6,0.18536557569188855,0.10869571492550492,0.4136143427937393,2400
ETTh2,7,0.1841621479491429,0.11144092598501026,0.39487605229395395,2400
ETTh2,8,0.18963363916018178,0.11346767059419086,0.40164798241125477,2400
ETTh2,9,0.18930315992480368,0.11150421473465578,0.4109754175316024,2400
ETTh1,0,0.188204748890946,0.10532664971601469,0.44036135997266723,2400
ETTh1,1,0.1869850051815015,0.11196139312552543,0.40122795933905275,2400
ETTh1,2,0.1857765245818144,0.1111270171668182,0.4018242217795456,2400
ETTh1,3,0.1854753746533926,0.10687347872247964,0.42378615532008157,2400
ETTh1,4,0.18667862960347653,0.10846595419501577,0.4189696248284661,2400
ETTh1,5,0.18666363938891603,0.10788600073631567,0.42202990850545974,2400
ETTh1,6,0.1909369446441287,0.10914895407110316,0.4283507873526692,2400
ETTh1,7,0.19122753378552404,0.1146250925395687,0.40058269711238703,2400
ETTh1,8,0.19634596637798432,0.11178015111566285,0.4306980011981727,2400
ETTh1,9,0.1886748914420267,0.11499664269963249,0.3905037293477548,2400
ETTm2,0,0.1930357124883448,0.11079232420486718,0.4260527092283163,2400
ETTm2,1,0.18714259694986093,0.10962140998092003,0.4142359261462546,2400
ETTm2,2,0.19715253136994842,0.11795414673717682,0.40171122370302814,2400
ETTm2,3,0.18910835003797608,0.10920070826776575,0.4225495159476752,2400
ETTm2,4,0.1918022714812271,0.1116769771749783,0.417749454620464,2400
ETTm2,5,0.1837694936462642,0.11164910868253217,0.39245025674694267,2400
ETTm2,6,0.19411970623563551,0.11397303004912238,0.41287243701690823,2400
ETTm2,7,0.18916491295668,0.1126381629887341,0.40455044633711235,2400
ETTm2,8,0.18052941702529912,0.11004375017941492,0.3904386775702402,2400
ETTm2,9,0.18222727154826673,0.10683225577719876,0.4137416706647995,2400
exchange_rate,0,0.19433754420499774,0.10841108404100634,0.44215059172174953,2400
exchange_rate,1,0.186737452456842,0.10858121088143903,0.4185354386446185,2400
exchange_rate,2,0.18255778905211562,0.10890421092829126,0.40345349549998166,2400
exchange_rate,3,0.19173396344460494,0.11082392958016632,0.42199114028023965,2400
exchange_rate,4,0.18884065384531168,0.10826636326668439,0.42667873118374977,2400
exchange_rate,5,0.1842199436553276,0.10822015365902041,0.4125491979223569,2400
exchange_rate,6,0.19224731259957809,0.11000829970769205,0.4277771781558132,2400
exchange_rate,7,0.18440522214937216,0.10639153459837591,0.42305573910376304,2400
exchange_rate,8,0.19065620548837128,0.11562048934078346,0.3935655593028389,2400
exchange_rate,9,0.18704056788331308,0.10651044947609808,0.43054894089850293,2400
electricity,0,0.1908470375127558,0.10727361480740104,0.4379078857840216,2400
electricity,1,0.19184347563925666,0.10981500763540668,0.4275801808245836,2400
electricity,2,0.18241488387167706,0.10613280027065514,0.41817905415373835,2400
electricity,3,0.1832833829916774,0.11057484172836576,0.3967001267464231,2400
electricity,4,0.19004574852100342,0.11273141796176195,0.4068195745546861,2400
electricity,5,0.19171122091348328,0.11624240968022469,0.39365881075535303,2400
electricity,6,0.18223758890331698,0.11114500387553745,0.39010933724269403,2400
electricity,7,0.19091103543068166,0.10913891044552208,0.4283258157428538,2400
electricity,8,0.18807781290640696,0.10947070989161059,0.41794989956584394,2400
electricity,9,0.1873533905835329,0.10639965829707465,0.4320910981878624,2400
