dataset,condition,model,alpha,val_mse,test_mse,n_test_windows,risk_ratio_vs_forward
ETTm1,forward,ridge,10.0,0.05453085161059902,0.03179190425153852,4000,1.0
ETTm1,same_block_mirror,ridge,10.0,0.054006322525628245,0.030754718388637546,4000,0.9673757867822346
ETTm1,block_swap,ridge,10.0,0.05400632252562824,0.030754718388637567,4000,0.9673757867822352
ETTm1,input_only_reverse,ridge,10.0,0.05453085161059901,0.03179190425153851,4000,0.9999999999999996
ETTm1,target_only_reverse,ridge,10.0,0.054530851610599,0.03179190425153852,4000,1.0
weather,forward,ridge,1.0,0.0033237756454073193,0.005706041799732901,4000,1.0
weather,same_block_mirror,ridge,1.0,0.003280990907265517,0.0057121246960085996,4000,1.0010660448151614
weather,block_swap,ridge,1.0,0.0032809909072652587,0.005712124696008641,4000,1.0010660448151685
weather,input_only_reverse,ridge,1.0,0.003323775645407243,0.005706041799732416,4000,0.9999999999999151
weather,target_only_reverse,ridge,1.0,0.003323775645407319,0.0057060417997329,4000,0.9999999999999999
ETTh2,forward,ridge,0.1,0.17548313623827239,0.12792798923292537,2785,1.0
ETTh2,same_block_mirror,ridge,0.1,0.17961642992197763,0.12283563040100699,2785,0.9601935521502926
ETTh2,block_swap,ridge,0.1,0.17961642992197763,0.12283563040100705,2785,0.960193552150293
ETTh2,input_only_reverse,ridge,0.1,0.17548313623827227,0.1279279892329253,2785,0.9999999999999996
ETTh2,target_only_reverse,ridge,0.1,0.17548313623827239,0.12792798923292534,2785,0.9999999999999998
ETTh1,forward,ridge,100.0,0.09657598551705836,0.06086264808984446,2785,1.0
ETTh1,same_block_mirror,ridge,100.0,0.09513529905306499,0.05594643450332239,2785,0.9192244547219695
ETTh1,block_swap,ridge,100.0,0.09513529905306496,0.05594643450332237,2785,0.9192244547219692
ETTh1,input_only_reverse,ridge,100.0,0.09657598551705836,0.06086264808984448,2785,1.0000000000000004
ETTh1,target_only_reverse,ridge,100.0,0.09657598551705837,0.06086264808984444,2785,0.9999999999999998
ETTm2,forward,ridge,10.0,0.09440400124240728,0.07053843827317986,4000,1.0
ETTm2,same_block_mirror,ridge,0.1,0.09421474889401657,0.06975787457728189,4000,0.9889342078587702
ETTm2,block_swap,ridge,0.1,0.09421474889401632,0.06975787457728191,4000,0.9889342078587706
ETTm2,input_only_reverse,ridge,10.0,0.09440400124240726,0.07053843827317989,4000,1.0000000000000004
ETTm2,target_only_reverse,ridge,10.0,0.09440400124240726,0.07053843827317986,4000,1.0
exchange_rate,forward,ridge,0.1,0.21003839686547318,0.09434821881360755,1422,1.0
exchange_rate,same_block_mirror,ridge,1.0,0.18664807981844894,0.1202197770298309,1422,1.274213530912912
exchange_rate,block_swap,ridge,1.0,0.186648079818449,0.1202197770298309,1422,1.274213530912912
exchange_rate,input_only_reverse,ridge,0.1,0.21003839686547324,0.09434821881360747,1422,0.9999999999999991
exchange_rate,target_only_reverse,ridge,0.1,0.21003839686547318,0.09434821881360754,1422,0.9999999999999999
electricity,forward,ridge,100.0,0.2924318003175221,0.3717856865985885,4000,1.0
electricity,same_block_mirror,ridge,100.0,0.2942317774688602,0.37269257835758407,4000,1.0024392863729978
electricity,block_swap,ridge,100.0,0.2942317774688602,0.3726925783575841,4000,1.0024392863729978
electricity,input_only_reverse,ridge,100.0,0.2924318003175221,0.3717856865985885,4000,1.0
electricity,target_only_reverse,ridge,100.0,0.2924318003175221,0.37178568659858857,4000,1.0000000000000002
