dataset,architecture,capacity,seeds,history_mse,open_mse,delta_open_mean,delta_open_std,relative_reduction_mean,all_ci_exclude_zero
ETTh2,gru,64,3,0.484741563470018,0.28801655842693,0.19672500504308796,0.01689610521939987,0.4066092394525995,True
ETTh2,mlp,32,3,0.4348830288762418,0.22968419243662477,0.20519883643961698,0.02747890414208069,0.4707860643502759,True
ETTh2,mlp,128,3,0.43746323889455413,0.2647403386252543,0.17272290026929982,0.10348654814648307,0.38287747126075794,True
ETTh2,mlp,512,3,0.4560517752001197,0.18401163989826452,0.27204013530185517,0.062340968620057655,0.591565371405467,True
ETTm1,gru,64,3,0.28657614757620836,0.0844505606594,0.20212558691680835,0.004510249687315761,0.7057975822780517,True
ETTm1,mlp,32,3,0.3434969884314583,0.11805855175059167,0.2254384366808667,0.013809446067479648,0.6563414647968271,True
ETTm1,mlp,128,3,0.3089256237672083,0.09811331369375,0.21081231007345833,0.027783068077315162,0.6815516002284759,True
ETTm1,mlp,512,3,0.30745593643025,0.1048729169498,0.20258301948045002,0.04137252238100312,0.656438324224898,True
weather,gru,64,3,0.22823286221890002,0.032678960589785,0.195553901629115,0.001404299714400966,0.8568156926513267,True
weather,mlp,32,3,0.22823445724883332,0.024979174049396664,0.20325528319943664,0.0018515207990281448,0.8905517931910305,True
weather,mlp,128,3,0.228431442837875,0.02119905809414167,0.20723238474373332,0.0034306755644734816,0.9071622808843677,True
weather,mlp,512,3,0.22742537375004165,0.015441522675453333,0.2119838510745883,0.0017895565131773724,0.9320995147229154,True
