dataset,architecture,capacity,seed,n_pairs,history_mse,open_mse,delta_open,relative_reduction,delta_ci_low,delta_ci_high
ETTh2,gru,64,0,2785,0.474942794135009,0.2608533045691203,0.2140894895658887,0.4507690025191346,0.2026028100703411,0.22488620703254036
ETTh2,gru,64,1,2785,0.4997268612929982,0.31938697975978453,0.18033988153321362,0.3608769019672075,0.16940094458747756,0.1925097837811131
ETTh2,gru,64,2,2785,0.47955503498204666,0.2838093909518851,0.19574564403016156,0.40818181387145647,0.18510880113709155,0.2058782399062298
ETTh2,mlp,128,0,2785,0.43314077849335725,0.24768775763375228,0.18545302085960505,0.42815876515872586,0.17522329400868938,0.1959891382014542
ETTh2,mlp,128,1,2785,0.47925521453967684,0.20999973771418312,0.26925547682549367,0.5618206514124477,0.25702198483605027,0.2816417589836894
ETTh2,mlp,128,2,2785,0.39999372365062835,0.33653352052782765,0.0634602031228007,0.15865299721110016,0.053193543960709154,0.07387204688307898
ETTh2,mlp,32,0,2785,0.4392675246815081,0.22502775329766608,0.21423977138384198,0.4877204877350699,0.20416468645876124,0.22450318352470375
ETTh2,mlp,32,1,2785,0.4465123364003591,0.2194941440782765,0.2270181923220826,0.5084253531542516,0.2158775170002783,0.23789271899396766
ETTh2,mlp,32,2,2785,0.41886922554685824,0.24453067993393174,0.1743385456129264,0.4162123521615063,0.16458492906656194,0.1839237447674955
ETTh2,mlp,512,0,2785,0.3790349143928187,0.1760798633120287,0.2029550510807899,0.535452126899461,0.19267830571070016,0.21339429929513462
ETTh2,mlp,512,1,2785,0.4711396587368043,0.1820736797037702,0.28906597903303405,0.6135462673808082,0.27620895316801614,0.3019746406694883
ETTh2,mlp,512,2,2785,0.517980752470736,0.19388137667899463,0.3240993757917415,0.6256977199361319,0.3107951676389407,0.3373592748896678
ETTm1,gru,64,0,4000,0.282797210164625,0.081804237443675,0.20099297272094999,0.7107318088602987,0.19372576314866563,0.2084180394990575
ETTm1,gru,64,1,4000,0.29480569954725,0.09651610505145,0.19828959449580003,0.6726111292974482,0.19050860284978813,0.2062821922228325
ETTm1,gru,64,2,4000,0.28212553301675003,0.075031339483075,0.20709419353367498,0.734049808676408,0.19952170380611187,0.2142883854597781
ETTm1,mlp,128,0,4000,0.307966975635,0.1221735279901,0.1857934476449,0.6032901653231186,0.17772554158531123,0.19399703003628627
ETTm1,mlp,128,1,4000,0.32156239342662496,0.080849813634825,0.2407125797918,0.7485719248035343,0.232792869501815,0.24913383074619935
ETTm1,mlp,128,2,4000,0.29724750224,0.09131659945632499,0.205930902783675,0.6927927105587746,0.19821174428460317,0.21399486162487125
ETTm1,mlp,32,0,4000,0.34912263200887506,0.114315948841175,0.23480668316769998,0.6725621934522164,0.22586499701714935,0.243211751026565
ETTm1,mlp,32,1,4000,0.3430381903405,0.133458749117625,0.209579441222875,0.6109507545350746,0.2017862485924594,0.21807702517786248
ETTm1,mlp,32,2,4000,0.33833014294499997,0.10640095729297501,0.231929185652025,0.6855114464031902,0.22379785463065374,0.2401472355663925
ETTm1,mlp,512,0,4000,0.31372718685824996,0.12456621076719998,0.18916097609105,0.6029473504842212,0.1808778301184906,0.19746335044454377
ETTm1,mlp,512,1,4000,0.31833062083425,0.069330507433225,0.24900011340102501,0.7822059742429731,0.24073390553144686,0.25731515754634
ETTm1,mlp,512,2,4000,0.29031000159825,0.12072203264897502,0.16958796894927503,0.5841616479474998,0.16206942721383938,0.17723843629097064
weather,gru,64,0,4000,0.22807945210562502,0.033899131630785,0.19418032047484,0.8513713913382862,0.18787453242417557,0.2005172005269425
weather,gru,64,1,4000,0.22830323336244998,0.03131620758645,0.196987025776,0.862830643590873,0.19065854807218005,0.20305393509751438
weather,gru,64,2,4000,0.22831590118862502,0.03282154255212,0.19549435863650502,0.8562450430248211,0.18904024683220227,0.2017340375212135
weather,mlp,128,0,4000,0.229025825951,0.01972123823955,0.20930458771145,0.9138907668702422,0.2026300018856431,0.21562501903669565
weather,mlp,128,1,4000,0.229163521129875,0.020043367836274997,0.2091201532936,0.9125368307422903,0.2022555529852206,0.2159414341829875
weather,mlp,128,2,4000,0.22710498143275,0.023832568206600003,0.20327241322614997,0.8950592450405703,0.1968404735678425,0.20937904318858744
weather,mlp,32,0,4000,0.22872013121462498,0.023705898704015,0.20501423251061,0.8963541224896815,0.19846717577163675,0.2112637438349355
weather,mlp,32,1,4000,0.22778879124062498,0.024360508345649998,0.20342828289497497,0.8930565976799237,0.19691692013973688,0.21026313521881623
weather,mlp,32,2,4000,0.22819444929125002,0.026871115098525,0.201323334192725,0.8822446594034863,0.19485828625593565,0.20750421354375062
weather,mlp,512,0,4000,0.2286674502845,0.015034532725245001,0.21363291755925498,0.9342515399260385,0.20688425806366037,0.22023019518229425
weather,mlp,512,1,4000,0.22548884068224997,0.015407923198064999,0.21008091748418503,0.9316687994339499,0.20359667290737188,0.21654928644732138
weather,mlp,512,2,4000,0.22811983028337499,0.01588211210305,0.21223771818032497,0.930378204808758,0.20558990642852812,0.2191262789515775
