base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
11424,0.30278897,0.31572112,0.28985682,0.08842037,0.35844222,0.28535724,0.07133931
11425,0.35852805,0.33472884,0.38232723,0.05784033,0.026585579,0.08018756,0.02004689
11426,0.39347458,0.35522413,0.43172503,0.053653527,0.3913162,0.4641658,0.11604145
11427,0.41765285,0.37813616,0.45716953,0.04133312,0.5384917,0.49753729,0.12438432
11428,0.4060028,0.40350655,0.40849903,0.10187882,0.67087394,0.64418745,0.16104686
11429,0.5004969,0.43083045,0.5701634,0.074172474,1.0595223,1.1705914,0.29264784
11430,0.3985941,0.46332446,0.33386374,0.10165476,0.36464822,0.26761746,0.066904366
11431,0.64144087,0.4961436,0.7867381,0.084127486,0.29058233,0.25356597,0.06339149
11432,0.6375182,0.5254919,0.74954456,0.06879658,0.33963144,0.51484823,0.12871206
11433,0.66273546,0.5424674,0.7830035,0.05287383,0.20605247,0.16548602,0.041371506
11434,0.580275,0.51272744,0.6478226,0.054824423,0.027012667,0.05684636,0.01421159
11435,0.4727807,0.43945166,0.5061098,0.017116262,0.21929617,0.22496699,0.056241747
11436,0.35941872,0.34266794,0.37616944,0.08375907,0.7369469,0.75096816,0.18774204
11437,0.28162667,0.25246677,0.3107866,0.042691063,0.6673055,0.65895087,0.16473772
11438,0.19116998,0.17653681,0.20580314,0.055522487,0.60685915,0.63676566,0.15919141
11439,0.14244378,0.1331749,0.15171267,0.033973265,0.030726582,0.043024767,0.010756192
11440,0.16736622,0.12475582,0.20997661,0.040265623,0.26413104,0.39493278,0.098733194
11441,0.1656941,0.14029254,0.19109567,0.10402465,0.0945022,0.089006566,0.022251641
11442,0.19892986,0.16135882,0.2365009,0.03880669,0.30253476,0.36645815,0.09161454
11443,0.1715371,0.17989103,0.16318317,0.05469357,0.037618797,0.037758037,0.009439509
11444,0.23368703,0.19905686,0.2683172,0.07102363,0.91563684,1.0529885,0.26324713
11445,0.2718245,0.22080491,0.32284412,0.116247766,0.06908915,0.12806688,0.03201672
11446,0.2790834,0.24274808,0.31541875,0.04323591,0.4059124,0.5536609,0.13841523
11447,0.2910945,0.2621116,0.32007742,0.038270347,0.016472498,0.050815355,0.012703839
11448,0.3911051,0.2807949,0.50141525,0.12524712,0.8905971,1.1808769,0.2952192
11449,0.34330156,0.30026934,0.3863338,0.10104511,0.059474904,0.13180041,0.032950103
11450,0.30002132,0.3240726,0.27597007,0.043494236,0.22493847,0.20701618,0.051754046
11451,0.39330783,0.34921443,0.4374012,0.01751735,0.16947901,0.15489784,0.03872446
11452,0.41000542,0.37552556,0.44448522,0.026450371,0.23546486,0.28224784,0.07056196
11453,0.4219942,0.4002707,0.44371775,0.04970927,0.018219948,0.060838897,0.015209724
