base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
11424,0.26907048,0.06092983,0.47721112,0.28535724,0.0,0.28535724,0.07133931
11425,0.08169481,0.06286554,0.100524075,0.08018756,0.0,0.08018756,0.02004689
11426,0.20364259,0.067400165,0.339885,0.4641658,0.0,0.4641658,0.11604145
11427,0.20498036,0.070611425,0.33934927,0.49753729,0.0,0.49753729,0.12438432
11428,0.50778776,0.06810235,0.9474731,0.64418745,0.0,0.64418745,0.16104686
11429,0.8351787,0.069277436,1.60108,1.1705914,0.0,1.1705914,0.29264784
11430,0.26292327,0.076319665,0.4495269,0.26761746,0.0,0.26761746,0.066904366
11431,0.15536945,0.08088281,0.22985607,0.25356597,0.0,0.25356597,0.06339149
11432,0.45807824,0.07882681,0.8373296,0.51484823,0.0,0.51484823,0.12871206
11433,0.11571754,0.07080379,0.16063128,0.16548602,0.0,0.16548602,0.041371506
11434,0.063837856,0.060469437,0.06720627,0.05684636,0.0,0.05684636,0.01421159
11435,0.123122625,0.051355388,0.19488986,0.22496699,0.0,0.22496699,0.056241747
11436,0.47377232,0.04206139,0.90548325,0.75096816,0.0,0.75096816,0.18774204
11437,0.32575744,0.038889688,0.6126252,0.65895087,0.0,0.65895087,0.16473772
11438,0.3165814,0.034906182,0.59825665,0.63676566,0.0,0.63676566,0.15919141
11439,0.058024112,0.03167652,0.08437171,0.043024767,0.0,0.043024767,0.010756192
11440,0.23687287,0.03530295,0.4384428,0.39493278,0.0,0.39493278,0.098733194
11441,0.098169655,0.044968653,0.15137066,0.089006566,0.0,0.089006566,0.022251641
11442,0.23841242,0.057682008,0.41914284,0.36645815,0.0,0.36645815,0.09161454
11443,0.081160605,0.067583956,0.094737254,0.037758037,0.0,0.037758037,0.009439509
11444,0.56034756,0.07124805,1.0494471,1.0529885,0.0,1.0529885,0.26324713
11445,0.13730894,0.06507355,0.20954435,0.12806688,0.0,0.12806688,0.03201672
11446,0.38777828,0.053815518,0.721741,0.5536609,0.0,0.5536609,0.13841523
11447,0.05817808,0.046710566,0.06964559,0.050815355,0.0,0.050815355,0.012703839
11448,0.76102906,0.050357163,1.471701,1.1808769,0.0,1.1808769,0.2952192
11449,0.1574201,0.058202505,0.2566377,0.13180041,0.0,0.13180041,0.032950103
11450,0.20999062,0.06432073,0.35566053,0.20701618,0.0,0.20701618,0.051754046
