base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
11424,0.34669352,0.08033594,0.6130511,0.31711867,0.0042081648,0.28535724,0.07133931
11425,0.1075061,0.10301432,0.11199788,0.08348022,0.0013738425,0.08018756,0.02004689
11426,0.17293592,0.080421664,0.2654502,0.42608538,0.0026966545,0.4641658,0.11604145
11427,0.17348476,0.07950761,0.26746193,0.4386882,0.004037251,0.49753729,0.12438432
11428,0.56216127,0.1069175,1.017405,0.5847143,0.0038758498,0.64418745,0.16104686
11429,0.95292026,0.10882083,1.7970196,1.179561,5.6276796e-05,1.1705914,0.29264784
11430,0.2857339,0.09331972,0.47814807,0.24755663,0.0027897328,0.26761746,0.066904366
11431,0.1569544,0.09079724,0.22311153,0.27560797,0.0022684748,0.25356597,0.06339149
11432,0.49551985,0.09194365,0.899096,0.55287796,0.0020173409,0.51484823,0.12871206
11433,0.14737807,0.11231792,0.18243821,0.19147138,0.003055115,0.16548602,0.041371506
11434,0.10451671,0.10086433,0.10816909,0.06284611,0.0013610412,0.05684636,0.01421159
11435,0.1296166,0.0720652,0.187168,0.21664222,0.00031790824,0.22496699,0.056241747
11436,0.57373625,0.06438749,1.083085,0.8107076,0.0024456296,0.75096816,0.18774204
11437,0.29549918,0.056069788,0.53492856,0.6689653,0.0011263649,0.65895087,0.16473772
11438,0.2570026,0.05469353,0.45931163,0.58915526,0.0036750704,0.63676566,0.15919141
11439,0.08703069,0.047157716,0.12690365,0.048960965,0.0023612985,0.043024767,0.010756192
11440,0.30980912,0.05913015,0.56048805,0.35338256,0.0032342898,0.39493278,0.098733194
11441,0.11989381,0.051469516,0.18831812,0.087480165,0.00017151004,0.089006566,0.022251641
11442,0.27836284,0.04061343,0.51611227,0.3861145,0.0024241195,0.36645815,0.09161454
11443,0.073289596,0.04333338,0.10324582,0.04709032,0.0029627506,0.037758037,0.009439509
11444,0.4502832,0.048811156,0.8517552,1.0529885,0.0,1.0529885,0.26324713
11445,0.14347371,0.052141685,0.23480575,0.13008137,0.0007867099,0.12806688,0.03201672
11446,0.50576615,0.07441201,0.93712026,0.5536609,0.0,0.5536609,0.13841523
11447,0.07309734,0.0850608,0.061133876,0.061484452,0.0026670117,0.050815355,0.012703839
